,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,242,2.98,0.07,0.0241,2.9,2.9,2.98,0.0,3.5,2.45,2.82,2.6,3.09,3.36,2.96,2.87,2.75,2.71,2.93,2.87,2.8,2.74,DOWNTREND,UPTREND,UPTREND,53.0139,0.0246,0.0342,NEUTRAL,-2.5223,24.4595,-58.9744,12800.0,89666.67,91900.0,37224.0,276716.67,279081.0,White Marubozu,None,Three White Soldiers,0.1374,0.0456,0.0567,-8820.0,-60600.0,-60600.0,-89080.0,-1984100.0,0.07,6.0,42.57,0.0,1.16,0.0,2019-10-22
1,245,3.0,0.0,0.0,3.0,3.0,3.0,0.0,3.5,2.36,2.83,2.36,3.12,3.36,2.88,2.91,2.78,2.72,2.91,2.88,2.82,2.76,DOWNTREND,SIDEWAYS,UPTREND,53.5406,-0.0033,0.0434,NEUTRAL,84.2709,84.2105,-15.7895,42700.0,33600.0,27600.0,122429.0,96678.0,79389.0,White Marubozu,Bullish Harami,Three White Soldiers,0.145,0.0,0.0,320640.0,320640.0,260040.0,231560.0,-1663460.0,0.09,0.0,33.33,0.0,1.15,0.0,2019-12-03
2,243,3.03,-0.09,-0.0288,3.03,3.03,3.03,0.0,3.5,2.36,2.36,2.2,3.12,3.36,2.89,2.9,2.77,2.71,2.88,2.86,2.81,2.75,DOWNTREND,SIDEWAYS,UPTREND,54.5241,-0.0177,0.0529,HIGH,88.3995,91.7516,-11.8421,36800.0,27266.67,23900.0,104366.0,77464.0,68386.0,White Marubozu,Bullish Harami,Three White Soldiers,0.1565,0.0821,0.0448,-9360.0,-18180.0,-69960.0,-98440.0,-1993460.0,0.09,0.0,33.67,0.0,1.16,0.0,2019-11-20
3,245,3.0,0.0,0.0,3.0,3.0,3.0,0.0,3.5,2.36,2.83,2.36,3.12,3.36,2.88,2.91,2.78,2.72,2.91,2.88,2.82,2.76,DOWNTREND,SIDEWAYS,UPTREND,53.5406,-0.0033,0.0434,NEUTRAL,84.2709,84.2105,-15.7895,42700.0,33600.0,27600.0,122429.0,96678.0,79389.0,White Marubozu,Bullish Harami,Three White Soldiers,0.145,0.0,0.0,320640.0,320640.0,260040.0,231560.0,-1663460.0,0.09,0.0,33.33,0.0,1.15,0.0,2019-12-09
4,240,2.74,-0.06,-0.0214,2.76,2.74,2.76,0.0,3.5,2.45,2.6,2.45,2.9,3.08,2.87,2.76,2.71,2.68,2.82,2.78,2.73,2.7,DOWNTREND,UPTREND,SIDEWAYS,46.4359,0.0245,0.0388,NEUTRAL,-146.7433,49.8645,-65.8537,24100.0,20266.67,46600.0,69114.0,58173.33,136014.5,Black Marubozu,None,None,0.0458,0.0538,0.0538,0.0,0.0,-28480.0,-28480.0,-1923500.0,0.07,6.0,39.14,0.0,1.06,0.0,2019-09-06
5,240,2.85,0.0,0.0,2.85,2.85,2.85,0.0,3.5,2.45,2.74,2.6,3.09,3.36,2.93,2.84,2.74,2.7,2.94,2.86,2.79,2.73,UPTREND,UPTREND,SIDEWAYS,46.9073,0.0486,0.0429,NEUTRAL,-47.9132,15.3509,-85.5263,127900.0,118133.33,94100.0,395802.0,359259.33,285223.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0878,0.0,0.0,0.0,-51780.0,-51780.0,-80260.0,-1975280.0,0.07,6.0,40.71,0.0,1.1,0.0,2019-10-03
6,245,3.0,0.0,0.0,3.0,3.0,3.0,330000.0,3.5,2.36,2.75,2.36,3.12,3.36,2.88,2.91,2.77,2.71,2.9,2.87,2.82,2.75,DOWNTREND,SIDEWAYS,UPTREND,53.5406,-0.0086,0.0468,NEUTRAL,85.9388,85.5263,-15.7895,42400.0,33600.0,28400.0,121499.0,96652.0,81719.5,White Marubozu,Bullish Harami,Three White Soldiers,0.145,0.0,0.0,320640.0,311820.0,260040.0,231560.0,-1663460.0,0.09,0.0,33.33,0.0,1.15,0.0,2019-12-02
7,243,3.03,-0.09,-0.0288,3.03,3.03,3.03,0.0,3.5,2.36,2.36,2.2,3.12,3.36,2.89,2.9,2.77,2.71,2.88,2.86,2.81,2.75,DOWNTREND,SIDEWAYS,UPTREND,54.5241,-0.0177,0.0529,HIGH,88.3995,91.7516,-11.8421,36800.0,27266.67,23900.0,104366.0,77464.0,68386.0,White Marubozu,Bullish Harami,Three White Soldiers,0.1565,0.0821,0.0448,-9360.0,-18180.0,-69960.0,-98440.0,-1993460.0,0.09,0.0,33.67,0.0,1.16,0.0,2019-11-21
8,245,2.8,-0.1,-0.0345,2.95,2.8,2.95,0.0,3.5,2.36,2.71,2.36,2.99,3.12,2.89,2.9,2.79,2.73,2.9,2.88,2.83,2.76,UPTREND,SIDEWAYS,UPTREND,46.8382,0.0025,0.0505,HIGH,-16.6912,70.1754,-42.1053,75600.0,56133.33,45950.0,221303.0,162368.0,133070.0,Black Marubozu,None,None,0.0687,-0.0667,-0.0635,-2710.0,317930.0,299430.0,228850.0,-1666170.0,0.09,0.0,31.11,0.0,1.07,0.0,2019-12-23
9,240,2.87,-0.05,-0.0171,2.87,2.87,2.87,0.0,3.5,2.45,2.81,2.6,3.15,3.36,2.93,2.83,2.74,2.7,2.96,2.86,2.79,2.73,UPTREND,UPTREND,SIDEWAYS,47.6449,0.0592,0.0489,NEUTRAL,-36.4146,35.7018,-82.8947,163800.0,117866.67,93950.0,500489.0,358354.0,284801.5,White Marubozu,None,None,0.0954,0.1038,-0.0712,3150.0,-51780.0,-51780.0,-80260.0,-1975280.0,0.07,6.0,41.0,0.0,1.11,0.0,2019-09-24
10,245,3.0,-0.03,-0.0099,3.0,3.0,3.0,0.0,3.5,2.36,2.36,2.21,3.12,3.36,2.88,2.91,2.77,2.71,2.89,2.87,2.81,2.75,DOWNTREND,SIDEWAYS,UPTREND,53.5406,-0.0136,0.0504,HIGH,79.6915,90.7895,-15.7895,33200.0,26533.33,23000.0,93833.0,75404.0,65528.5,White Marubozu,None,Three White Soldiers,0.145,0.0714,-0.0099,-9360.0,-18180.0,-69960.0,-98440.0,-1993460.0,0.09,0.0,33.33,0.0,1.15,0.0,2019-11-29
11,240,2.98,-0.21,-0.0658,2.91,2.91,2.98,0.0,3.5,2.45,2.94,2.6,3.36,4.88,2.9,2.79,2.73,2.69,2.94,2.84,2.77,2.72,UPTREND,UPTREND,SIDEWAYS,53.0272,0.0485,0.0506,HIGH,35.2322,58.5185,-57.7778,169000.0,120600.0,92800.0,514610.0,365833.33,281094.0,White Marubozu,None,None,0.1374,0.1462,-0.0658,-54930.0,-54930.0,-83410.0,-83410.0,-1978430.0,0.07,6.0,42.57,0.0,1.16,0.0,2019-09-16
