,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,243,5.12,-0.02,-0.0039,5.14,5.12,5.14,-201746.0,5.15,2.51,5.04,4.87,5.14,5.34,5.11,5.1,5.04,4.9,5.11,5.09,5.03,4.95,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.0381,0.0029,0.009000000000000001,LOW,92.9615,89.2473,-9.6774,24600.0,94086.67,85875.0,125547.4,479694.27,437860.1,Black Marubozu,Tweezer Tops,None,0.047,0.0,0.0059,-202774.0,-452114.0,-2972196.0,-7368299.0,-156795339.0,0.34,0.1333,15.06,0.0,1.51,0.0,2019-10-22
1,246,5.46,0.0,0.0,5.43,5.42,5.46,-15224.0,5.51,2.51,5.44,5.12,5.47,5.5,5.46,5.29,5.18,5.0,5.43,5.33,5.21,5.07,SIDEWAYS,UPTREND,SIDEWAYS,59.2772,0.0561,0.0111,LOW,6.2928,90.9547,-15.3846,23180.0,41300.0,41660.0,126080.2,223644.0,226276.15,White Long Day,None,None,0.1166,0.0,0.0,-16312.0,-1029083.0,-1117819.0,-3888269.0,-169928042.0,0.34,0.0968,16.06,0.0,1.59,0.0,2019-12-03
2,244,5.46,0.11,0.0206,5.35,5.35,5.46,27819.9999,5.51,2.51,5.35,5.02,5.48,5.5,5.4,5.23,5.12,4.97,5.39,5.27,5.16,5.03,UPTREND,UPTREND,SIDEWAYS,59.9853,0.0803,0.016,LOW,29.9436,85.2459,-8.1967,62750.0,93286.67,147110.0,340405.3,506533.4,783876.05,White Marubozu,None,None,0.1166,0.0149,-0.0018,-728800.0,-672796.0,-1081670.0,-6295037.0,-170513305.0,0.34,0.0968,16.06,0.0,1.59,0.0,2019-11-20
3,246,5.4,-0.03,-0.0055,5.42,5.4,5.42,-341928.0,5.51,2.51,5.38,5.12,5.46,5.5,5.45,5.31,5.2,5.01,5.43,5.34,5.22,5.08,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.8807,0.0423,0.0109,LOW,-59.0521,61.1111,-58.3333,32060.0,34480.0,49250.0,173715.4,186826.6,267009.55,Black Marubozu,Bearish Harami,None,0.1043,-0.011000000000000001,-0.0055,-787346.0,-729590.0,-1487475.0,-4641521.0,-168136524.0,0.34,0.0968,15.88,0.0,1.57,0.0,2019-12-09
4,241,5.1,0.0,0.0,5.1,5.1,5.13,0.0,5.4,2.51,5.05,4.88,5.15,5.34,5.08,5.03,4.94,4.86,5.08,5.04,4.97,4.89,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.5739,0.0207,0.0112,LOW,78.1893,55.5556,-33.3333,13290.0,104340.0,82670.0,67321.1,530542.27,419996.95,Gravestone Doji,None,None,0.0429,0.0,0.0,-77695.0,-2890044.0,-4395083.0,-16186319.0,-121500153.0,0.34,0.1333,15.0,0.0,1.5,0.0,2019-09-06
5,241,5.1,0.05,0.0099,5.0,4.84,5.1,-1019.9999,5.15,2.51,4.94,3.68,5.13,5.34,5.11,5.09,5.01,4.88,5.1,5.07,5.01,4.93,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.1457,0.0101,0.0113,LOW,-334.5543,0.0,-16.129,199520.0,136853.33,115510.0,1019340.0,699232.4,590093.2,Hammer,None,None,0.0429,-0.0039,0.0,-1524344.0,-1685112.0,-5404466.0,-16620475.0,-144127965.0,0.34,0.1333,15.0,0.0,1.5,0.0,2019-10-03
6,246,5.46,0.0,0.0,5.46,5.42,5.46,-1088.0,5.51,2.51,5.44,5.12,5.47,5.5,5.46,5.28,5.17,4.99,5.43,5.32,5.2,5.06,SIDEWAYS,UPTREND,SIDEWAYS,59.2772,0.0589,0.0114,LOW,1.0532,93.8606,-5.0847,24290.0,47380.0,50285.0,131833.3,257075.0,273717.15,Dragonfly Doji,None,None,0.1166,0.0,0.0,-1088.0,-1013859.0,-1103623.0,-3950740.0,-169972818.0,0.34,0.0968,16.06,0.0,1.59,0.0,2019-12-02
7,244,5.46,0.0,0.0,5.35,5.35,5.46,-20865.0,5.51,2.51,5.35,5.02,5.48,5.5,5.42,5.23,5.13,4.97,5.39,5.27,5.16,5.03,UPTREND,UPTREND,SIDEWAYS,59.9853,0.0775,0.0163,LOW,22.3881,85.7923,-8.1967,57510.0,92746.67,147000.0,311727.0,503623.0,783390.55,White Marubozu,Bullish Harami,None,0.1166,0.0149,-0.0018,-749665.0,-681803.0,-1102535.0,-3966942.0,-170534170.0,0.34,0.0968,16.06,0.0,1.59,0.0,2019-11-21
8,246,5.28,0.01,0.0019,5.27,5.2,5.35,12020.0,5.51,2.51,5.03,4.87,5.32,5.5,5.37,5.35,5.22,5.04,5.34,5.33,5.24,5.1,DOWNTREND,SIDEWAYS,SIDEWAYS,41.7117,-0.0178,0.0162,LOW,-69.6557,60.5303,-30.9091,24720.0,34766.67,28390.0,130669.2,186050.53,152192.3,None,None,None,0.0798,-0.033,0.0019,36265.0,-1332345.0,-2346204.0,-3973162.0,-166703603.0,0.34,0.0968,15.53,0.0,1.54,0.0,2019-12-23
9,241,5.12,0.0,0.0,5.12,5.12,5.12,0.0,5.4,2.51,5.08,4.9,5.15,5.34,5.11,5.08,4.98,4.87,5.11,5.07,5.0,4.92,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.821000000000005,0.0168,0.008,LOW,68.25399999999999,76.6667,-30.0,82720.0,57913.33,48240.0,424156.4,296861.67,246937.75,White Marubozu,Bullish Harami,None,0.047,0.0039,-0.0039,3044.0,-1158961.0,-4096310.0,-14780419.0,-124432999.0,0.34,0.1333,15.06,0.0,1.51,0.0,2019-09-24
