,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,244,25.6,0.0,0.0,25.5,25.3,25.8,18501700.0,28.35,19.48,24.92,23.8,25.7,26.65,24.88,24.91,25.74,24.56,25.13,25.16,25.12,24.45,UPTREND,SIDEWAYS,SIDEWAYS,57.2832,0.0466,0.0222,LOW,104.1006,94.8148,-10.0,2258260.0,2516853.33,2218795.0,57113570.0,62785587.67,55166765.25,None,None,None,0.2705,0.0449,0.0039,7930175.0,116286590.0,-24926735.0,-492596765.0,282140953.0,1.71,0.4132,14.97,0.0,1.4,0.0,2019-10-22
1,247,25.4,-0.6,-0.0231,26.0,25.4,26.15,0.0,28.35,20.15,25.32,24.35,26.75,28.05,26.21,25.6,25.7,25.12,26.08,25.83,25.57,24.87,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.5161,0.1684,0.0295,LOW,-125.6601,34.1649,-91.8919,2274220.0,2892486.67,2471455.0,59939503.0,76026967.33,64960121.75,Black Long Day,Bearish Engulfing,None,0.2605,-0.0305,-0.0305,-49358610.0,-11138275.0,149562690.0,101763165.0,325840878.0,1.73,0.0485,14.68,0.0,1.35,0.0,2019-12-03
2,245,25.6,-0.4,-0.0154,26.0,25.25,26.0,-25661260.0,28.35,20.15,25.42,24.42,26.55,28.05,26.09,25.42,25.73,24.95,25.99,25.69,25.44,24.75,UPTREND,SIDEWAYS,SIDEWAYS,46.5896,0.2678,0.0282,LOW,-85.7538,38.7387,-75.6757,2544830.0,2213240.0,2097455.0,66627675.5,57922532.33,54732400.5,None,Bearish Engulfing,None,0.2705,0.0059,-0.0358,-46120090.0,-3201635.0,200121650.0,-85422265.0,196279140.0,1.73,0.0485,14.8,0.0,1.36,0.0,2019-11-20
3,247,25.5,-0.3,-0.0116,25.9,25.45,25.9,-2376345.0,28.35,20.15,24.95,23.8,25.98,27.1,26.04,25.69,25.63,25.17,25.92,25.8,25.57,24.9,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.2757,0.0486,0.0287,LOW,-75.2009,42.6667,-64.0,1874490.0,1911480.0,2465715.0,49235406.5,50041932.67,64584977.5,Black Long Day,None,None,0.2655,-0.0267,-0.0116,-56453150.0,-42030865.0,43064925.0,77238315.0,282009104.0,1.73,0.0485,14.74,0.0,1.36,0.0,2019-12-09
4,242,25.0,0.7,0.0288,24.75,24.6,25.35,3108650.0,28.35,18.78,24.3,23.48,25.55,27.42,24.82,26.08,25.42,23.89,25.1,25.52,25.22,24.24,SIDEWAYS,DOWNTREND,SIDEWAYS,47.8871,-0.4238,0.0357,NEUTRAL,26.7296,51.2573,-43.9024,2934620.0,3202620.0,3078880.0,72809099.0,78941595.0,76127504.5,None,Bullish Harami,None,0.2407,0.0,0.0,-76137430.0,-256528835.0,-364661545.0,186063150.0,-65532314.0,1.71,0.4132,14.62,0.0,1.37,0.0,2019-09-06
5,242,23.8,-0.7,-0.0286,24.05,23.8,24.35,-15743065.0,28.35,19.1,23.78,22.8,24.72,25.62,24.89,25.36,25.59,24.28,24.72,25.13,25.1,24.35,DOWNTREND,SIDEWAYS,SIDEWAYS,36.0852,-0.2157,0.0266,LOW,-168.4638,23.3333,-100.0,1434670.0,1588580.0,1770520.0,35112665.0,39300486.33,44091881.0,None,None,None,0.1811,-0.0286,-0.0104,-32618790.0,-138928930.0,-354731265.0,-199102575.0,-54564556.0,1.71,0.4132,13.92,0.0,1.3,0.0,2019-10-03
6,247,26.0,-0.2,-0.0076,26.0,25.9,26.2,-7924100.0,28.35,20.15,25.88,24.92,27.1,28.05,26.29,25.59,25.71,25.1,26.15,25.85,25.57,24.86,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.2441,0.1933,0.0289,LOW,-38.9203,49.4109,-59.4595,2179090.0,2828866.67,2472195.0,57504978.0,74408022.67,65073532.0,Doji,Bullish Harami,None,0.2903,-0.0076,-0.0076,9558540.0,-10363100.0,148357590.0,79139570.0,315290544.0,1.73,0.0485,15.03,0.0,1.38,0.0,2019-12-02
7,245,25.65,0.05,0.002,25.5,25.25,25.85,-17390655.0,28.35,20.15,25.42,23.8,26.55,27.9,26.09,25.43,25.72,24.96,25.96,25.68,25.45,24.75,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.2133,0.2396,0.0278,LOW,-91.8909,32.4324,-72.973,2649130.0,2265253.33,2151485.0,69236616.5,59259754.0,56112541.75,None,Tweezer Bottoms,None,0.273,0.0079,-0.0339,-54089115.0,-11000745.0,183508300.0,-100707430.0,162504975.0,1.73,0.0485,14.83,0.0,1.37,0.0,2019-11-21
8,247,27.8,0.3,0.0109,27.4,27.3,28.75,-637360.0,28.75,20.15,26.35,24.95,28.28,28.38,26.4,26.13,25.57,25.35,26.58,26.16,25.8,25.08,UPTREND,SIDEWAYS,SIDEWAYS,65.102,0.2042,0.0309,NEUTRAL,214.0921,87.6076,-22.8916,2280010.0,1978760.0,2077250.0,61331030.5,52592634.33,55283218.5,None,None,None,0.3797,0.0611,0.0109,-16027375.0,-7937910.0,-18301010.0,240774005.0,360857872.0,1.73,0.0485,16.07,0.0,1.48,0.0,2019-12-23
9,242,24.8,-0.25,-0.01,24.95,24.8,25.05,-3720370.0,28.35,19.1,24.3,23.05,25.18,26.65,25.09,25.75,25.57,24.17,25.12,25.39,25.21,24.34,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.6513,-0.138,0.0227,LOW,-94.5055,45.977,-65.5172,1760830.0,1882040.0,2106965.0,44267061.0,47277869.0,52916717.25,None,None,None,0.2308,-0.008,-0.01,-25170835.0,-174312285.0,-469659160.0,-76524000.0,-136382487.0,1.71,0.4132,14.5,0.0,1.36,0.0,2019-09-24
