,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,245,0.38,0.0,0.0,0.38,0.38,0.38,0.0,0.51,0.32,0.37,0.36,0.38,0.4,0.38,0.39,0.4,0.42,0.38,0.39,0.4,0.41,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.7151,-0.004,0.0205,LOW,40.5405,75.0,-25.0,190000.0,240000.0,232500.0,71400.0,89563.33,87137.5,White Marubozu,Bullish Harami,None,-0.1059,0.0,0.0,0.0,0.0,-27200.0,-35100.0,-4729935.0,0.08,0.0,4.75,0.0,0.51,0.0,2019-10-22
1,248,0.36,0.03,0.0909,0.325,0.325,0.36,0.0,0.51,0.325,0.33,0.33,0.38,0.39,0.36,0.37,0.39,0.41,0.36,0.37,0.38,0.4,DOWNTREND,SIDEWAYS,SIDEWAYS,48.8611,-0.0075,0.0316,NEUTRAL,-71.3838,0.0,-36.3636,243000.0,248000.0,226500.0,84380.0,87826.67,80912.5,White Marubozu,None,None,-0.1529,0.0909,0.0909,0.0,0.0,0.0,-27200.0,-701385.0,0.02,0.0,18.0,0.0,0.47,0.0,2019-12-03
2,246,0.37,0.0,0.0,0.365,0.365,0.375,0.0,0.51,0.35,0.37,0.35,0.38,0.39,0.38,0.38,0.39,0.41,0.38,0.38,0.39,0.41,DOWNTREND,SIDEWAYS,SIDEWAYS,43.8149,-0.0022,0.021,LOW,-95.4106,43.3333,-60.0,239000.0,178666.67,201500.0,88045.0,66026.67,75420.0,None,None,None,-0.1294,-0.0263,0.0,0.0,0.0,0.0,-27200.0,-5047525.0,0.02,0.0,18.5,0.0,0.49,0.0,2019-11-20
3,248,0.34,0.01,0.0303,0.35,0.34,0.35,0.0,0.51,0.325,0.33,0.33,0.36,0.38,0.36,0.37,0.38,0.41,0.35,0.37,0.38,0.4,DOWNTREND,DOWNTREND,SIDEWAYS,43.1932,-0.0093,0.0365,NEUTRAL,-55.8559,16.6667,-70.0,194000.0,240666.67,220500.0,66080.0,84550.0,78272.5,Black Marubozu,None,None,-0.2,0.0303,0.0303,0.0,0.0,0.0,-27200.0,-701385.0,0.02,0.0,17.0,0.0,0.45,0.0,2019-12-09
4,243,0.39,-0.01,-0.025,0.395,0.39,0.395,0.0,0.51,0.32,0.37,0.35,0.4,0.42,0.39,0.4,0.41,0.42,0.39,0.4,0.41,0.43,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.7139,-0.003,0.024,LOW,8.547,71.4286,-42.8571,337000.0,312000.0,364000.0,129695.0,119943.33,140795.0,Black Marubozu,None,None,-0.0824,-0.025,-0.025,0.0,0.0,-7900.0,14700.0,-4095955.0,0.08,0.0,4.88,0.0,0.52,0.0,2019-09-06
5,243,0.37,-0.005,-0.0133,0.385,0.37,0.385,0.0,0.51,0.32,0.37,0.35,0.38,0.4,0.39,0.39,0.4,0.42,0.38,0.39,0.4,0.42,DOWNTREND,SIDEWAYS,SIDEWAYS,34.2674,-0.0035,0.0239,LOW,-132.5811,16.6667,-100.0,225000.0,205333.33,185500.0,84600.0,77966.67,70700.0,Black Marubozu,Bearish Engulfing,None,-0.1294,-0.0263,-0.0133,0.0,-27200.0,-27200.0,107400.0,-5913955.0,0.08,0.0,4.63,0.0,0.49,0.0,2019-10-03
6,248,0.33,0.0,0.0,0.33,0.33,0.33,0.0,0.51,0.33,0.33,0.33,0.36,0.39,0.36,0.37,0.39,0.41,0.36,0.37,0.38,0.4,DOWNTREND,SIDEWAYS,SIDEWAYS,32.0069,-0.006999999999999999,0.028999999999999998,LOW,-175.9794,0.0,-100.0,246000.0,266666.67,223500.0,85850.0,95056.67,80075.0,White Marubozu,Tweezer Bottoms,None,-0.2235,0.0,0.0,0.0,0.0,0.0,-27200.0,-701385.0,0.02,0.0,16.5,0.0,0.43,0.0,2019-12-02
7,246,0.36,-0.01,-0.027000000000000003,0.37,0.36,0.37,0.0,0.51,0.35,0.36,0.35,0.38,0.39,0.38,0.38,0.39,0.41,0.37,0.38,0.39,0.41,DOWNTREND,SIDEWAYS,SIDEWAYS,36.9823,-0.0025,0.022000000000000002,LOW,-159.9571,26.6667,-100.0,273000.0,206000.0,222500.0,100145.0,75866.67,82990.0,Black Marubozu,Bearish Engulfing,None,-0.1529,-0.0526,-0.027000000000000003,0.0,0.0,0.0,-27200.0,-4157165.0,0.02,0.0,18.0,0.0,0.47,0.0,2019-11-21
8,248,0.31,0.01,0.0333,0.3,0.3,0.32,0.0,0.51,0.3,0.3,0.3,0.33,0.38,0.34,0.36,0.38,0.4,0.33,0.35,0.37,0.4,DOWNTREND,DOWNTREND,DOWNTREND,37.4813,-0.0131,0.040999999999999995,NEUTRAL,-108.8435,0.0,-83.3333,246000.0,270000.0,244500.0,78425.0,88280.0,81402.5,None,None,None,-0.2706,-0.0606,0.0333,0.0,-3300.0,-3300.0,-3300.0,-153625.0,0.02,0.0,15.5,0.0,0.41,0.0,2019-12-23
9,243,0.385,0.0,0.0,0.385,0.385,0.385,0.0,0.51,0.32,0.3825,0.3675,0.3925,0.41,0.392,0.3969,0.4085,0.4203,0.3913,0.3968,0.4061,0.4223,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.3194,-0.0016,0.0183,LOW,-95.941,21.6667,-80.0,142000.0,143333.3333,257500.0,55120.0,55756.6667,99365.0,White Marubozu,Bullish Harami,None,-0.0941,-0.0375,-0.0128,0.0,-27200.0,-27200.0,-12500.0,-4278154.9999,0.08,0.0,4.81,0.0,0.51,0.0,2019-09-24
