,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,246,2.3,0.01,0.0044,2.29,2.29,2.3,0.0,2.52,1.8,2.24,2.12,2.32,2.41,2.3,2.32,2.28,2.15,2.3,2.31,2.26,2.19,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.0607,-0.0144,0.0234,LOW,-21.2142,47.619,-50.0,89400.0,86000.0,94100.0,203717.0,196310.67,215649.0,White Marubozu,None,None,0.1443,-0.0086,0.0,0.0,-56550.0,-273120.0,-403570.0,2571830.0,0.42,0.2353,5.48,0.0,0.68,0.0,2019-10-22
1,249,2.12,-0.03,-0.013999999999999999,2.15,2.12,2.15,-17200.0,2.52,1.94,2.1,2.01,2.2,2.29,2.2,2.26,2.3,2.18,2.19,2.24,2.24,2.19,DOWNTREND,SIDEWAYS,SIDEWAYS,31.9756,-0.0328,0.0181,LOW,-128.5714,11.1111,-100.0,258900.0,237000.0,213400.0,563605.0,518372.0,469665.0,Black Marubozu,Bearish Engulfing,None,0.0547,-0.0093,-0.0093,103360.0,167090.0,116550.0,-34460.0,-270740.0,0.47,0.2051,4.51,0.0,0.62,0.0,2019-12-03
2,247,2.2,0.0,0.0,2.22,2.19,2.22,15330.0,2.52,1.91,2.12,2.02,2.21,2.32,2.26,2.3,2.31,2.17,2.24,2.27,2.26,2.2,DOWNTREND,SIDEWAYS,SIDEWAYS,36.4618,-0.0223,0.0162,LOW,-101.4493,0.0,-92.3077,108500.0,149133.33,168550.0,240483.0,333130.67,379151.5,Black Long Day,Tweezer Tops,None,0.0945,-0.0517,0.0,63730.0,15470.0,13190.0,-161820.0,-485350.0,0.47,0.2051,4.68,0.0,0.64,0.0,2019-11-20
3,249,2.15,0.0,0.0,2.12,2.11,2.19,77370.0,2.52,1.94,2.11,2.01,2.2,2.27,2.18,2.25,2.3,2.18,2.18,2.23,2.24,2.19,DOWNTREND,DOWNTREND,SIDEWAYS,39.3381,-0.0333,0.0212,LOW,-64.4546,32.1429,-64.2857,266900.0,193800.0,188650.0,580276.0,421788.0,412334.0,None,None,None,0.0697,0.0047,0.0,307410.0,496100.0,441160.0,168040.0,231760.0,0.47,0.2051,4.57,0.0,0.63,0.0,2019-12-09
4,244,2.37,0.02,0.0085,2.35,2.35,2.39,7110.0,2.52,1.8,2.31,2.12,2.39,2.51,2.33,2.31,2.18,2.09,2.34,2.3,2.22,2.14,UPTREND,SIDEWAYS,UPTREND,53.6909,0.013999999999999999,0.0278,LOW,65.0711,81.3012,-23.5294,196300.0,253000.0,295100.0,462164.0,594738.0,682857.5,None,Tweezer Bottoms,None,0.1791,0.0085,0.0085,-16890.0,-338490.0,-245450.0,-2023710.0,9460780.0,0.42,0.2353,5.64,0.0,0.71,0.0,2019-09-06
5,244,2.27,-0.03,-0.013000000000000001,2.24,2.24,2.27,-44800.0,2.52,1.8,2.26,2.14,2.37,2.46,2.35,2.35,2.24,2.13,2.34,2.32,2.26,2.17,DOWNTREND,SIDEWAYS,UPTREND,39.7867,-0.0005,0.0207,LOW,-253.4001,0.0,-80.0,127400.0,101133.33,112200.0,295639.0,235458.0,263133.5,White Marubozu,None,None,0.1294,-0.0216,-0.0422,-217350.0,-261370.0,-283260.0,-465520.0,5508800.0,0.42,0.2353,5.4,0.0,0.68,0.0,2019-10-03
6,249,2.15,0.01,0.0047,2.12,2.12,2.15,19100.0,2.52,1.94,2.13,2.06,2.2,2.32,2.21,2.27,2.3,2.18,2.2,2.25,2.25,2.19,DOWNTREND,SIDEWAYS,SIDEWAYS,36.037,-0.0317,0.0182,LOW,-119.77600000000001,25.3968,-80.0,269900.0,237666.67,236150.0,587953.0,519959.33,520231.0,White Marubozu,None,None,0.0697,0.0047,0.0047,120560.0,184290.0,133750.0,-17260.0,-253540.0,0.47,0.2051,4.57,0.0,0.63,0.0,2019-12-02
7,247,2.18,-0.02,-0.0091,2.16,2.16,2.18,0.0,2.52,1.92,2.17,2.08,2.21,2.32,2.25,2.29,2.31,2.17,2.24,2.27,2.26,2.2,DOWNTREND,SIDEWAYS,SIDEWAYS,33.1744,-0.0237,0.0165,LOW,-136.1715,9.2949,-87.5,109900.0,149733.33,167300.0,243439.0,334322.67,376143.5,White Marubozu,None,None,0.0846,-0.0603,-0.0091,63730.0,15470.0,13190.0,-161820.0,-485350.0,0.47,0.2051,4.64,0.0,0.64,0.0,2019-11-21
8,249,2.12,0.03,0.0144,2.09,2.08,2.12,0.0,2.52,1.94,2.08,2.01,2.14,2.22,2.13,2.21,2.28,2.18,2.14,2.19,2.22,2.19,DOWNTREND,DOWNTREND,SIDEWAYS,42.4739,-0.0321,0.0184,LOW,-95.5612,0.0,-75.0,105600.0,85400.0,184750.0,223342.0,181053.33,398614.0,White Long Day,None,None,0.0547,-0.0093,0.0144,-105700.0,661160.0,826350.0,549090.0,243890.0,0.47,0.2051,4.51,0.0,0.62,0.0,2019-12-23
9,244,2.34,0.0,0.0,2.32,2.32,2.34,-46400.0,2.52,1.8,2.33,2.12,2.38,2.51,2.36,2.35,2.22,2.12,2.36,2.32,2.25,2.16,SIDEWAYS,SIDEWAYS,UPTREND,48.4725,0.0102,0.021,LOW,-123.2877,48.4848,-63.6364,90700.0,121466.67,138850.0,215050.0,288371.33,327852.0,White Marubozu,None,None,0.1642,-0.0043,-0.0168,-46400.0,51710.0,-269890.0,-652860.0,6684420.0,0.42,0.2353,5.57,0.0,0.7,0.0,2019-09-24
