,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,247,2.24,0.02,0.009000000000000001,2.24,2.24,2.24,0.0,3.25,1.61,2.2,2.08,2.31,2.54,2.32,2.24,2.14,2.49,2.28,2.24,2.28,2.52,DOWNTREND,UPTREND,UPTREND,47.3133,0.0248,0.0305,NEUTRAL,-92.2934,13.2784,-76.1905,18300.0,20000.0,23950.0,41016.0,45878.0,55720.0,White Marubozu,None,Three White Soldiers,-0.161,-0.0628,0.009000000000000001,0.0,0.0,2100.0,-38570.0,271730.0,-0.42,-4.5,-5.33,0.0,0.34,0.0,2019-10-22
1,250,1.99,0.08,0.0419,1.9,1.9,1.99,0.0,3.1,1.61,1.9,1.84,2.01,2.24,1.99,2.16,2.1,2.39,2.02,2.1,2.18,2.43,DOWNTREND,DOWNTREND,SIDEWAYS,45.1591,-0.0698,0.0249,LOW,-35.8829,0.0,-18.1818,12000.0,19333.33,43600.0,23227.0,37467.33,87841.5,White Marubozu,None,Three White Soldiers,-0.2547,0.0419,0.0419,0.0,0.0,-122790.0,-136370.0,-38360.0,-0.42,-4.5,-4.74,0.0,0.31,0.0,2019-12-03
2,248,1.96,0.0,0.0,1.97,1.96,1.97,0.0,3.1,1.61,1.91,1.84,2.01,2.33,2.06,2.19,2.11,2.41,2.05,2.13,2.21,2.45,DOWNTREND,DOWNTREND,UPTREND,39.9716,-0.0753,0.0276,LOW,-53.5406,16.8582,-82.7586,24200.0,54933.33,49350.0,46794.0,110850.67,101331.5,Black Marubozu,Bearish Engulfing,None,-0.2659,-0.0577,-0.0249,0.0,-122790.0,-122790.0,-120560.0,-38360.0,-0.42,-4.5,-4.67,0.0,0.3,0.0,2019-11-20
3,250,1.95,-0.03,-0.0152,1.95,1.95,1.95,0.0,3.1,1.61,1.9,1.84,1.99,2.12,1.97,2.15,2.1,2.38,2.01,2.09,2.18,2.42,SIDEWAYS,DOWNTREND,SIDEWAYS,41.9894,-0.0648,0.0234,LOW,-40.0856,66.6667,-54.5455,8500.0,13666.67,43650.0,16664.0,26482.67,87621.0,White Marubozu,None,Three White Soldiers,-0.2697,0.0209,0.0209,0.0,0.0,-122790.0,-120690.0,-38360.0,-0.42,-4.5,-4.64,0.0,0.3,0.0,2019-12-09
4,245,2.19,0.09,0.0429,2.12,2.12,2.19,0.0,3.25,1.61,2.1,1.94,2.21,2.35,2.22,2.07,2.23,2.6,2.18,2.16,2.27,2.58,UPTREND,UPTREND,DOWNTREND,51.4152,0.0447,0.0446,NEUTRAL,-52.7687,33.3333,-54.2857,57700.0,56800.0,47900.0,130612.0,127696.67,107399.0,White Marubozu,None,None,-0.1798,-0.0045,-0.0045,0.0,-15680.0,-31220.0,-40670.0,214360.0,-0.42,-4.5,-5.21,0.0,0.34,0.0,2019-09-06
5,245,2.34,0.01,0.0043,2.35,2.34,2.35,0.0,3.25,1.61,2.28,2.08,2.54,2.68,2.26,2.17,2.17,2.53,2.29,2.22,2.28,2.55,UPTREND,UPTREND,SIDEWAYS,54.0191,0.0516,0.047,NEUTRAL,56.6587,54.6667,-48.0,104800.0,84666.67,68050.0,246476.0,195681.33,156487.0,Black Marubozu,None,None,-0.1236,-0.0209,-0.0449,0.0,2100.0,-13580.0,-38570.0,304860.0,-0.42,-4.5,-5.57,0.0,0.36,0.0,2019-10-03
6,250,1.91,-0.07,-0.0354,1.91,1.91,1.91,0.0,3.1,1.61,1.9,1.84,1.98,2.24,2.0,2.16,2.1,2.39,2.02,2.1,2.19,2.43,DOWNTREND,DOWNTREND,SIDEWAYS,36.7796,-0.0718,0.0243,LOW,-85.4392,37.0588,-100.0,11600.0,29466.67,43500.0,22460.0,57422.67,87695.0,White Marubozu,None,Three White Soldiers,-0.2846,-0.0817,-0.0354,0.0,-39640.0,-122790.0,-136370.0,-38360.0,-0.42,-4.5,-4.55,0.0,0.29,0.0,2019-12-02
7,248,1.97,0.01,0.0051,1.97,1.97,1.97,0.0,3.1,1.61,1.96,1.9,2.01,2.31,2.05,2.19,2.11,2.41,2.04,2.12,2.2,2.44,DOWNTREND,DOWNTREND,SIDEWAYS,40.9621,-0.0754,0.0259,LOW,-45.6303,19.131,-75.0,17300.0,56200.0,50200.0,33410.0,113292.0,102916.0,White Marubozu,Bullish Harami,None,-0.2622,-0.0529,-0.0199,0.0,-122790.0,-122790.0,-152120.0,-38360.0,-0.42,-4.5,-4.69,0.0,0.3,0.0,2019-11-21
8,250,1.8,0.0,0.0,1.77,1.76,1.8,0.0,3.1,1.61,1.78,1.7,1.88,2.01,1.92,2.11,2.09,2.34,1.93,2.03,2.13,2.38,DOWNTREND,DOWNTREND,SIDEWAYS,32.1725,-0.065,0.0224,LOW,-184.6328,0.0,-82.6087,20600.0,16933.33,16100.0,38207.0,31758.0,30333.5,White Long Day,None,None,-0.3258,-0.0576,0.0,-1880.0,-1880.0,-124670.0,-122570.0,-40240.0,-0.42,-4.5,-4.29,0.0,0.28,0.0,2019-12-23
9,245,2.4,0.1,0.0435,2.3,2.3,2.52,0.0,3.25,1.61,2.2,2.06,2.46,2.55,2.23,2.12,2.18,2.56,2.22,2.18,2.27,2.55,SIDEWAYS,UPTREND,SIDEWAYS,59.2191,0.0277,0.0457,NEUTRAL,167.4305,62.4744,-27.2727,108300.0,78266.67,80400.0,248388.0,178560.0,183912.0,None,None,None,-0.1011,0.0909,0.0909,0.0,2100.0,2230.0,-38570.0,216460.0,-0.42,-4.5,-5.71,0.0,0.37,0.0,2019-09-24
