,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,248,76.0,-0.6,-0.0078,76.6,76.0,77.0,-19342068.0,90.65,68.1,75.85,73.35,77.8,80.5,77.42,78.04,77.24,79.44,77.38,77.69,77.81,78.71,SIDEWAYS,SIDEWAYS,SIDEWAYS,42.4012,-0.2893,0.0205,LOW,-91.4943,32.3718,-75.0,642816.0,808018.67,683537.0,49572725.45,62029526.83,52585137.9,None,Bearish Engulfing,None,-0.05,-0.038,-0.0072,-16435331.5,20126503.5,-10419882.0,104557809.5,-1751813710.5,2.88,-0.25,26.39,0.0,1.72,0.0,2019-10-22
1,251,74.95,-0.05,-0.0007,75.0,74.45,76.0,2133858.0,90.65,68.1,74.7,71.75,79.0,81.7,76.02,76.78,77.56,78.07,76.03,76.62,77.1,78.09,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.6289,-0.34299999999999997,0.0241,LOW,-92.4797,46.3333,-81.0,247605.0,302390.0,329179.5,18702208.4,22855443.87,24993917.93,Spinning Top,None,None,-0.0631,-0.0513,-0.0513,-13059353.5,-109000009.5,-290082999.0,-250210582.0,-1880385492.0,2.8,-0.2708,26.77,0.0,1.66,0.0,2019-12-03
2,249,76.5,1.3,0.0173,75.2,74.0,76.5,-2083896.5,90.65,68.1,74.55,72.22,77.72,80.5,76.51,77.41,77.62,78.61,76.36,76.97,77.36,78.31,DOWNTREND,SIDEWAYS,SIDEWAYS,49.6034,-0.4062,0.0182,LOW,-77.8682,0.0,-36.7089,387862.0,477233.33,486247.0,29529718.75,36336799.03,37207443.25,None,None,None,-0.0438,0.0086,0.0139,-24840978.0,-189968779.5,-173173244.5,-236217167.0,-1916781534.5,2.8,-0.2708,27.32,0.0,1.69,0.0,2019-11-20
3,251,75.0,1.3,0.0176,74.5,73.6,75.0,-38142.5,90.65,68.1,73.65,70.72,75.5,79.0,75.56,76.47,77.44,77.83,75.57,76.33,76.91,77.96,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.3488,-0.408,0.0221,LOW,-119.8636,0.0,-74.0741,224948.0,214401.33,282441.5,16913787.6,16147612.03,21334173.4,Hammer,None,None,-0.0625,-0.0506,0.0176,-2740027.0,-57606584.5,-273312299.0,-246658313.0,-1819495819.0,2.8,-0.2708,26.79,0.0,1.66,0.0,2019-12-09
4,246,77.05,-0.95,-0.0122,78.0,77.05,78.9,-20748.0,90.65,68.1,75.0,71.75,79.45,81.98,78.31,77.72,76.33,79.12,77.94,77.67,77.78,79.02,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.3916,0.0623,0.0262,LOW,-43.8979,41.9055,-62.7273,397965.0,562960.67,547924.0,30923124.0,43636079.63,42619298.3,None,None,None,-0.0369,-0.0122,-0.0122,12528617.0,-34422092.5,197627201.0,486426922.0,-1770000530.0,2.88,-0.25,26.75,0.0,1.74,0.0,2019-09-06
5,246,76.5,0.0,0.0,77.95,74.7,77.95,-5068151.5,90.65,68.1,75.6,73.35,79.0,81.7,78.48,78.43,76.45,79.42,78.28,78.11,78.02,78.94,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.8791,0.1053,0.0234,LOW,-141.4503,27.7691,-68.9655,320605.0,337958.67,379258.5,24953865.85,26568588.97,29672835.2,None,None,None,-0.0438,-0.0316,-0.0316,-7516046.0,-5794622.5,-66000579.0,399693090.5,-1343848636.5,2.88,-0.25,26.56,0.0,1.73,0.0,2019-10-03
6,251,75.0,-4.0,-0.0506,78.0,74.55,78.0,-7847112.0,90.65,68.1,74.75,71.75,79.0,81.7,76.06,76.85,77.59,78.13,76.15,76.69,77.14,78.12,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.8085,-0.3534,0.0243,LOW,-10.9976,59.3237,-80.0,233067.0,317565.33,340512.0,17612825.5,24039836.17,25864642.05,Black Long Day,None,None,-0.0625,-0.0506,-0.0506,-30696627.5,-112886021.5,-283683789.5,-266704045.5,-1918098165.0,2.8,-0.2708,26.79,0.0,1.66,0.0,2019-12-02
7,249,76.3,-0.2,-0.0026,75.5,75.0,76.3,-15059525.5,90.65,68.1,74.55,72.25,76.5,79.0,76.53,77.39,77.64,78.56,76.36,76.94,77.34,78.29,DOWNTREND,SIDEWAYS,SIDEWAYS,48.3918,-0.4046,0.0183,LOW,-54.7183,41.6759,-41.7722,398266.0,406672.0,455159.0,30316697.4,30946616.2,34850300.28,None,None,None,-0.0462,0.0059,0.0113,-38364896.0,-190076750.0,-200353575.5,-249086205.0,-1932229917.0,2.8,-0.2708,27.25,0.0,1.69,0.0,2019-11-21
8,251,77.0,2.0,0.0267,75.75,74.9,77.0,-5893310.5,90.65,68.1,71.5,68.48,79.0,81.7,74.96,75.91,77.1,77.21,74.95,75.74,76.48,77.63,DOWNTREND,SIDEWAYS,SIDEWAYS,57.9418,-0.5272,0.0228,LOW,135.6028,73.8095,0.0,235018.0,215702.0,229983.0,17335229.75,15962548.2,17124508.68,None,None,None,-0.0375,-0.0253,0.0267,-25687176.0,-22864997.0,-135751018.5,-271210735.5,-1684167763.5,2.8,-0.2708,27.5,0.0,1.7,0.0,2019-12-23
9,246,78.25,-0.25,-0.0032,78.5,78.25,78.5,-368557.5,90.65,68.1,77.35,75.0,80.5,87.0,78.4,78.34,76.3,79.32,78.72,78.16,78.02,79.01,UPTREND,SIDEWAYS,SIDEWAYS,48.8251,0.2958,0.0218,LOW,-1.5277,67.0076,-56.25,394317.0,398146.0,436984.5,31146436.2,31208092.17,34170351.95,Black Marubozu,None,None,-0.0219,0.0032,-0.0261,4505925.0,-2256228.0,-3567983.5,486768385.5,-1376394095.5,2.88,-0.25,27.17,0.0,1.77,0.0,2019-09-24
10,251,79.0,3.0,0.0395,76.0,74.5,79.0,-5406186.0,90.65,68.1,74.75,71.75,79.9,85.18,76.11,76.96,77.62,78.2,76.27,76.75,77.19,78.16,SIDEWAYS,SIDEWAYS,SIDEWAYS,63.9211,-0.3838,0.0205,LOW,189.8034,64.2512,0.0,243724.0,312580.0,332324.0,18437007.7,23684962.53,25255289.68,White Long Day,None,None,-0.0125,0.0415,0.0436,-23864192.5,-112542833.0,-277198300.0,-258877681.5,-1928590701.0,2.8,-0.2708,28.21,0.0,1.75,0.0,2019-11-29
11,246,80.5,0.4,0.005,79.9,78.55,80.5,30051912.5,90.65,68.1,77.25,74.8,81.7,87.0,78.05,78.11,76.25,79.17,78.23,77.83,77.85,78.98,DOWNTREND,SIDEWAYS,SIDEWAYS,58.4711,-0.0135,0.0225,LOW,163.6086,81.8182,0.0,494427.0,517269.33,590097.5,38558102.1,40350506.37,45900658.8,Hammer,None,None,0.0062,0.0321,0.005,21625758.5,-27819928.0,53309956.5,464572032.5,-1458055136.0,2.88,-0.25,27.95,0.0,1.82,0.0,2019-09-16
12,248,77.65,0.65,0.0084,77.6,77.0,77.95,-252150.5,90.65,68.1,76.52,73.35,79.9,86.0,77.96,78.21,77.01,79.51,77.82,77.9,77.91,78.8,DOWNTREND,SIDEWAYS,SIDEWAYS,48.9451,-0.213,0.0226,LOW,-19.9924,56.0897,-43.2692,832380.0,654206.67,538012.0,64043510.2,50443189.73,41572880.28,Spinning Top,Bullish Harami,None,-0.0294,-0.0171,-0.0282,54464427.0,36501820.0,30033345.0,225391933.5,-1737415146.0,2.88,-0.25,26.96,0.0,1.75,0.0,2019-10-16
13,246,78.5,-0.5,-0.0063,79.7,78.45,79.7,-2190487.5,90.65,68.1,77.2,74.8,80.5,86.0,78.59,77.55,76.46,79.1,78.42,77.71,77.81,79.13,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.893,0.3733,0.0243,LOW,40.2342,61.828,-51.6129,622187.0,590782.0,557673.0,48360737.05,46058263.47,43523643.6,Black Long Day,None,None,-0.0188,-0.0101,-0.0248,-37426140.0,63260412.0,391464403.0,441722477.5,-1869695783.0,2.88,-0.25,27.26,0.0,1.77,0.0,2019-08-28
14,246,79.0,0.0,0.0,79.0,78.9,79.0,4906137.0,90.65,68.1,77.38,75.0,80.5,87.0,78.43,78.49,76.35,79.39,78.74,78.25,78.08,79.0,UPTREND,SIDEWAYS,SIDEWAYS,51.6793,0.2598,0.0198,LOW,43.4457,60.8333,-40.0,266667.0,418328.67,380547.0,21020464.35,32885715.67,29789283.23,Dragonfly Doji,None,None,-0.0125,0.0128,0.0,-4074091.5,907435.5,-37517951.5,430118789.0,-1382558256.5,2.88,-0.25,27.43,0.0,1.78,0.0,2019-09-30
15,251,75.0,0.0,0.0,75.0,73.6,75.0,-4349763.0,90.65,68.1,73.65,70.72,75.2,79.0,75.48,76.39,77.44,77.78,75.52,76.27,76.87,77.93,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.3488,-0.423,0.0218,LOW,-109.2428,0.0,-74.0741,187296.0,219018.67,267254.0,14089811.45,16492800.63,20160079.18,Dragonfly Doji,None,None,-0.0625,-0.0506,0.0176,-9223648.0,-58473179.5,-252951478.0,-281059988.5,-1812569736.5,2.8,-0.2708,26.79,0.0,1.66,0.0,2019-12-10
16,246,78.5,0.0,0.0,77.5,77.25,78.5,4263348.5,90.65,68.1,77.2,74.8,80.5,85.18,78.61,77.6,76.47,79.1,78.43,77.74,77.83,79.12,DOWNTREND,SIDEWAYS,SIDEWAYS,50.893,0.3545,0.0237,LOW,-39.2694,46.5109,-65.3061,636592.0,587706.0,560312.0,49459579.8,45810553.8,43731207.38,White Long Day,None,None,-0.0188,-0.0101,-0.0248,-19563070.5,44931392.0,359468324.5,460287538.0,-1841633543.5,2.88,-0.25,27.26,0.0,1.77,0.0,2019-08-29
17,248,76.25,0.55,0.0073,77.3,76.05,77.3,-6399238.0,90.65,68.1,75.62,73.35,76.78,79.9,77.08,77.69,77.6,79.07,76.92,77.38,77.62,78.53,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.5795,-0.3302,0.02,LOW,-52.2049,13.5266,-79.7101,584632.0,631455.33,613724.0,44885167.75,48384268.23,47228946.6,Black Long Day,None,None,-0.0469,0.0053,0.0053,-75853345.0,-125895193.0,-93542482.0,-97110465.5,-1825704917.5,2.88,-0.25,26.48,0.0,1.72,0.0,2019-11-06
18,251,75.0,0.0,0.0,74.9,74.3,75.0,-863293.0,90.65,68.1,73.65,71.0,79.0,81.7,75.4,76.3,77.39,77.66,75.42,76.18,76.8,77.87,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.3488,-0.4345,0.0204,LOW,-62.9498,25.9259,-74.0741,164175.0,202859.33,229019.5,12323131.25,15243674.03,17253615.55,Hammer,None,None,-0.0625,-0.0506,0.0176,8376408.5,-26323100.5,-216399850.5,-243438133.5,-1794976096.5,2.8,-0.2708,26.79,0.0,1.66,0.0,2019-12-12
19,246,77.0,2.0,0.0267,75.5,75.5,77.95,-189012.5,90.65,68.1,75.0,72.25,79.45,82.25,78.34,77.67,76.38,79.1,78.04,77.68,77.79,79.05,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.1573,0.1729,0.0273,LOW,-114.3587,0.0,-66.1017,616883.0,604683.33,585505.5,47818264.1,46944401.27,45571630.03,None,None,None,-0.0375,-0.0128,-0.0128,-24301547.5,-37309690.0,195358588.5,464363495.0,-1762364310.0,2.88,-0.25,26.74,0.0,1.74,0.0,2019-09-04
20,246,77.0,-0.05,-0.0006,77.05,76.5,78.2,-14359605.4999,90.65,68.1,75.0,71.75,78.45,81.7,78.21,77.75,76.3,79.12,77.85,77.64,77.76,79.0,DOWNTREND,SIDEWAYS,SIDEWAYS,47.251999999999995,0.0075,0.0259,LOW,-71.8563,42.7273,-63.6364,415078.0,546246.0,546791.0,32217650.4,42328805.63,42505917.15,Spinning Top,None,None,-0.0375,-0.0128,-0.0006,-4413653.5,-38425387.0,137540846.0,477683415.0,-1666342730.0,2.88,-0.25,26.74,0.0,1.74,0.0,2019-09-09
21,248,76.55,-0.35,-0.0046,77.9,76.5,77.9,-1361622.5,90.65,68.1,76.52,73.35,78.6,81.7,77.62,78.17,77.13,79.48,77.62,77.81,77.87,78.76,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.6272,-0.2342,0.022000000000000002,LOW,-48.4874,44.8718,-64.4231,709031.0,655882.0,564550.5,54718136.2,50526446.47,43573480.8,Black Long Day,None,None,-0.0431,-0.031,-0.0419,48052942.0,35338051.0,16979744.0,214606945.0,-1738718629.0,2.88,-0.25,26.58,0.0,1.73,0.0,2019-10-18
