,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,250,9.24,0.22,0.0244,9.25,8.44,9.25,-5544.0,9.7,6.73,8.72,8.38,9.26,9.56,9.16,9.24,9.31,8.93,9.18,9.22,9.17,8.88,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.9064,-0.0232,0.0227,LOW,-121.0762,75.3754,-10.8108,33200.0,844786.67,636495.0,299759.8,7429669.33,5598727.15,Hanging Man,None,None,0.23199999999999998,0.0132,0.0267,-5544.0,-107507078.0,-107506140.0,-108568430.0,-217834208.0,0.11,1.2,84.0,0.0,2.93,0.0,2019-10-22
1,253,9.15,0.16,0.0178,9.15,9.15,9.15,0.0,9.7,6.95,8.99,8.52,9.16,9.44,9.07,9.13,9.22,9.1,9.09,9.13,9.14,8.93,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.1313,-0.0216,0.0175,LOW,86.5014,53.6054,-22.2222,7050.0,88960.0,70635.0,63947.1,795299.13,632016.7,White Marubozu,None,None,0.22,0.0167,0.0167,0.0,0.0,-5544.0,-107899060.0,-208635499.0,0.12,2.0,76.25,0.0,2.9,0.0,2019-12-03
2,251,9.14,-0.01,-0.0011,9.14,9.14,9.14,0.0,9.7,6.73,8.82,8.52,9.2,9.56,9.1,9.16,9.23,9.06,9.1,9.15,9.15,8.92,DOWNTREND,SIDEWAYS,SIDEWAYS,50.797,-0.034,0.0247,LOW,52.8194,0.0,-38.1818,132120.0,94926.67,79125.0,1181140.3,849515.47,707252.8,White Marubozu,Bullish Harami,None,0.2187,-0.0065,0.019,0.0,0.0,-5544.0,-107934780.0,-219067551.0,0.12,2.0,76.17,0.0,2.89,0.0,2019-11-20
3,253,8.83,-0.31,-0.0339,8.95,8.83,8.95,0.0,9.7,6.95,8.82,8.52,9.15,9.49,9.06,9.12,9.22,9.12,9.06,9.12,9.13,8.94,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.3642,-0.0211,0.0196,LOW,-179.6888,52.2222,-94.4444,12910.0,90173.33,71770.0,116012.7,806077.47,641816.85,Black Marubozu,None,None,0.1773,-0.0189,-0.0339,0.0,0.0,0.0,-107506140.0,-229347324.0,0.12,2.0,73.58,0.0,2.79,0.0,2019-12-09
4,248,9.38,-0.02,-0.0021,9.4,9.38,9.4,-15980.0,9.7,6.6,9.08,8.69,9.4,10.74,9.3,9.3,9.28,8.62,9.31,9.3,9.16,8.77,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.8411,-0.0132,0.0219,LOW,105.6814,75.81,-5.1282,19820.0,15586.67,84760.0,182293.9,143218.93,767897.25,Black Marubozu,Tweezer Tops,None,0.2507,0.0296,0.0296,-428640.0,-428640.0,-1062290.0,-67449767.0,-95507148.0,0.11,1.2,85.27,0.0,2.98,0.0,2019-09-06
5,248,8.99,-0.11,-0.0121,9.08,8.59,9.36,-107501534.0,9.7,6.6,8.79,8.51,9.24,9.56,9.21,9.28,9.31,8.82,9.18,9.24,9.17,8.84,DOWNTREND,SIDEWAYS,SIDEWAYS,41.923,-0.0403,0.021,LOW,-148.3362,23.1183,-50.0,1237600.0,829373.33,627505.0,10877878.7,7291421.13,5519434.25,None,None,None,0.1987,-0.0143,-0.0099,-107501534.0,-107500596.0,-107929236.0,-125485818.0,-215292151.0,0.11,1.2,81.73,0.0,2.85,0.0,2019-10-03
6,253,8.99,-0.01,-0.0011,8.99,8.99,8.99,0.0,9.7,6.95,8.9,8.52,9.15,9.49,9.08,9.13,9.22,9.1,9.08,9.13,9.14,8.93,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.5084,-0.0223,0.0179,LOW,-89.4928,44.6863,-57.7778,127270.0,90366.67,70795.0,1137601.7,808079.47,633479.65,White Marubozu,None,None,0.1987,-0.0011,-0.0011,0.0,0.0,-5544.0,-107899060.0,-208558569.0,0.12,2.0,74.92,0.0,2.84,0.0,2019-12-02
7,251,9.15,0.01,0.0011,8.81,8.81,9.15,0.0,9.7,6.73,8.82,8.52,9.2,9.56,9.1,9.16,9.23,9.07,9.1,9.15,9.15,8.92,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.0678,-0.0322,0.0256,LOW,-17.8217,63.0303,-36.3636,130230.0,95140.0,75385.0,1163950.4,851432.13,675134.45,White Marubozu,None,None,0.22,-0.0054,0.0201,0.0,0.0,-5544.0,-107934780.0,-219067551.0,0.12,2.0,76.25,0.0,2.9,0.0,2019-11-21
8,253,9.05,0.29,0.0331,8.74,8.74,9.05,0.0,9.7,7.4,8.74,8.43,9.14,9.49,9.03,9.08,9.18,9.13,9.01,9.08,9.11,8.94,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.6135,-0.0334,0.0257,LOW,-34.8837,49.5354,-21.9512,285870.0,195906.67,149390.0,2532802.3,1736211.2,1324407.5,White Marubozu,None,None,0.2067,0.0056,0.0331,0.0,-875.0,-875.0,-107507953.0,-229285737.0,0.12,2.0,75.42,0.0,2.86,0.0,2019-12-23
9,248,9.12,-0.24,-0.0256,9.12,9.12,9.12,0.0,9.7,6.6,9.1,8.83,9.36,9.66,9.28,9.32,9.31,8.75,9.27,9.28,9.18,8.82,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.6189,-0.013000000000000001,0.021,LOW,-138.329,45.098,-87.5,10400.0,14360.0,15955.0,95316.8,132548.07,146674.35,White Marubozu,None,None,0.21600000000000003,0.0011,-0.0065,0.0,-391982.0,-554042.0,-48836514.0,-103442829.0,0.11,1.2,82.91,0.0,2.9,0.0,2019-09-24
10,253,9.0,-0.05,-0.0055,9.04,9.0,9.15,0.0,9.7,6.76,8.82,8.52,9.16,9.49,9.09,9.14,9.22,9.09,9.09,9.14,9.14,8.93,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.8768,-0.0208,0.0191,LOW,-36.2393,47.619,-59.1837,129270.0,90366.67,72180.0,1155410.0,808082.07,646239.8,Shooting Star,None,None,0.2,-0.0217,-0.0142,0.0,0.0,-5544.0,-107899060.0,-218931563.0,0.12,2.0,75.0,0.0,2.85,0.0,2019-11-29
11,248,9.36,0.17,0.0185,9.19,9.08,9.36,0.0,9.7,6.6,9.12,8.83,9.39,9.68,9.28,9.31,9.3,8.69,9.28,9.29,9.17,8.8,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.8913,-0.0176,0.0208,LOW,12.5325,77.7778,-10.2564,17500.0,18580.0,16190.0,161821.3,170898.6,148736.4,None,None,None,0.248,0.0274,0.0185,938.0,-427702.0,-652382.0,-67448829.0,-98545848.0,0.11,1.2,85.09,0.0,2.97,0.0,2019-09-16
12,250,9.14,-0.16,-0.0172,9.25,9.14,9.25,0.0,9.7,6.6,8.62,8.3,9.3,9.66,9.2,9.26,9.32,8.9,9.22,9.24,9.18,8.87,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.3413,-0.0143,0.0188,LOW,-6.3091,89.7898,-19.8198,1247620.0,834840.0,628150.0,10970172.8,7341632.73,5524724.95,Black Marubozu,None,None,0.2187,0.0022,-0.0065,0.0,-107501534.0,-107893516.0,-121601286.0,-216218215.0,0.11,1.2,83.09,0.0,2.9,0.0,2019-10-16
