,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,251,23.1,0.35,0.0154,22.75,22.75,23.1,1806785.0,29.3,19.8,22.5,21.78,23.12,23.95,22.64,22.91,22.83,22.85,22.8,22.87,22.94,23.72,UPTREND,SIDEWAYS,SIDEWAYS,54.0426,-0.0545,0.02,LOW,89.818,74.7126,-3.4483,619320.0,744006.67,731725.0,14183279.0,16865314.33,16555118.5,White Marubozu,None,None,0.0022,0.0132,0.0267,-13401335.0,-16678345.0,-91400370.0,-225501305.0,-2299229458.0,2.34,-0.3777,9.87,0.0,2.43,0.0,2019-10-22
1,254,21.0,-0.6,-0.0278,21.3,21.0,21.6,-9041980.0,27.1,19.76,19.76,19.76,21.95,23.9,22.44,22.7,22.97,22.68,22.13,22.6,22.8,23.46,DOWNTREND,SIDEWAYS,SIDEWAYS,38.5526,-0.381,0.0336,NEUTRAL,-75.2859,41.2238,-70.0483,3331350.0,2422633.33,1969585.0,71092300.4,52165311.27,42720103.7,None,None,None,-0.0889,-0.0367,-0.0367,-16802970.0,5627460.0,73752750.0,-32167575.0,-1455497028.0,2.74,0.0301,7.66,0.0,2.09,0.0,2019-12-03
2,252,21.85,-1.55,-0.0662,23.0,20.35,23.05,14797410.0,27.15,19.8,21.1,19.88,23.9,24.68,23.44,23.1,23.13,22.79,23.29,23.17,23.1,23.67,SIDEWAYS,SIDEWAYS,SIDEWAYS,32.9555,0.1386,0.0292,LOW,-467.6545,55.7512,-57.7465,1448670.0,1247226.67,1290690.0,32541913.5,28231118.33,29447602.0,None,None,None,-0.0521,-0.0642,-0.0858,33968690.0,60481070.0,67310140.0,-35352330.0,-1730494888.0,2.74,0.0301,7.97,0.0,2.17,0.0,2019-11-20
3,254,20.2,0.2,0.01,20.0,20.0,20.6,-30962464.9999,25.3,19.0,19.5,19.38,21.3,23.9,21.83,22.54,22.87,22.62,21.57,22.28,22.62,23.34,DOWNTREND,DOWNTREND,SIDEWAYS,34.5726,-0.5191,0.0397,NEUTRAL,-101.6448,25.4965,-70.3704,2647550.0,3016166.67,2410310.0,55696550.7,63630403.07,51231333.8,Inverted Hammer,Bullish Harami,None,-0.1236,-0.0734,0.01,-99060870.0,-103704360.0,-62484275.0,-96643690.0,-1454018748.0,2.74,0.0301,7.37,0.0,2.01,0.0,2019-12-09
4,249,23.35,0.55,0.0241,22.8,22.5,23.35,1412030.0,30.2,19.8,22.65,21.92,23.5,24.68,22.89,23.15,22.86,23.21,23.01,22.97,23.02,24.04,UPTREND,SIDEWAYS,SIDEWAYS,55.2128,-0.0385,0.0244,LOW,100.3431,83.9506,0.0,673180.0,681500.0,831945.0,15447584.0,15549157.0,18848303.75,None,Bullish Engulfing,None,0.013000000000000001,0.0065,0.0065,-21303190.0,2555410.0,-134621650.0,-247333245.0,-2722321658.0,2.34,-0.3777,9.98,0.0,2.46,0.0,2019-09-06
5,249,22.35,0.3,0.0136,21.75,21.7,22.35,597015.0,29.5,19.8,21.88,21.15,22.82,23.95,23.0,23.08,22.76,22.93,22.76,22.92,22.99,23.85,DOWNTREND,SIDEWAYS,SIDEWAYS,44.0514,-0.1307,0.0272,LOW,-113.2516,11.3615,-71.1111,895930.0,1764973.33,1658125.0,20113068.0,40848192.0,38471757.25,White Long Day,None,None,-0.0304,-0.0197,0.0136,-23351215.0,-64520200.0,-113478405.0,-231739765.0,-2438928053.0,2.34,-0.3777,9.55,0.0,2.35,0.0,2019-10-03
6,254,21.6,-0.2,-0.0092,21.85,21.5,21.85,-12411040.0,27.1,19.76,21.08,19.76,22.0,23.9,22.54,22.73,22.99,22.7,22.25,22.66,22.83,23.48,DOWNTREND,SIDEWAYS,SIDEWAYS,42.71,-0.354,0.033,NEUTRAL,-55.5169,48.0676,-55.5556,3091570.0,2258626.67,1924815.0,66125381.4,48761629.6,41963933.95,Black Long Day,None,None,-0.0629,-0.0092,-0.0092,10355935.0,14423045.0,84269885.0,-22246775.0,-1481111248.0,2.74,0.0301,7.88,0.0,2.14,0.0,2019-12-02
7,252,19.76,-2.09,-0.0957,21.9,19.76,21.95,-10367050.0,27.15,19.76,19.76,19.76,23.9,24.68,23.25,23.02,23.1,22.77,22.95,23.03,23.04,23.63,DOWNTREND,SIDEWAYS,SIDEWAYS,21.8744,0.0579,0.0379,NEUTRAL,-418.1188,30.7512,-100.0,1887760.0,1525680.0,1371495.0,41563167.4,33916590.27,30753198.7,Black Long Day,None,None,-0.1427,-0.1537,-0.1732,7743550.0,43477385.0,64707895.0,-50055505.0,-1733841478.0,2.74,0.0301,7.21,0.0,1.96,0.0,2019-11-21
8,254,21.8,0.25,0.0116,21.6,21.6,21.9,5056940.0003,25.3,19.0,20.82,19.5,21.85,23.5,21.03,22.21,22.56,22.54,21.22,21.83,22.31,23.11,DOWNTREND,DOWNTREND,SIDEWAYS,54.9657,-0.4548,0.032,NEUTRAL,97.5473,88.8208,-3.4483,1786540.0,2146146.67,2217045.0,37111397.4,44287747.07,46403974.05,White Long Day,None,None,-0.0542,0.0,0.0116,-1064280.0,-162209687.0,-147786642.0,-106859417.0,-1440008020.0,2.74,0.0301,7.96,0.0,2.16,0.0,2019-12-23
9,249,22.35,-0.3,-0.0132,22.65,22.05,22.85,-20397695.0,29.5,19.8,22.2,21.4,23.5,24.22,23.21,23.23,22.84,23.06,23.15,23.09,23.08,23.96,UPTREND,SIDEWAYS,SIDEWAYS,37.6406,0.0741,0.0258,LOW,-206.9204,21.3551,-84.2105,2529730.0,1864793.33,1632015.0,59233444.5,43608560.33,38079218.0,None,None,None,-0.0304,-0.0366,-0.0304,-31111135.0,-65557905.0,-48880395.0,-203047440.0,-2513951128.0,2.34,-0.3777,9.55,0.0,2.35,0.0,2019-09-24
10,254,21.8,-0.05,-0.0023,21.85,21.75,21.95,612580.0,27.1,19.76,20.35,19.76,22.0,23.9,22.64,22.76,23.0,22.71,22.31,22.71,22.86,23.5,DOWNTREND,SIDEWAYS,SIDEWAYS,44.1848,-0.3307,0.034,NEUTRAL,-50.5457,50.4831,-50.7246,2852180.0,2121780.0,1827365.0,60982638.4,45869647.27,39916290.2,Spinning Top,None,None,-0.0542,-0.0664,0.0506,20029420.0,31612115.0,88046045.0,-8423705.0,-1496124388.0,2.74,0.0301,7.96,0.0,2.16,0.0,2019-11-29
11,249,23.95,0.2,0.0084,23.75,23.05,23.95,1087395.0,29.5,19.8,23.18,22.2,24.68,26.88,23.12,23.2,22.88,23.13,23.28,23.1,23.08,24.01,UPTREND,SIDEWAYS,SIDEWAYS,62.8099,0.0705,0.0244,LOW,158.3628,96.1345,0.0,2392040.0,1917093.33,1587740.0,56117504.0,44816291.33,37013398.5,Hammer,Bullish Engulfing,None,0.039,0.0323,0.0084,-24455380.0,-50731040.0,-56340330.0,-250695645.0,-2557524968.0,2.34,-0.3777,10.24,0.0,2.52,0.0,2019-09-16
12,251,22.8,-0.2,-0.0087,22.95,22.6,23.0,-7803685.0,29.5,19.8,22.7,21.78,23.0,23.95,22.65,22.89,22.81,22.86,22.78,22.87,22.95,23.76,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.8366,-0.1007,0.0216,LOW,34.7465,85.0575,-24.1379,672380.0,800293.33,768585.0,15316401.0,18065347.0,17381178.5,None,Tweezer Tops,None,-0.0108,0.0,-0.0044,-20039035.0,-31323850.0,-97158835.0,-209432940.0,-2359908488.0,2.34,-0.3777,9.74,0.0,2.4,0.0,2019-10-16
13,249,23.0,0.1,0.0044,22.9,22.75,23.0,4336125.0,31.0,19.8,22.38,21.4,23.5,24.68,22.92,22.99,22.78,23.38,22.95,22.95,23.02,24.11,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.2958,-0.0831,0.0294,LOW,27.1493,66.6667,-25.641,754420.0,882360.0,1784065.0,17003044.5,19857557.0,41016035.75,None,None,None,-0.0022,0.0,0.0155,20787510.0,34682685.0,-99732260.0,-236807400.0,-3028036213.0,2.34,-0.3777,9.83,0.0,2.42,0.0,2019-08-28
14,249,22.8,0.75,0.034,22.5,22.05,22.85,-4558315.0,29.5,19.8,22.05,21.4,22.82,23.95,23.12,23.18,22.79,22.98,22.96,23.01,23.04,23.9,DOWNTREND,SIDEWAYS,SIDEWAYS,47.4887,-0.0394,0.0262,LOW,-91.5156,0.0,-60.5263,766510.0,1990460.0,1579275.0,17452007.0,46400723.0,36784755.5,None,Tweezer Bottoms,None,-0.0108,-0.0172,0.034,-35914870.0,-83034180.0,-73613235.0,-231456205.0,-2510875388.0,2.34,-0.3777,9.74,0.0,2.4,0.0,2019-09-30
