,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,253,1537.23,0.3,0.0002,1529.64,1527.57,1537.4,-145282386.4992,1720.44,1363.54,1523.16,1433.58,1537.8,1598.99,1524.19,1563.61,1617.36,1598.43,1534.23,1562.13,1584.14,1584.26,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.2743,-16.2188,0.0106,LOW,45.4458,94.0932,-2.1069999999999998,170969485.0,152190042.4,211198814.05,2027613326.34,1705993661.55,1809659954.01,White Long Day,None,None,0.0655,0.006999999999999999,0.0046,-399786851.5,-3137039012.5,-3949582984.0,-4764642488.0,-5223495584.99,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,256,1544.0,2.09,0.0014,1530.93,1530.93,1544.0,-16328234.5001,1720.44,1396.36,1535.93,1488.81,1548.5,1613.04,1546.86,1534.99,1574.91,1597.76,1543.89,1549.13,1565.8,1573.64,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.221000000000004,1.4291,0.0091,LOW,-118.4783,57.6513,-37.1953,63878276.3,67713655.53,73525584.15,688202890.06,714866764.62,799266401.63,White Marubozu,None,None,0.0702,-0.0016,-0.0016,66786886.0,73088524.5,-1041635480.5,-4673923798.5,-4254083166.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,254,1549.62,0.05,0.0,1542.2,1534.32,1551.65,-66934660.5002,1720.44,1380.55,1539.08,1493.92,1552.08,1598.99,1540.31,1545.21,1588.15,1600.54,1543.22,1551.17,1570.01,1576.38,UPTREND,SIDEWAYS,SIDEWAYS,54.6843,1.3231,0.0093,LOW,32.7328,66.5478,-29.8124,76393233.0,86778357.93,84667882.6,844756468.33,920134837.84,874884402.87,None,None,None,0.0741,0.0242,0.0014,-93712629.5,-750566746.5,-2984594748.5,-5107324411.0,-4940396814.99,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,256,1497.17,-2.18,-0.0015,1503.79,1491.89,1504.53,-141379465.5006,1720.44,1396.36,1494.53,1433.15,1544.0,1622.87,1538.7,1531.3,1567.49,1596.03,1531.7,1543.01,1561.36,1571.07,DOWNTREND,SIDEWAYS,SIDEWAYS,28.8157,-2.4090000000000003,0.0106,LOW,-265.1851,5.0594,-91.1647,63995645.1,62800641.73,64413213.95,662399955.53,675024293.04,696872660.82,None,None,None,0.0377,-0.0319,-0.0015,-431918788.0,-254968344.0,-1084873142.0,-5339560174.0,-4081820679.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,251,1594.99,18.31,0.0116,1588.16,1581.96,1601.87,22796044.9999,1720.44,1363.54,1562.84,1511.59,1616.08,1669.69,1584.31,1635.27,1637.55,1575.97,1593.21,1616.14,1617.99,1597.48,SIDEWAYS,DOWNTREND,SIDEWAYS,48.8442,-15.2486,0.0167,LOW,49.6625,37.6909,-41.6269,227176788.1,181563062.53,171476795.9,1138942299.74,1061808807.19,1062533686.58,None,None,None,0.1056,-0.0177,-0.0177,-383429043.0,-417420920.5,-866551602.0,-701738387.5,-2519387763.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,251,1502.66,9.77,0.0065,1490.58,1484.73,1502.66,-323570404.9996,1720.44,1363.54,1488.81,1433.15,1556.61,1627.34,1573.97,1590.24,1631.78,1592.35,1558.22,1588.62,1602.4,1592.86,DOWNTREND,SIDEWAYS,SIDEWAYS,30.5219,-15.6605,0.0142,LOW,-161.362,9.3067,-87.0765,250421393.3,207490899.67,186057319.4,1469934102.87,1293149831.39,1142372975.96,White Long Day,None,None,0.0416,-0.0156,-0.0268,-617232940.5,-1264355001.5,-1304609644.5,-1928658247.5,-3101939696.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,256,1541.91,-4.57,-0.003,1548.88,1537.1,1550.52,20336323.5,1720.44,1396.36,1537.52,1488.81,1549.28,1622.87,1547.41,1535.45,1576.21,1598.13,1543.88,1549.34,1566.24,1573.93,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.7527,1.5501,0.0091,LOW,-58.9492,52.8529,-44.5779,68498228.5,68749129.2,76109608.45,697657154.79,719244024.58,839186544.85,None,None,None,0.0688,-0.003,-0.003,161450553.5,110117147.0,-1081866121.0,-4655946419.5,-4280973271.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,254,1542.53,-7.09,-0.0046,1537.56,1533.56,1543.58,24892807.9995,1720.44,1380.55,1538.04,1491.84,1550.8,1623.61,1540.89,1543.72,1586.46,1600.2,1543.15,1550.83,1569.46,1576.05,UPTREND,SIDEWAYS,SIDEWAYS,49.6628,1.535,0.0094,LOW,-6.2824,62.4481,-52.9371,78421670.2,86303005.87,84050722.45,859450073.15,927962774.88,887764836.37,None,None,None,0.0692,0.0195,-0.0032,-56117432.5,-558980146.5,-2876598863.0,-5004844267.0,-4723343786.99,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,256,1531.69,-1.65,-0.0011,1520.03,1519.67,1531.69,-3801985.9999,1720.44,1430.84,1508.26,1433.15,1535.92,1622.87,1523.82,1532.48,1552.96,1593.75,1525.37,1535.2,1553.59,1566.03,DOWNTREND,SIDEWAYS,SIDEWAYS,52.0253,-5.7025,0.0127,LOW,22.6936,78.1185,-19.410999999999998,59493903.4,56797758.33,61744774.25,960294794.26,850116052.68,811347374.89,White Long Day,None,None,0.0617,-0.0096,-0.0011,117818547.0,-713964113.5,-603846966.5,-4796192929.0,-3365163255.99,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,251,1559.21,-7.6,-0.0049,1562.75,1558.91,1571.39,-113101406.0001,1720.44,1363.54,1559.06,1511.46,1598.99,1658.42,1594.77,1612.26,1637.16,1588.52,1593.09,1608.69,1613.67,1597.58,SIDEWAYS,SIDEWAYS,SIDEWAYS,38.8431,-4.4414,0.0137,LOW,-135.8982,15.4181,-99.5843,121732361.6,129482884.47,168513677.15,858857731.51,818259243.71,917408606.3,Shooting Star,None,None,0.0808,-0.0397,-0.0186,-697377146.5,-686812327.0,-711121498.5,-1224317061.5,-2805341303.99,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
