,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,254,139.0,0.0,0.0,139.0,139.0,139.0,200160.0,164.0,101.3,134.0,125.0,141.5,155.15,137.8,140.04,136.96,129.72,138.25,138.69,136.22,130.82,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.8082,-0.7914,0.0247,LOW,42.7804,54.1667,-50.0,191919.0,132174.67,105644.5,26081214.2,17979536.87,14383202.35,White Marubozu,Bullish Harami,None,0.121,-0.0071,0.0,483737.0,2433566.0,2755222.0,7327351.0,33385074.5,1.96,0.0538,70.92,0.0,13.91,0.0,2019-10-22
1,257,150.0,0.1,0.0007,150.0,150.0,150.0,1132500.0,164.0,109.5,149.9,142.75,159.0,163.5,150.34,143.29,142.52,133.56,149.01,145.37,141.18,134.71,SIDEWAYS,UPTREND,SIDEWAYS,56.9649,2.5148,0.0108,LOW,-4.7322,4.127,-95.2381,108855.0,84540.67,97501.0,16328238.2,12682103.8,14423226.45,White Marubozu,None,None,0.2097,0.0007,0.0007,954004.0,2052709.0,5243318.0,7536203.0,89908991.5,1.97,0.0591,76.14,0.0,15.35,0.0,2019-12-03
2,255,150.0,0.0,0.0,150.0,150.0,150.0,9000.0,164.0,104.0,149.9,136.5,159.0,163.5,147.0,142.09,141.21,132.5,148.04,143.89,139.86,133.6,UPTREND,UPTREND,SIDEWAYS,57.0043,3.2417,0.018000000000000002,LOW,42.1702,52.381,-47.619,118203.0,124242.0,95518.5,17731788.0,18364446.47,14098264.65,White Marubozu,Bullish Harami,Three White Soldiers,0.2097,0.0067,0.0,388380.0,3713867.0,4454814.0,6787932.0,77645575.5,1.97,0.0591,76.14,0.0,15.35,0.0,2019-11-20
3,257,145.0,0.0,0.0,145.0,145.0,145.0,0.0,164.0,110.0,140.0,135.25,150.0,159.0,150.44,143.57,142.65,133.85,148.28,145.34,141.33,134.91,DOWNTREND,UPTREND,SIDEWAYS,42.3591,2.0174,0.0165,LOW,-176.0822,28.254,-60.0,108791.0,72784.0,97229.0,16318153.4,10918311.27,14384147.2,White Marubozu,Bullish Harami,Three White Soldiers,0.1694,-0.0327,0.0,967504.0,1409769.0,5402156.0,7536203.0,89776864.5,1.97,0.0591,73.6,0.0,14.84,0.0,2019-12-09
4,252,138.0,-2.0,-0.0143,142.0,138.0,142.0,0.0,164.0,98.0,136.15,132.0,144.0,161.25,141.26,141.76,131.68,125.85,141.96,139.87,134.95,128.65,UPTREND,SIDEWAYS,UPTREND,44.0318,0.3077,0.038,NEUTRAL,-41.4954,30.9077,-70.4082,21479.0,17967.33,13903.5,2989702.1,2504699.0,1937043.4,Black Marubozu,None,None,0.1129,-0.0417,-0.0417,1435.0,170548.0,2885300.0,40851157.0,77255587.5,1.96,0.0538,70.41,0.0,13.81,0.0,2019-09-06
5,252,135.6,0.2,0.0015,135.6,135.6,135.6,0.0,164.0,98.0,135.2,125.0,141.0,161.25,138.8,142.15,134.44,128.28,138.86,139.1,135.8,129.99,DOWNTREND,SIDEWAYS,UPTREND,44.1935,-0.98,0.0287,LOW,-116.7595,22.7273,-93.1818,49204.0,32817.33,34467.5,6861946.5,4576669.2,4799756.6,White Marubozu,Bullish Harami,None,0.0935,-0.0314,-0.0314,1876465.0,2092370.0,2262918.0,9132432.0,38812338.5,1.96,0.0538,69.18,0.0,13.57,0.0,2019-10-03
6,257,149.9,0.0,0.0,149.9,149.9,149.9,-5996.0,164.0,109.5,149.85,141.5,150.0,159.0,150.04,143.05,142.34,133.39,148.91,145.18,141.0,134.55,UPTREND,UPTREND,SIDEWAYS,56.6875,2.6624,0.0116,LOW,4.2328,5.57,-96.1905,108088.0,84287.33,97381.0,16213196.2,12644108.8,14403276.95,White Marubozu,Tweezer Bottoms,None,0.2089,0.0,0.0,-176996.0,1478209.0,4110818.0,6403703.0,88856221.5,1.97,0.0591,76.09,0.0,15.34,0.0,2019-12-02
7,255,150.0,0.0,0.0,150.0,150.0,150.0,-6000.0,164.0,104.0,149.9,139.0,158.0,163.5,147.55,142.21,141.41,132.64,148.23,144.13,140.06,133.76,UPTREND,UPTREND,SIDEWAYS,57.0043,3.2234,0.0167,LOW,36.9605,50.236000000000004,-54.0541,118030.0,124240.67,95382.5,17706015.0,18364270.47,14079427.35,White Marubozu,Bullish Harami,Three White Soldiers,0.2097,0.0067,0.0,113900.0,3707867.0,4448814.0,6781932.0,77137380.5,1.97,0.0591,76.14,0.0,15.35,0.0,2019-11-21
8,257,145.5,-2.5,-0.0169,147.0,145.5,148.0,0.0,164.0,110.0,131.3,125.0,150.0,158.9,147.96,144.72,143.46,134.95,146.62,145.46,142.01,135.77,DOWNTREND,SIDEWAYS,SIDEWAYS,48.9014,0.1935,0.0417,NEUTRAL,-35.1683,44.406000000000006,-46.3668,191824.0,131223.33,150339.5,26514014.1,18177108.2,21421126.15,None,Tweezer Tops,None,0.1734,-0.0294,-0.0169,-112686.0,839729.0,3844056.0,7382413.0,91102344.5,1.97,0.0591,73.86,0.0,14.89,0.0,2019-12-23
9,252,138.9,1.2,0.0087,137.6,137.1,138.9,26134.0,164.0,98.0,135.35,125.0,140.5,161.25,140.56,142.21,133.54,127.55,139.97,139.52,135.65,129.62,DOWNTREND,SIDEWAYS,UPTREND,47.8276,-0.7782,0.0311,NEUTRAL,-55.2176,43.2912,-55.6818,47854.0,45042.0,34666.5,6673071.1,6271720.33,4831386.6,White Long Day,None,None,0.1202,-0.0354,0.0087,192445.0,217340.0,201903.0,15796853.0,78618393.5,1.96,0.0538,70.87,0.0,13.9,0.0,2019-09-24
