,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,255,0.122,-0.005,-0.0394,0.122,0.122,0.122,0.0,0.14300000000000002,0.121,0.1215,0.121,0.127,0.133,0.1245,0.1261,0.1273,0.1272,0.1244,0.1256,0.1267,0.1281,DOWNTREND,SIDEWAYS,SIDEWAYS,44.1276,-0.0008,0.0206,LOW,-87.4704,72.2222,-83.3333,177000.0,224666.6667,311500.0,21666.0,27629.3333,39228.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.024,-0.0081,-0.0394,1270.0,6190.0,15130.0,30310.0,169599.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,258,0.115,-0.001,-0.0086,0.115,0.115,0.115,0.0,0.161,0.115,0.115,0.115,0.124,0.1485,0.1242,0.1249,0.1262,0.1272,0.1222,0.1245,0.1258,0.1274,DOWNTREND,SIDEWAYS,SIDEWAYS,38.4974,-0.0014,0.0436,NEUTRAL,-144.4052,0.0,-100.0,3231000.0,15081333.3333,11371500.0,388824.0,2120886.6667,1598383.0,White Marubozu,Bullish Harami,None,-0.08,0.0,0.0,0.0,2550.0,-2410.0,10160.0,5840.0,0.0,0.0,0.0,0.0,0.12,0.0,2019-12-03
2,256,0.125,0.001,0.0081,0.125,0.125,0.128,0.0,0.161,0.121,0.1235,0.121,0.1455,0.15,0.1273,0.1262,0.1271,0.1274,0.127,0.1267,0.1271,0.1281,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.4545,0.0007,0.0451,NEUTRAL,-40.8754,7.5877,-94.7368,19585000.0,13679333.3333,10276000.0,2817133.0,1957949.3333,1470479.5,Gravestone Doji,None,None,0.0,-0.0458,-0.0157,144600.0,105690.0,111880.0,116970.0,141960.0,0.0,0.0,0.0,0.0,0.13,0.0,2019-11-20
3,258,0.11699999999999999,0.0,0.0,0.114,0.114,0.11699999999999999,0.0,0.161,0.114,0.1145,0.1145,0.12,0.1485,0.1226,0.1244,0.1259,0.1271,0.1211,0.1237,0.1254,0.1271,DOWNTREND,SIDEWAYS,SIDEWAYS,42.7338,-0.002,0.0416,NEUTRAL,-100.0113,19.1631,-78.5714,2104000.0,3062000.0,11448500.0,249918.0,371622.0,1606944.5,White Marubozu,None,Three White Soldiers,-0.064,0.0174,0.0,0.0,-122070.0,-2410.0,11450.0,-16980.0,0.0,0.0,0.0,0.0,0.12,0.0,2019-12-09
4,253,0.128,0.002,0.0159,0.128,0.128,0.128,0.0,0.14300000000000002,0.121,0.125,0.121,0.133,0.13699999999999998,0.1274,0.1274,0.1293,0.1276,0.1272,0.1277,0.1281,0.1291,DOWNTREND,SIDEWAYS,SIDEWAYS,51.4762,-0.0003,0.017,LOW,31.746,29.6296,-55.5556,300000.0,206000.0,215000.0,37622.0,25846.6667,27191.0,White Marubozu,None,Three White Soldiers,0.024,0.0159,0.0159,0.0,-3850.0,13950.0,137450.0,295609.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,253,0.12300000000000001,-0.001,-0.0081,0.125,0.12300000000000001,0.125,0.0,0.14300000000000002,0.121,0.1225,0.121,0.1245,0.1305,0.1255,0.1269,0.1278,0.1274,0.1253,0.1264,0.1273,0.1285,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.3518,-0.0006,0.0174,LOW,-88.5099,6.6667,-100.0,343000.0,368666.6667,355500.0,42629.0,46686.0,44949.0,Black Marubozu,Bearish Engulfing,None,-0.016,0.0,0.0,4920.0,13860.0,11280.0,151310.0,164219.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,258,0.11599999999999999,0.001,0.0087,0.115,0.115,0.11599999999999999,0.0,0.161,0.115,0.115,0.115,0.124,0.1485,0.1248,0.1251,0.1263,0.1273,0.1229,0.1249,0.126,0.1275,DOWNTREND,SIDEWAYS,SIDEWAYS,39.5466,-0.0011,0.0459,NEUTRAL,-158.8785,0.0,-97.8261,3551000.0,15060000.0,11385500.0,428810.0,2118642.0,1600501.0,White Marubozu,Tweezer Bottoms,None,-0.07200000000000001,0.0087,0.0087,0.0,2550.0,-2410.0,10160.0,5840.0,0.0,0.0,0.0,0.0,0.12,0.0,2019-12-02
7,256,0.121,-0.004,-0.032,0.126,0.12,0.126,0.0,0.161,0.12,0.1205,0.1205,0.132,0.1485,0.1273,0.1261,0.127,0.1274,0.1264,0.1265,0.127,0.128,SIDEWAYS,SIDEWAYS,SIDEWAYS,42.7885,0.0005,0.0468,NEUTRAL,-121.4104,5.0674,-97.561,20586000.0,13820666.6667,10797500.0,2938977.0,1971582.0,1534069.5,Black Long Day,Bearish Engulfing,None,-0.032,-0.0763,-0.0472,-15410.0,113240.0,111880.0,116970.0,141960.0,0.0,0.0,0.0,0.0,0.12,0.0,2019-11-21
8,258,0.12,0.005,0.0435,0.113,0.113,0.12,1200.0,0.161,0.113,0.11,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,DOWNTREND,DOWNTREND,SIDEWAYS,50.8777,-0.0023,0.0359,NEUTRAL,-3.3073,46.7949,0.0,513000.0,1000000.0,1361500.0,59134.0,116376.67,161276.5,White Marubozu,None,Three White Soldiers,-0.04,0.0435,0.0435,60.0,60.0,2610.0,11510.0,-58290.0,0.0,0.0,0.0,0.0,0.12,0.0,2019-12-23
9,253,0.125,-0.001,-0.0079,0.125,0.125,0.127,1270.0,0.14300000000000002,0.121,0.1235,0.121,0.1305,0.1345,0.1263,0.127,0.1283,0.1275,0.1265,0.1271,0.1277,0.1288,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.2981,-0.0004,0.0202,LOW,-32.5203,30.0,-80.0,374000.0,334000.0,337000.0,47976.0,42648.0,42799.0,Gravestone Doji,None,None,0.0,-0.0079,-0.0157,8940.0,8940.0,5090.0,146390.0,166549.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
10,258,0.115,-0.006,-0.0496,0.121,0.115,0.121,0.0,0.161,0.115,0.115,0.115,0.126,0.1485,0.1255,0.1253,0.1264,0.1273,0.1236,0.1252,0.1262,0.1276,DOWNTREND,SIDEWAYS,SIDEWAYS,37.9769,-0.0008,0.0491,NEUTRAL,-164.1685,4.6512,-100.0,4298000.0,15068000.0,11373500.0,523500.0,2119970.6667,1599174.0,Black Marubozu,None,None,-0.08,-0.1221,-0.065,6220.0,2550.0,-2410.0,8870.0,8540.0,0.0,0.0,0.0,0.0,0.12,0.0,2019-11-29
11,253,0.124,0.0,0.0,0.124,0.124,0.124,0.0,0.14300000000000002,0.121,0.1235,0.121,0.128,0.133,0.1267,0.1271,0.1287,0.1276,0.1264,0.1272,0.1278,0.1289,DOWNTREND,SIDEWAYS,SIDEWAYS,44.6203,-0.0005,0.018000000000000002,LOW,-110.1813,23.3333,-90.0,215000.0,258666.6667,198500.0,26959.0,32390.0,24866.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.008,-0.0159,0.0,0.0,0.0,-3850.0,137450.0,295609.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-16
12,255,0.122,0.0,0.0,0.122,0.122,0.122,0.0,0.14300000000000002,0.121,0.121,0.121,0.125,0.1305,0.1245,0.1262,0.1274,0.1272,0.1241,0.1256,0.1268,0.1281,DOWNTREND,SIDEWAYS,SIDEWAYS,42.8114,-0.001,0.0148,LOW,-94.7837,0.0,-100.0,284000.0,266666.6667,337000.0,34916.0,32920.6667,42399.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.024,-0.0081,0.0,0.0,6190.0,13860.0,151310.0,168329.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-16
13,253,0.127,0.001,0.0079,0.127,0.127,0.127,0.0,0.14300000000000002,0.121,0.1245,0.121,0.133,0.13699999999999998,0.1278,0.1276,0.1293,0.1276,0.1275,0.1279,0.1282,0.1292,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.8272,-0.0001,0.0196,LOW,-36.5079,22.2222,-66.6667,180000.0,152666.6667,270500.0,22520.0,19180.6667,34553.0,White Marubozu,None,None,0.016,0.0,0.016,0.0,-3850.0,15180.0,137450.0,295609.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-28
14,253,0.12300000000000001,0.0,0.0,0.12300000000000001,0.12300000000000001,0.12300000000000001,0.0,0.14300000000000002,0.121,0.1225,0.121,0.127,0.133,0.1258,0.127,0.1281,0.1275,0.1259,0.1268,0.1275,0.1286,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.073,-0.0005,0.0196,LOW,-158.6854,0.0,-100.0,399000.0,328666.6667,352500.0,50963.0,41854.6667,44655.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.016,-0.0238,0.0,6190.0,13860.0,10010.0,151310.0,157369.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-30
15,258,0.11800000000000001,0.001,0.0085,0.12,0.11800000000000001,0.12,0.0,0.161,0.114,0.1145,0.1145,0.12,0.1485,0.1221,0.1242,0.1258,0.1271,0.1208,0.1235,0.1252,0.127,DOWNTREND,SIDEWAYS,SIDEWAYS,44.3419,-0.0021,0.0401,NEUTRAL,-58.6207,21.1111,-71.4286,2047000.0,2555333.3333,11436000.0,242952.0,307549.3333,1605238.5,Black Marubozu,None,None,-0.055999999999999994,0.0261,0.0085,0.0,-109370.0,-2410.0,11450.0,-16980.0,0.0,0.0,0.0,0.0,0.12,0.0,2019-12-10
16,253,0.125,-0.002,-0.0157,0.127,0.125,0.127,0.0,0.14300000000000002,0.121,0.1245,0.121,0.133,0.13699999999999998,0.1276,0.1275,0.1293,0.1276,0.1273,0.1278,0.1282,0.1291,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.415,-0.0001,0.0197,LOW,-90.7298,22.2222,-88.8889,196000.0,145333.3333,213500.0,24522.0,18210.6667,27109.5,Black Marubozu,Bearish Engulfing,None,0.0,-0.0157,0.0,0.0,-3850.0,13950.0,137450.0,295609.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-29
17,255,0.126,-0.005,-0.0382,0.129,0.126,0.129,0.0,0.14300000000000002,0.121,0.1215,0.121,0.1315,0.136,0.1252,0.1262,0.1272,0.1273,0.1264,0.1263,0.1269,0.1281,UPTREND,SIDEWAYS,SIDEWAYS,49.6381,0.0003,0.0274,LOW,48.7805,60.6061,-54.5455,1009000.0,736000.0,657000.0,129162.0,93841.3333,83344.0,Black Marubozu,None,Three Black Crows,0.008,-0.0382,-0.0382,1320.0,-4960.0,8900.0,5050.0,163369.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-06
