,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,256,1.4,-0.2,-0.125,1.4,1.4,1.4,0.0,2.16,1.2,1.38,1.32,1.66,1.74,1.42,1.55,1.79,1.96,1.45,1.56,1.72,1.84,SIDEWAYS,DOWNTREND,DOWNTREND,46.4507,-0.0431,0.0708,HIGH,-31.4208,25.0404,-94.5946,4600.0,3866.67,5400.0,7031.0,5960.0,7870.0,White Marubozu,None,None,-0.3488,0.0,-0.125,1730.0,1730.0,-3710.0,-1324420.0,-1374100.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,259,1.36,-0.36,-0.2093,1.36,1.36,1.36,0.0,2.16,1.2,1.32,1.2,1.73,1.8,1.46,1.55,1.77,1.95,1.48,1.56,1.71,1.84,UPTREND,DOWNTREND,DOWNTREND,45.1366,-0.0185,0.1083,HIGH,-71.7894,63.8344,-100.0,4100.0,3733.33,4150.0,6409.0,5698.0,6227.0,White Marubozu,None,Three White Soldiers,-0.3674,-0.2093,-0.2093,1730.0,1730.0,-3710.0,-1324420.0,-1318580.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,257,1.72,-0.01,-0.0058,1.4,1.4,1.72,0.0,2.16,1.2,1.4,1.32,1.73,1.8,1.46,1.56,1.78,1.95,1.5,1.57,1.72,1.84,UPTREND,DOWNTREND,DOWNTREND,59.928000000000004,-0.0242,0.0761,HIGH,106.803,65.6362,-2.9412,4400.0,4000.0,4350.0,6837.0,6213.33,6499.0,White Marubozu,None,Three White Soldiers,-0.2,0.2286,-0.0058,1730.0,1730.0,-3710.0,-1324420.0,-1374100.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,259,1.36,-0.36,-0.2093,1.36,1.36,1.36,0.0,2.16,1.2,1.32,1.2,1.73,1.8,1.46,1.55,1.77,1.95,1.48,1.56,1.71,1.84,UPTREND,DOWNTREND,DOWNTREND,45.1366,-0.0185,0.1083,HIGH,-71.7894,63.8344,-100.0,4100.0,3733.33,4150.0,6409.0,5698.0,6227.0,White Marubozu,None,Three White Soldiers,-0.3674,-0.2093,-0.2093,1730.0,1730.0,-3710.0,-1324420.0,-1318580.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,254,1.4,0.0,0.0,1.4,1.4,1.4,0.0,2.16,1.2,1.36,1.32,1.56,1.74,1.4,1.59,1.81,1.97,1.44,1.57,1.73,1.85,UPTREND,DOWNTREND,DOWNTREND,45.3936,-0.0554,0.0561,HIGH,-13.2827,10.2564,-89.7436,4400.0,4733.33,8550.0,6734.0,6941.33,11872.0,White Marubozu,Bullish Harami,None,-0.3488,0.0,0.0,0.0,0.0,-5440.0,-1326150.0,-1375830.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,254,1.4,-0.2,-0.125,1.4,1.4,1.4,0.0,2.16,1.2,1.38,1.32,1.66,1.74,1.42,1.55,1.79,1.96,1.45,1.56,1.72,1.84,SIDEWAYS,DOWNTREND,DOWNTREND,46.4507,-0.0431,0.0708,HIGH,-31.4208,25.0404,-94.5946,4600.0,3866.67,5400.0,7031.0,5960.0,7870.0,White Marubozu,None,None,-0.3488,0.0,-0.125,1730.0,1730.0,-3710.0,-1324420.0,-1374100.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,259,1.72,-0.01,-0.0058,1.4,1.4,1.72,0.0,2.16,1.2,1.4,1.32,1.73,1.8,1.46,1.56,1.78,1.95,1.5,1.57,1.72,1.84,UPTREND,DOWNTREND,DOWNTREND,59.928000000000004,-0.0242,0.0761,HIGH,106.803,65.6362,-2.9412,4400.0,4000.0,4350.0,6837.0,6213.33,6499.0,White Marubozu,None,Three White Soldiers,-0.2,0.2286,-0.0058,1730.0,1730.0,-3710.0,-1324420.0,-1374100.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,257,1.72,-0.01,-0.0058,1.4,1.4,1.72,0.0,2.16,1.2,1.4,1.32,1.73,1.8,1.46,1.56,1.78,1.95,1.5,1.57,1.72,1.84,UPTREND,DOWNTREND,DOWNTREND,59.928000000000004,-0.0242,0.0761,HIGH,106.803,65.6362,-2.9412,4400.0,4000.0,4350.0,6837.0,6213.33,6499.0,White Marubozu,None,Three White Soldiers,-0.2,0.2286,-0.0058,1730.0,1730.0,-3710.0,-1324420.0,-1374100.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,259,1.36,0.0,0.0,1.36,1.36,1.36,0.0,2.15,1.2,1.32,1.2,1.72,1.78,1.46,1.52,1.75,1.94,1.45,1.54,1.69,1.82,UPTREND,DOWNTREND,DOWNTREND,45.1366,-0.0172,0.0867,HIGH,-69.4976,0.0,-100.0,2700.0,3866.67,3500.0,4090.0,5847.33,5341.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.3674,-0.2093,0.0,-1360.0,370.0,-5070.0,-1322080.0,-1318740.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,254,1.4,0.0,0.0,1.4,1.4,1.4,0.0,2.16,1.2,1.36,1.32,1.56,1.74,1.41,1.57,1.8,1.96,1.43,1.56,1.72,1.85,SIDEWAYS,DOWNTREND,DOWNTREND,45.3936,-0.0529,0.0521,HIGH,-19.218,10.2564,-89.7436,3900.0,4400.0,5250.0,5829.0,6490.67,7520.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.3488,0.0,0.0,0.0,0.0,-5440.0,-1326150.0,-1375830.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
