,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,258,403.0,-37.0,-0.0841,404.2,403.0,404.2,0.0,697.0,288.2,367.0,346.4,440.0,462.0,436.3,439.88,447.53,445.67,433.19,440.06,444.22,440.71,SIDEWAYS,SIDEWAYS,SIDEWAYS,42.6101,-3.4939999999999998,0.053,HIGH,-132.3057,0.0,-100.0,73.0,91.33,75.5,30354.6,38101.07,31687.1,Black Marubozu,None,Evening Star,-0.2481,-0.0923,-0.0025,0.0,4440.0,4440.0,2858570.0,-1438102.0,0.01,0.0,40300.0,0.0,3100.0,0.0,2019-10-22
1,261,400.0,59.8,0.1758,400.0,400.0,436.2,0.0,697.0,290.0,340.2,290.0,418.1,459.8,418.28,432.03,443.03,441.2,411.09,427.93,437.24,437.35,DOWNTREND,DOWNTREND,SIDEWAYS,46.4493,-11.1431,0.0592,HIGH,-18.9546,0.0,-45.438,132.0,103.33,103.5,53013.6,41919.87,42281.9,Gravestone Doji,None,None,-0.2537,0.0127,0.1758,0.0,28440.0,28440.0,24140.0,-1414970.0,0.04,3.0,10000.0,0.0,2500.0,0.0,2019-12-03
2,259,400.0,59.8,0.1758,400.0,400.0,436.2,0.0,697.0,290.0,340.2,290.0,418.1,459.8,418.28,432.03,443.03,441.2,411.09,427.93,437.24,437.35,DOWNTREND,DOWNTREND,SIDEWAYS,46.4493,-11.1431,0.0592,HIGH,-18.9546,0.0,-45.438,132.0,103.33,103.5,53013.6,41919.87,42281.9,Gravestone Doji,None,None,-0.2537,0.0127,0.1758,0.0,28440.0,28440.0,24140.0,-1414970.0,0.04,3.0,10000.0,0.0,2500.0,0.0,2019-11-20
3,261,380.0,-120.0,-0.24,510.0,380.0,526.0,0.0,600.0,340.2,340.2,290.0,518.25,548.75,419.08,431.93,442.78,440.65,415.79,428.77,437.33,437.39,DOWNTREND,DOWNTREND,SIDEWAYS,45.0687,-9.9586,0.105,HIGH,20.2744,52.081,-79.7249,1162.0,796.67,612.0,527420.0,360602.67,276685.6,Black Long Day,Bearish Engulfing,None,-0.29100000000000004,-0.05,-0.24,0.0,28440.0,28440.0,24140.0,-1477820.0,0.04,3.0,9500.0,0.0,2375.0,0.0,2019-12-09
4,256,453.8,-6.0,-0.013000000000000001,453.8,453.8,453.8,0.0,697.0,288.2,414.0,367.0,459.8,480.0,446.31,447.87,451.52,450.75,441.89,444.6,446.92,441.68,DOWNTREND,SIDEWAYS,SIDEWAYS,52.6006,-1.7142,0.0475,NEUTRAL,58.3733,57.0695,-21.5385,89.0,72.67,73.0,37437.4,30867.6,31324.4,White Marubozu,Bullish Harami,None,-0.1534,-0.013000000000000001,-0.013000000000000001,0.0,0.0,0.0,1769190.0,-1412982.0,0.01,0.0,45380.0,0.0,3490.77,0.0,2019-09-06
5,256,444.0,-5.8,-0.0129,444.0,444.0,444.0,4440.0,697.0,288.2,429.5,414.0,459.8,480.0,447.13,441.43,450.2,449.51,443.4,444.96,446.98,441.87,DOWNTREND,SIDEWAYS,SIDEWAYS,50.1103,-0.9434,0.0404,NEUTRAL,2.2075,70.3151,-33.7607,91.0,70.0,71.0,38462.8,29790.27,30467.3,White Marubozu,None,Three White Soldiers,-0.1716,-0.0344,-0.0129,4440.0,4440.0,4440.0,2457810.0,-1418202.0,0.01,0.0,44400.0,0.0,3415.38,0.0,2019-10-03
6,261,400.0,59.8,0.1758,400.0,400.0,436.2,0.0,697.0,290.0,340.2,290.0,418.1,459.8,418.28,432.03,443.03,441.2,411.09,427.93,437.24,437.35,DOWNTREND,DOWNTREND,SIDEWAYS,46.4493,-11.1431,0.0592,HIGH,-18.9546,0.0,-45.438,132.0,103.33,103.5,53013.6,41919.87,42281.9,Gravestone Doji,None,None,-0.2537,0.0127,0.1758,0.0,28440.0,28440.0,24140.0,-1414970.0,0.04,3.0,10000.0,0.0,2500.0,0.0,2019-12-02
7,259,400.0,59.8,0.1758,400.0,400.0,436.2,0.0,697.0,290.0,340.2,290.0,418.1,459.8,418.28,432.03,443.03,441.2,411.09,427.93,437.24,437.35,DOWNTREND,DOWNTREND,SIDEWAYS,46.4493,-11.1431,0.0592,HIGH,-18.9546,0.0,-45.438,132.0,103.33,103.5,53013.6,41919.87,42281.9,Gravestone Doji,None,None,-0.2537,0.0127,0.1758,0.0,28440.0,28440.0,24140.0,-1414970.0,0.04,3.0,10000.0,0.0,2500.0,0.0,2019-11-21
8,261,188.0,13.0,0.0743,189.9,188.0,189.9,0.0,600.0,151.0,159.5,133.0,191.9,518.25,294.76,382.75,414.99,425.57,269.78,348.84,391.93,413.58,DOWNTREND,DOWNTREND,DOWNTREND,33.1078,-56.9629,0.1948,HIGH,-70.6053,7.0904,-90.4021,6695.0,5192.67,3928.5,1434548.9,1289755.13,980984.45,Black Marubozu,Bearish Harami,None,-0.6493,-0.53,0.0743,0.0,35280.0,63720.0,63720.0,-1430747.0,0.04,3.0,4700.0,0.0,1175.0,0.0,2019-12-23
9,256,449.8,-0.2,-0.0004,449.8,449.8,449.8,0.0,697.0,288.2,415.0,367.0,459.8,480.0,446.93,442.53,450.51,450.06,443.34,445.0,447.04,441.85,DOWNTREND,SIDEWAYS,SIDEWAYS,51.6413,-1.1924,0.0419,NEUTRAL,34.1969,74.3891,-27.8431,91.0,70.0,73.0,38468.2,29781.73,31332.5,White Marubozu,None,Three White Soldiers,-0.1608,-0.0217,-0.0004,0.0,0.0,0.0,1283540.0,-1414592.0,0.01,0.0,44980.0,0.0,3460.0,0.0,2019-09-24
10,261,400.0,59.8,0.1758,400.0,400.0,436.2,0.0,697.0,290.0,340.2,290.0,418.1,459.8,418.28,432.03,443.03,441.2,411.09,427.93,437.24,437.35,DOWNTREND,DOWNTREND,SIDEWAYS,46.4493,-11.1431,0.0592,HIGH,-18.9546,0.0,-45.438,132.0,103.33,103.5,53013.6,41919.87,42281.9,Gravestone Doji,None,None,-0.2537,0.0127,0.1758,0.0,28440.0,28440.0,24140.0,-1414970.0,0.04,3.0,10000.0,0.0,2500.0,0.0,2019-11-29
11,256,449.8,-0.2,-0.0004,449.8,449.8,449.8,0.0,697.0,288.2,415.0,367.0,459.8,480.0,446.93,442.53,450.51,450.06,443.34,445.0,447.04,441.85,DOWNTREND,SIDEWAYS,SIDEWAYS,51.6413,-1.1924,0.0419,NEUTRAL,34.1969,74.3891,-27.8431,91.0,70.0,73.0,38468.2,29781.73,31332.5,White Marubozu,None,Three White Soldiers,-0.1608,-0.0217,-0.0004,0.0,0.0,0.0,1283540.0,-1414592.0,0.01,0.0,44980.0,0.0,3460.0,0.0,2019-09-16
12,258,440.0,36.0,0.0891,440.0,440.0,440.0,0.0,697.0,288.2,404.0,367.0,444.0,462.0,437.71,440.5,448.15,446.49,436.37,441.57,445.06,441.09,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.4816,-2.6864,0.0459,NEUTRAL,20.4639,0.0,-35.4839,62.0,82.67,69.0,25951.2,34634.8,29078.3,White Marubozu,None,Three White Soldiers,-0.1791,-0.009000000000000001,0.0891,4440.0,4440.0,4440.0,3418210.0,-1438102.0,0.01,0.0,44000.0,0.0,3384.62,0.0,2019-10-16
