,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,262,2.68,-0.02,-0.0074,2.7,2.65,2.7,26500.0,2.8,1.08,2.6,2.42,2.73,2.8,2.65,2.52,2.27,1.91,2.65,2.51,2.3,2.01,UPTREND,UPTREND,UPTREND,56.1384,0.0731,0.0341,NEUTRAL,24.7113,62.4946,-48.0,1437300.0,1973800.0,1856350.0,3897297.0,5305880.67,4932482.0,None,None,None,1.1440000000000001,0.0428,-0.0074,608350.0,208160.0,7740.0,784460.0,260760.0,0.15,0.6667,17.87,0.0,1.58,0.0,2019-10-22
1,265,2.44,0.0,0.0,2.47,2.43,2.47,0.0,2.8,1.16,2.4,2.33,2.48,2.62,2.48,2.58,2.44,2.08,2.49,2.51,2.4,2.14,DOWNTREND,DOWNTREND,UPTREND,40.5913,-0.0403,0.0319,NEUTRAL,-60.6061,29.6053,-68.75,269700.0,372466.67,790250.0,658352.0,910226.67,1945764.5,Black Long Day,None,None,0.9520000000000001,0.0,0.0,-17270.0,147380.0,518320.0,499560.0,-300320.0,0.02,-0.7778,122.0,0.0,1.28,0.0,2019-12-03
2,263,2.5,0.07,0.0288,2.41,2.41,2.54,-7529.9999,2.8,1.08,2.42,2.34,2.52,2.7,2.57,2.58,2.39,2.04,2.55,2.53,2.39,2.11,DOWNTREND,SIDEWAYS,UPTREND,43.6565,-0.0264,0.0376,NEUTRAL,-71.9776,25.2874,-65.5172,1305700.0,1137400.0,926900.0,3217291.0,2839244.67,2325692.5,White Long Day,None,None,1.0,-0.0494,0.004,-2550.0,566820.0,1322900.0,1135830.0,21750.0,0.02,-0.7778,125.0,0.0,1.32,0.0,2019-11-20
3,265,2.46,-0.02,-0.0081,2.47,2.34,2.47,672100.0,2.8,1.19,2.39,2.3,2.54,2.66,2.47,2.58,2.46,2.1,2.49,2.51,2.41,2.15,SIDEWAYS,DOWNTREND,UPTREND,44.4694,-0.0326,0.0329,NEUTRAL,-115.899,62.7976,-42.8571,298500.0,279600.0,415300.0,724020.0,680728.67,1015880.0,Hanging Man,None,None,0.968,0.0082,-0.0081,607500.0,508900.0,1085920.0,926090.0,141090.0,0.02,-0.7778,123.0,0.0,1.29,0.0,2019-12-09
4,260,2.47,-0.02,-0.008,2.49,2.4,2.49,0.0,2.73,1.07,2.36,2.14,2.49,2.66,2.39,2.18,2.01,1.69,2.38,2.23,2.04,1.79,UPTREND,UPTREND,UPTREND,62.5391,0.0882,0.0404,NEUTRAL,58.1823,44.0741,-57.7778,1339100.0,2139266.67,1952400.0,3183018.0,5172158.0,4652468.5,Hanging Man,Tweezer Tops,None,0.976,0.0292,0.0292,46800.0,991820.0,776720.0,735090.0,-42480.0,0.15,0.6667,16.47,0.0,1.45,0.0,2019-09-06
5,260,2.57,-0.03,-0.0115,2.6,2.57,2.62,0.0,2.73,1.07,2.48,2.35,2.64,2.66,2.48,2.37,2.16,1.82,2.49,2.37,2.18,1.91,UPTREND,UPTREND,UPTREND,60.8651,0.0507,0.0365,NEUTRAL,149.5017,70.7946,-32.3529,1795800.0,1556266.67,1241150.0,4467933.0,3832582.0,3054446.0,None,None,None,1.056,0.0,0.0,-299130.0,-200420.0,357030.0,308530.0,-242900.0,0.15,0.6667,17.13,0.0,1.51,0.0,2019-10-03
6,265,2.44,0.0,0.0,2.47,2.44,2.5,-14820.0,2.8,1.16,2.4,2.33,2.48,2.66,2.49,2.58,2.43,2.08,2.49,2.51,2.4,2.14,DOWNTREND,DOWNTREND,UPTREND,40.5913,-0.04,0.033,NEUTRAL,-41.9002,24.4518,-68.75,273100.0,456200.0,793150.0,667054.0,1118480.67,1954155.0,None,None,None,0.9520000000000001,0.0,0.0,-17270.0,-294170.0,825420.0,499560.0,-300320.0,0.02,-0.7778,122.0,0.0,1.28,0.0,2019-12-02
7,263,2.48,-0.02,-0.008,2.45,2.43,2.49,-73800.0,2.8,1.12,2.42,2.34,2.52,2.7,2.56,2.58,2.4,2.04,2.54,2.53,2.39,2.11,DOWNTREND,SIDEWAYS,UPTREND,41.7826,-0.0293,0.0372,NEUTRAL,-78.3897,24.1379,-72.4138,579100.0,1094933.33,925250.0,1430413.0,2725856.67,2318755.5,None,Bullish Harami,None,0.9840000000000001,-0.057,-0.004,-76350.0,514380.0,1182580.0,851710.0,-52050.0,0.02,-0.7778,124.0,0.0,1.31,0.0,2019-11-21
8,265,2.46,-0.02,-0.0081,2.39,2.39,2.46,0.0,2.8,1.2,2.36,2.14,2.5,2.66,2.46,2.54,2.49,2.15,2.47,2.49,2.42,2.18,SIDEWAYS,DOWNTREND,SIDEWAYS,47.2928,-0.0203,0.0376,NEUTRAL,-17.3365,65.7005,-39.1304,437600.0,389266.67,368050.0,1055960.0,939999.33,889990.0,White Marubozu,None,None,0.968,0.0082,-0.0081,7440.0,590720.0,296550.0,1081210.0,480620.0,0.02,-0.7778,123.0,0.0,1.29,0.0,2019-12-23
9,260,2.5,0.05,0.0204,2.41,2.39,2.5,-17500.0,2.73,1.07,2.4,2.33,2.66,2.66,2.44,2.3,2.1,1.77,2.43,2.31,2.13,1.86,UPTREND,UPTREND,UPTREND,60.6007,0.0524,0.0365,NEUTRAL,133.9001,90.0,0.0,1283000.0,1064800.0,1160700.0,3067797.0,2543117.33,2774141.0,White Long Day,Bullish Engulfing,None,1.0,0.0417,0.0121,-15020.0,212750.0,1146620.0,990740.0,123470.0,0.15,0.6667,16.67,0.0,1.47,0.0,2019-09-24
10,265,2.44,0.02,0.0083,2.42,2.39,2.49,0.0,2.8,1.16,2.4,2.33,2.48,2.68,2.5,2.58,2.43,2.07,2.5,2.51,2.4,2.13,DOWNTREND,DOWNTREND,UPTREND,40.5913,-0.0393,0.0337,NEUTRAL,-72.1594,24.0351,-73.6842,270800.0,490266.67,821050.0,660849.0,1203974.0,2030884.5,None,None,None,0.9520000000000001,-0.0722,-0.0161,-2450.0,-291850.0,840240.0,514380.0,-54500.0,0.02,-0.7778,122.0,0.0,1.28,0.0,2019-11-29
11,260,2.44,-0.04,-0.0161,2.46,2.4,2.49,0.0,2.73,1.07,2.35,2.15,2.48,2.66,2.45,2.24,2.06,1.73,2.41,2.27,2.08,1.83,SIDEWAYS,UPTREND,UPTREND,56.8925,0.0672,0.0385,NEUTRAL,19.6523,83.7302,-25.0,849400.0,1179400.0,1621750.0,2020525.0,2804171.33,3940905.5,None,None,None,0.9520000000000001,0.0167,-0.0161,180970.0,738420.0,1043390.0,1155020.0,138490.0,0.15,0.6667,16.27,0.0,1.44,0.0,2019-09-16
12,262,2.65,-0.11,-0.0399,2.76,2.65,2.76,266800.0,2.8,1.08,2.56,2.38,2.79,2.8,2.61,2.48,2.23,1.88,2.63,2.48,2.27,1.98,UPTREND,UPTREND,UPTREND,54.7049,0.0827,0.0365,NEUTRAL,53.6065,75.8333,-37.5,2401700.0,2143733.33,2043500.0,6498987.0,5711372.67,5335112.5,Black Marubozu,Bearish Engulfing,None,1.12,0.0311,-0.0364,331940.0,-432520.0,-287010.0,442910.0,-102490.0,0.15,0.6667,17.67,0.0,1.56,0.0,2019-10-16
13,260,2.44,0.0,0.0,2.45,2.39,2.48,210320.0,2.73,1.07,2.33,2.12,2.54,2.66,2.3,2.11,1.95,1.65,2.32,2.16,1.98,1.74,UPTREND,UPTREND,UPTREND,63.8995,0.0999,0.0442,NEUTRAL,80.5302,49.1803,-47.541000000000004,2545200.0,2234733.33,1828550.0,6152222.0,5272643.33,4283815.0,None,None,None,0.9520000000000001,0.1296,0.0252,413260.0,538490.0,221910.0,421410.0,-346660.0,0.15,0.6667,16.27,0.0,1.44,0.0,2019-08-28
14,260,2.57,0.0,0.0,2.59,2.56,2.68,-227480.0,2.73,1.07,2.41,2.33,2.62,2.66,2.46,2.34,2.13,1.8,2.46,2.34,2.16,1.89,UPTREND,UPTREND,UPTREND,63.3252,0.048,0.0374,NEUTRAL,351.6784,75.0731,-28.9474,1467700.0,1311000.0,1158550.0,3609127.0,3195122.67,2814826.0,None,None,None,1.056,0.0708,0.0,-401860.0,-218410.0,759370.0,329540.0,-260890.0,0.15,0.6667,17.13,0.0,1.51,0.0,2019-09-30
15,265,2.45,-0.01,-0.0041,2.43,2.36,2.48,0.0,2.8,1.19,2.4,2.33,2.54,2.62,2.47,2.58,2.46,2.11,2.48,2.5,2.41,2.16,SIDEWAYS,DOWNTREND,UPTREND,43.2746,-0.0311,0.0342,NEUTRAL,-86.1813,55.2579,-47.619,315000.0,290466.67,362350.0,764712.0,707016.0,883756.0,None,None,None,0.96,0.0041,-0.0121,607500.0,508900.0,1083250.0,926090.0,482340.0,0.02,-0.7778,122.5,0.0,1.29,0.0,2019-12-10
