,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,263,1014.0,9.0,0.009000000000000001,1004.0,998.5,1014.0,32196430.0,1050.0,855.0,993.0,952.25,1016.5,1049.0,997.13,1006.53,990.71,971.47,1002.06,1000.1,990.07,972.75,UPTREND,SIDEWAYS,SIDEWAYS,54.4657,-1.268,0.0199,LOW,83.5659,45.9916,-45.5696,411189.0,467586.0,414798.0,411974731.75,464911857.17,412290914.5,None,None,None,0.1052,0.0443,0.011000000000000001,1531742537.5,2478726532.5,3356801227.5,4826277670.0,909350755.0,34.89,0.2208,29.06,0.0,3.31,0.0,2019-10-22
1,266,1069.0,-11.0,-0.0102,1078.0,1062.0,1084.0,5481295.0,1100.0,877.0,1058.0,1017.5,1094.5,1095.5,1069.95,1032.93,1018.45,984.04,1065.15,1043.66,1021.33,994.66,SIDEWAYS,UPTREND,SIDEWAYS,53.7272,13.1465,0.0205,LOW,40.3631,47.7011,-53.4483,323799.0,336697.33,330546.25,349134392.5,361346429.67,354036822.25,None,None,None,0.1651,0.0085,0.0085,-360267605.0,547476330.0,4453331415.0,8279253882.5,7709518640.0,36.5,0.2453,29.29,0.0,3.4,0.0,2019-12-03
2,264,1070.0,1.0,0.0009,1070.0,1051.0,1070.0,44775255.0,1091.0,877.0,1051.0,1008.0,1075.0,1141.0,1051.2,1021.65,1009.65,980.23,1051.95,1030.34,1010.87,987.15,UPTREND,SIDEWAYS,SIDEWAYS,60.4864,15.0265,0.0192,LOW,51.7578,71.4815,-30.0,327582.5,495766.67,609405.25,348613516.5,519340646.33,631976029.0,Dragonfly Doji,None,None,0.1662,0.0388,0.0094,764578875.0,3395616850.0,5887896657.5,9392698890.0,7703342305.0,36.5,0.2453,29.32,0.0,3.4,0.0,2019-11-20
3,266,1060.0,-18.0,-0.0167,1078.0,1060.0,1078.0,-55586725.0,1100.0,877.0,1058.0,1017.0,1081.0,1095.5,1070.2,1037.69,1021.78,985.6,1065.92,1047.18,1024.88,997.52,SIDEWAYS,UPTREND,SIDEWAYS,49.4535,10.3007,0.0195,LOW,-33.8246,38.6667,-80.0,544716.0,433543.33,408521.0,584726799.0,464958267.33,437370399.5,Black Marubozu,None,None,0.1553,0.0,-0.0167,1895608680.0,1801757955.0,5130715065.0,9308047652.5,9938940235.0,36.5,0.2453,29.04,0.0,3.37,0.0,2019-12-09
4,261,1048.0,17.0,0.0165,1028.0,1026.0,1048.0,541837470.0,1048.0,831.0,994.0,952.25,1105.0,1141.0,1009.7,995.24,967.68,958.4,1012.67,995.76,979.04,961.43,UPTREND,SIDEWAYS,SIDEWAYS,61.5779,7.8941,0.0256,LOW,171.071,93.7269,0.0,464495.5,531831.0,474714.25,471619238.25,539809959.17,479588944.88,White Long Day,None,None,0.1422,0.0214,0.0214,984607250.0,204403650.0,1177263292.5,3173486892.5,-3954893882.5,34.89,0.2208,30.04,0.0,3.42,0.0,2019-09-06
5,261,973.0,-10.0,-0.0102,983.0,971.0,983.0,341335815.0,1048.0,831.0,971.0,942.0,1003.5,1048.0,1007.25,1005.33,978.81,967.06,999.99,999.16,986.82,968.86,DOWNTREND,SIDEWAYS,SIDEWAYS,40.2113,-2.3288,0.0203,LOW,-171.2304,17.0538,-96.2963,462408.5,393060.33,439587.5,458448346.25,391132703.83,441812719.88,Black Long Day,Bearish Engulfing,None,0.0605,0.0021,-0.027000000000000003,523903845.0,1336088390.0,2596048507.5,4744263927.5,-1762483087.5,34.89,0.2208,27.89,0.0,3.17,0.0,2019-10-03
6,266,1080.0,20.0,0.0189,1060.0,1060.0,1080.0,4638250.0,1100.0,877.0,1058.0,1017.0,1095.5,1095.5,1071.05,1031.75,1017.56,983.75,1064.74,1042.62,1020.37,993.91,SIDEWAYS,UPTREND,SIDEWAYS,58.3273,13.7028,0.0203,LOW,59.2764,48.2759,-34.4828,327911.0,329758.67,355328.75,353390459.0,353795904.67,380498851.25,White Marubozu,Bullish Harami,None,0.1771,0.0189,0.0189,-472715275.0,564692105.0,4451882072.5,8266614627.5,7620383645.0,36.5,0.2453,29.59,0.0,3.43,0.0,2019-12-02
7,264,1070.0,0.0,0.0,1070.0,1050.0,1070.0,48343310.0,1091.0,877.0,1055.0,1015.0,1075.0,1141.0,1054.0,1022.55,1010.66,980.73,1053.67,1031.9,1012.04,987.97,UPTREND,UPTREND,SIDEWAYS,60.4864,14.9628,0.0191,LOW,46.3113,70.8016,-30.4348,307163.5,464859.33,590983.75,326990017.0,488552262.0,614224819.5,Dragonfly Doji,None,None,0.1662,0.0388,0.0094,788850510.0,2937318520.0,5973235607.5,9437891170.0,7721715255.0,36.5,0.2453,29.32,0.0,3.4,0.0,2019-11-21
8,266,1078.0,13.0,0.0122,1056.0,1056.0,1080.0,20662235.0,1100.0,877.0,1017.5,975.0,1079.0,1095.5,1065.7,1051.72,1027.74,990.16,1061.51,1050.96,1030.99,1003.32,DOWNTREND,SIDEWAYS,SIDEWAYS,55.7254,2.0711,0.0232,LOW,40.6286,62.972,-2.5,478003.5,533605.0,511359.75,504368475.5,565610278.33,544547637.25,White Long Day,None,None,0.1749,0.017,0.0122,657543530.0,2614252995.0,3178945100.0,9295322507.5,10528348040.0,36.5,0.2453,29.53,0.0,3.42,0.0,2019-12-23
9,261,1010.0,0.0,0.0,1005.0,993.0,1010.0,517130075.0,1048.0,831.0,993.5,952.25,1020.0,1141.0,1016.9,1004.56,976.15,965.08,1011.88,1002.19,986.29,967.28,DOWNTREND,SIDEWAYS,SIDEWAYS,49.8696,3.6668,0.0217,LOW,-84.0899,32.2404,-62.2951,415142.0,448090.67,407641.25,418347648.0,455374243.67,414203353.38,Hammer,None,None,0.1008,-0.0156,0.01,865187597.5,2590788207.5,1632749312.5,4543281815.0,-1700195670.0,34.89,0.2208,28.95,0.0,3.29,0.0,2019-09-24
