,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,264,166.1,-0.9,-0.0054,167.9,166.1,168.0,-7983091.0,195.9,139.0,165.85,160.9,168.0,180.0,167.63,172.73,175.09,172.84,167.82,171.16,172.97,170.72,DOWNTREND,DOWNTREND,SIDEWAYS,42.9955,-2.4401,0.0162,LOW,-21.5054,65.432,-28.9474,135501.0,165318.67,206511.0,22399768.6,27331315.67,34969796.3,Black Long Day,None,None,0.1299,-0.0315,-0.0089,-2045489.0,-136911117.0,-208826994.0,-199938138.0,409980488.0,6.8,-0.2184,24.43,0.0,1.71,0.0,2019-10-22
1,267,161.1,1.9,0.0119,158.0,158.0,162.5,-8534035.0,195.9,139.0,157.6,152.75,161.8,170.65,161.88,165.66,170.71,173.83,161.56,165.34,168.71,168.93,DOWNTREND,SIDEWAYS,SIDEWAYS,45.7955,-2.3133,0.0199,LOW,-20.8135,48.4115,-34.7826,82033.0,81509.33,88913.0,13044165.8,13024680.8,14420550.7,White Long Day,None,None,0.0959,0.0119,0.0119,-12907892.0,-86708083.0,-117988448.0,-316727161.0,328833333.0,6.77,-0.1882,23.8,0.0,1.63,0.0,2019-12-03
2,265,160.0,0.1,0.0006,157.7,156.7,160.0,-882756.0,195.9,139.0,157.35,149.5,163.85,173.5,166.07,168.53,172.16,174.09,164.81,167.99,170.59,169.85,DOWNTREND,SIDEWAYS,SIDEWAYS,37.3071,-1.4344,0.02,LOW,-146.8741,0.0,-80.9249,84763.0,113032.0,135087.5,13882454.6,18826885.73,22541653.6,White Long Day,None,None,0.0884,-0.0419,-0.0154,-36785117.0,-83800749.0,-85522814.0,-259466825.0,302898026.0,6.77,-0.1882,23.63,0.0,1.62,0.0,2019-11-20
3,267,160.0,1.0,0.0063,160.0,159.0,160.0,-863155.0,195.9,139.0,158.5,150.25,161.8,171.3,160.15,164.26,170.08,173.75,160.96,164.51,168.02,168.57,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.1102,-2.0201,0.0184,LOW,-8.6451,61.7117,-33.7838,109909.0,101259.33,98527.0,17521656.1,16100245.93,15745185.85,Dragonfly Doji,Bullish Harami,None,0.0884,0.005,0.0063,-28196116.0,-72933614.0,-142874912.0,-311595305.0,318431560.0,6.77,-0.1882,23.63,0.0,1.62,0.0,2019-12-09
4,262,175.0,-2.8,-0.0157,177.8,175.0,179.0,-5827755.0,195.9,139.0,172.05,162.55,179.0,186.0,176.7,175.86,178.27,171.76,176.62,176.64,175.87,170.95,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.8549,0.2034,0.0213,LOW,8.7719,45.0053,-74.359,187284.0,208934.0,216180.0,33005125.8,37086292.93,38249745.4,Black Long Day,None,None,0.1905,-0.0278,-0.0278,-2303681.0,-20535330.0,21452985.0,-143969088.0,702234615.0,6.8,-0.2184,25.74,0.0,1.8,0.0,2019-09-06
5,262,163.0,-5.0,-0.0298,167.0,163.0,168.0,-22444462.0,195.9,139.0,161.0,149.75,176.05,183.7,174.15,175.36,177.51,171.97,173.54,175.09,175.26,171.48,SIDEWAYS,SIDEWAYS,SIDEWAYS,31.0903,-0.5845,0.0212,LOW,-251.3825,3.2585,-100.0,263470.0,236897.33,210789.0,45952642.6,41376821.0,36807176.6,Black Long Day,None,None,0.1088,-0.0496,-0.0686,-101484550.0,-91641859.0,-139690565.0,-133830213.0,586763592.0,6.8,-0.2184,23.97,0.0,1.67,0.0,2019-10-03
6,267,159.2,0.0,0.0,159.2,158.0,159.2,-1944371.0,195.9,139.0,157.05,150.25,160.5,171.3,162.35,166.0,170.85,173.85,161.61,165.52,168.87,169.01,DOWNTREND,SIDEWAYS,SIDEWAYS,39.8041,-2.3619,0.0195,LOW,-56.2344,37.6343,-59.4059,65695.0,73906.67,83958.0,10394631.6,11823089.6,13683277.3,Dragonfly Doji,None,None,0.083,0.0,0.0,-13089071.0,-88444428.0,-98208904.0,-304226148.0,336918332.0,6.77,-0.1882,23.52,0.0,1.61,0.0,2019-12-02
7,265,160.0,0.0,0.0,160.0,157.6,160.0,-8162877.0,195.9,139.0,157.35,149.75,162.95,173.5,165.85,168.28,172.01,174.06,164.36,167.68,170.38,169.75,DOWNTREND,SIDEWAYS,SIDEWAYS,37.3071,-1.6194,0.0196,LOW,-122.8602,19.2342,-78.4314,90114.0,110588.67,135468.5,14696875.2,18322442.33,22578463.7,Dragonfly Doji,None,None,0.0884,-0.0419,-0.0154,-34261206.0,-85125984.0,-77190507.0,-266200534.0,300450100.0,6.77,-0.1882,23.63,0.0,1.62,0.0,2019-11-21
8,267,160.0,2.0,0.0127,157.0,155.0,160.0,2635930.0,195.9,144.5,151.0,146.3,161.8,171.3,157.79,162.34,168.24,172.87,157.92,161.69,165.82,167.36,DOWNTREND,SIDEWAYS,SIDEWAYS,51.9127,-2.0946,0.0257,LOW,30.303,49.7342,-16.6667,181322.0,178344.0,145615.5,28063624.1,27879574.27,22792640.1,None,None,None,0.0884,0.005,0.0127,-27005194.0,-90708944.0,-179153372.0,-372711488.0,379465552.0,6.77,-0.1882,23.63,0.0,1.62,0.0,2019-12-23
9,262,177.0,-0.9,-0.0051,177.9,175.2,178.0,1945404.0,195.9,139.0,173.3,160.45,179.1,186.5,176.02,175.76,178.09,172.0,176.0,176.18,175.76,171.44,DOWNTREND,SIDEWAYS,SIDEWAYS,52.1261,-0.1904,0.0188,LOW,42.5165,86.5854,-25.6098,180947.0,159722.67,173521.5,31810268.6,28088169.33,30587468.3,Hanging Man,None,None,0.2041,-0.0167,-0.0117,4613749.0,-18627065.0,-61679984.0,-31035549.0,724967116.0,6.8,-0.2184,26.03,0.0,1.82,0.0,2019-09-24
