,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,266,77.9,0.1,0.0013,78.5,77.8,78.5,0.0,79.0,75.0,77.75,75.35,78.38,80.9,77.87,78.31,77.54,76.9,77.92,77.94,77.65,77.47,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.8618,-0.1252,0.005,LOW,85.8586,36.25,-60.0,25193.0,35670.67,41974.5,1958981.5,2773625.83,3266720.08,Black Long Day,None,None,0.025,0.0,0.0019,0.0,-1441350.0,-1363389.0,-1364139.0,-49845028.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,269,78.0,0.0,0.0,78.15,77.7,78.15,0.0,79.0,75.0,77.72,75.2,78.3,80.9,78.09,77.99,77.96,77.16,78.06,78.03,77.84,77.62,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.9739,0.0042,0.005,LOW,-107.5556,44.4444,-55.5556,55843.0,45168.67,37907.0,4354915.05,3522986.0,2957315.68,Hanging Man,None,None,0.0263,0.0,0.0,10913.0,10913.0,34388.0,-1329001.0,-44497452.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,267,78.0,0.0,0.0,78.35,77.95,78.35,0.0,79.0,75.0,77.95,75.6,78.22,80.9,78.08,78.09,77.8,77.06,78.05,78.02,77.79,77.57,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.9871,0.0149,0.0039,LOW,-24.4219,16.6667,-83.3333,18087.0,21724.67,18939.0,1412247.15,1697842.23,1479820.83,Black Long Day,Bearish Engulfing,None,0.0263,-0.0026,0.0,0.0,23475.0,23475.0,-1339914.0,-44508365.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,269,78.1,0.05,0.0006,78.15,78.05,78.15,0.0,79.0,75.0,77.85,75.55,78.15,80.5,78.06,77.99,78.02,77.21,78.06,78.04,77.85,77.64,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.7812,-0.0001,0.0041,LOW,-7.9365,50.0,-44.4444,58858.0,53462.0,44788.5,4594405.9,4169838.23,3493694.65,Spinning Top,None,None,0.0276,0.0013,0.0006,0.0,10913.0,34388.0,-1329001.0,-42921452.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,264,78.95,0.1,0.0013,79.0,77.5,79.0,0.0,80.2,75.0,78.18,75.6,78.98,81.5,78.58,77.44,76.94,76.62,78.49,77.78,77.28,77.23,SIDEWAYS,SIDEWAYS,SIDEWAYS,61.4276,0.4569,0.006,LOW,-11.8682,94.4444,-3.3333,25002.0,30186.67,28352.5,1964665.2,2369449.73,2222567.85,Hanging Man,None,None,0.0388,0.0057,0.0057,0.0,-39250.0,-750.0,1446359.0,-67303346.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,264,77.9,0.1,0.0013,77.8,77.7,77.9,-46740.0,79.0,75.0,77.75,75.2,78.12,80.5,78.37,78.14,77.37,76.8,78.19,78.03,77.6,77.42,DOWNTREND,SIDEWAYS,SIDEWAYS,44.0271,-0.0427,0.0044,LOW,-75.7924,19.3122,-77.7778,45214.0,35100.67,32785.5,3523230.1,2738568.63,2560923.43,Spinning Top,None,None,0.025,0.0,-0.0013,-997120.0,-919159.0,-958409.0,-668010.0,-60413530.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,269,78.0,0.0,0.0,78.0,77.95,78.0,10913.0,79.0,75.0,77.68,75.2,78.45,80.9,78.1,77.99,77.94,77.16,78.06,78.04,77.83,77.61,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.9739,0.0075,0.005,LOW,-102.7778,51.8519,-55.5556,56751.0,44090.0,37420.0,4425916.05,3439032.0,2919604.28,Dragonfly Doji,Tweezer Bottoms,None,0.0263,0.0,0.0,10913.0,10913.0,34388.0,-1329001.0,-44497452.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,267,78.35,0.35,0.0045,78.35,78.35,78.5,0.0,79.0,75.0,77.95,75.6,78.42,80.9,78.1,78.08,77.82,77.07,78.08,78.03,77.8,77.58,SIDEWAYS,SIDEWAYS,SIDEWAYS,58.8931,0.0166,0.004,LOW,142.5791,36.1111,-25.0,16013.0,18554.0,17823.0,1250285.55,1449480.07,1392826.03,Gravestone Doji,None,None,0.0309,0.0019,0.0045,0.0,23475.0,23475.0,-1339914.0,-44508365.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,269,77.8,0.0,0.0,77.8,77.8,77.8,54460.0,79.0,75.0,76.42,75.0,78.45,80.9,78.09,78.05,78.15,77.29,78.06,78.06,77.9,77.68,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.0439,0.0069,0.0062,LOW,-89.4737,71.3675,-29.4872,21201.0,29762.0,40029.5,1654314.45,2322103.83,3124360.18,White Marubozu,Tweezer Bottoms,None,0.0237,-0.0026,0.0,54460.0,54460.0,65373.0,-1352502.0,-39671828.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,264,77.9,-0.1,-0.0013,78.0,77.9,78.0,30381.0,79.0,75.0,77.6,75.2,78.62,81.5,78.69,77.98,77.25,76.74,78.43,78.05,77.55,77.38,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.2455,0.1682,0.0049,LOW,-126.7218,22.2222,-73.3333,16802.0,18024.67,15520.0,1318755.5,1413847.27,1218422.1,Black Marubozu,Tweezer Tops,None,0.025,-0.0076,0.0039,30381.0,30381.0,-8869.0,613386.0,-67418313.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
10,269,78.0,-0.2,-0.0026,78.4,77.95,78.4,0.0,79.0,75.0,77.6,75.2,78.45,80.9,78.11,77.99,77.93,77.15,78.07,78.04,77.83,77.61,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.9739,0.0105,0.0053,LOW,-35.8209,42.5926,-55.5556,58092.0,44036.0,39174.0,4530534.05,3434834.6,3056703.65,Black Long Day,None,Three Black Crows,0.0263,-0.0026,-0.0045,0.0,0.0,23475.0,-1339914.0,-44508365.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-29
11,264,78.95,0.0,0.0,78.95,78.95,78.95,0.0,79.5,75.0,78.9,76.6,78.98,81.5,78.81,77.76,77.13,76.69,78.69,78.03,77.47,77.33,SIDEWAYS,SIDEWAYS,SIDEWAYS,61.1538,0.3837,0.004,LOW,60.0649,96.6667,-3.3333,17005.0,18116.0,23445.0,1336505.4,1425374.53,1842843.15,White Marubozu,Bullish Harami,None,0.0388,0.0057,0.0,0.0,0.0,-750.0,744889.0,-67448694.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-16
12,266,77.8,0.3,0.0039,77.8,77.8,78.25,0.0,79.0,75.0,77.5,75.2,78.12,80.5,77.86,78.29,77.5,76.86,77.93,77.95,77.63,77.45,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.6793,-0.1461,0.0048,LOW,38.8186,0.0,-60.0,43978.0,47876.67,43008.0,3417945.05,3724649.63,3347226.18,Gravestone Doji,None,None,0.0237,-0.0013,0.0019,0.0,-1441350.0,-1363389.0,-1364139.0,-56868276.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-16
13,264,79.0,0.3,0.0038,79.0,78.9,79.0,0.0,80.2,75.0,78.28,75.6,79.9,82.5,77.96,77.08,76.73,76.54,78.08,77.42,77.04,77.11,UPTREND,SIDEWAYS,SIDEWAYS,65.8511,0.45,0.0059,LOW,112.9062,89.1473,0.0,34273.0,31847.33,28871.0,2690739.5,2493694.27,2254951.75,Dragonfly Doji,None,None,0.0395,0.0233,0.0064,-39250.0,-750.0,19.0,1461859.0,-75303761.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-28
14,264,77.9,-0.1,-0.0013,78.25,77.9,78.25,0.0,79.0,75.0,77.6,75.2,78.5,80.9,78.53,78.08,77.31,76.78,78.31,78.05,77.59,77.41,DOWNTREND,SIDEWAYS,SIDEWAYS,43.445,0.0327,0.005,LOW,-71.74600000000001,38.0952,-78.5714,32123.0,25555.33,24564.0,2507545.05,1998548.13,1922025.23,Black Marubozu,Bearish Engulfing,None,0.025,-0.0076,-0.0013,77961.0,77961.0,38711.0,630466.0,-65685400.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-30
15,269,78.05,-0.05,-0.0006,78.4,78.0,78.4,0.0,79.0,75.0,78.0,75.6,78.28,80.9,78.06,77.99,78.03,77.21,78.06,78.04,77.86,77.64,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.7542,-0.0005,0.0042,LOW,29.4785,51.8519,-50.0,58249.0,53254.67,45896.0,4548415.55,4153841.9,3580163.4,Black Long Day,None,None,0.027000000000000003,0.0006,0.0,0.0,10913.0,34388.0,-1329001.0,-39773568.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-10
16,264,79.0,0.0,0.0,78.95,78.7,79.0,0.0,80.2,75.0,78.28,75.6,79.85,82.5,78.08,77.11,76.76,76.55,78.17,77.48,77.08,77.13,UPTREND,SIDEWAYS,SIDEWAYS,65.8511,0.4627,0.0058,LOW,100.3322,96.124,0.0,33883.0,31961.33,28875.5,2660416.25,2502771.57,2255541.25,Hammer,None,None,0.0395,0.0233,0.0064,-39250.0,-39250.0,19.0,1461859.0,-75303761.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-29
