,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,267,75.1,0.0,0.0,75.0,75.0,75.1,0.0,76.45,70.0,75.0,72.5,75.55,78.0,75.16,75.24,73.89,73.68,75.23,74.94,74.41,74.23,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.1442,0.0464,0.0041,LOW,-42.6716,28.2051,-69.2308,17720.0,20209.33,72426.0,1330037.3,1516939.03,5441288.55,White Marubozu,None,None,0.002,0.0013,0.0013,0.0,667276.0,667276.0,1136150.0,-25488147.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,270,75.05,-0.05,-0.0007,75.1,75.05,75.1,0.0,76.45,71.05,74.95,72.5,75.15,77.75,75.12,75.25,74.5,73.69,75.14,75.03,74.62,74.37,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.7849,-0.0154,0.0019,LOW,-51.2821,25.0,-100.0,125909.0,87817.33,121323.0,9460969.65,6598538.77,9108704.03,Black Marubozu,None,None,0.0013,-0.0013,-0.0013,0.0,0.0,0.0,667276.0,-23740147.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,268,75.05,0.0,0.0,75.05,75.05,75.05,0.0,76.45,71.05,74.95,72.5,75.15,77.75,75.2,75.28,74.37,73.69,75.15,75.02,74.58,74.34,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.9697,-0.0079,0.0023,LOW,-60.3648,27.7778,-75.0,25401.0,92257.33,71120.5,1907984.65,6921626.03,5336440.53,White Marubozu,Tweezer Bottoms,None,0.0013,-0.0013,-0.0013,0.0,0.0,667276.0,1248500.0,-23740147.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,270,75.25,-0.25,-0.0033,75.25,75.25,75.25,0.0,76.45,71.05,75.05,72.5,75.5,78.0,75.15,75.25,74.56,73.7,75.18,75.06,74.65,74.39,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.0819,-0.0059,0.0023,LOW,63.6735,0.0,-55.5556,118748.0,85459.33,119016.5,8922885.0,6421634.43,8935603.73,White Marubozu,None,None,0.004,0.0027,0.0027,0.0,0.0,0.0,667276.0,-23740147.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,265,75.8,0.1,0.0013,75.7,75.5,75.8,0.0,76.45,70.0,75.25,73.05,76.12,78.5,75.47,74.16,73.15,73.67,75.27,74.42,73.86,73.94,SIDEWAYS,SIDEWAYS,SIDEWAYS,62.7116,0.4912,0.0049,LOW,90.2907,50.5747,-44.8276,114730.0,110501.33,86286.0,8656727.4,8342624.13,6513856.0,Hammer,None,None,0.0113,0.0046,0.0046,0.0,0.0,468874.0,-1234876.0,-23762543.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,265,75.0,0.05,0.0007,75.0,75.0,75.0,0.0,76.45,70.0,74.92,72.5,75.22,77.75,75.35,74.86,73.62,73.68,75.17,74.77,74.22,74.12,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.0992,0.0878,0.0031,LOW,-74.1541,8.3333,-90.0,127132.0,85908.0,67626.0,9552539.8,6455734.4,5083241.05,White Marubozu,None,None,0.0007,0.0,-0.0007,667276.0,667276.0,667276.0,-567600.0,-23715887.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,270,75.05,-0.05,-0.0007,75.1,75.05,75.1,0.0,76.45,71.05,74.95,72.5,75.15,77.75,75.12,75.25,74.5,73.69,75.14,75.03,74.62,74.37,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.7849,-0.0154,0.0019,LOW,-51.2821,25.0,-100.0,125909.0,87817.33,121323.0,9460969.65,6598538.77,9108704.03,Black Marubozu,None,None,0.0013,-0.0013,-0.0013,0.0,0.0,0.0,667276.0,-23740147.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,268,75.15,0.1,0.0013,75.15,75.15,75.15,0.0,76.45,71.05,75.05,72.5,75.5,78.0,75.16,75.27,74.41,73.69,75.15,75.02,74.59,74.35,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.9249,-0.0104,0.0022,LOW,-5.4973,30.5556,-58.3333,24591.0,89623.33,71570.5,1847113.15,6723912.63,5370215.53,White Marubozu,None,None,0.0027,0.0,0.0013,0.0,0.0,667276.0,1248500.0,-23740147.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,270,75.2,0.0,0.0,75.2,75.2,75.2,0.0,76.45,71.05,75.1,72.5,75.5,78.0,75.19,75.18,74.74,73.73,75.21,75.11,74.74,74.46,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.9828,0.0165,0.002,LOW,9.4563,25.9259,-66.6667,92558.0,132985.33,109233.5,6960814.0,9996941.67,8210891.83,White Marubozu,Bullish Harami,Three White Soldiers,0.0033,0.002,0.0,0.0,0.0,0.0,667276.0,-23740147.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,265,75.1,-0.05,-0.0007,75.4,75.05,75.4,0.0,76.45,70.0,75.05,72.5,75.75,78.12,75.5,74.51,73.39,73.68,75.33,74.69,74.09,74.05,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.0077,0.3055,0.0042,LOW,-97.0559,8.6658,-94.1176,118589.0,148782.67,139879.5,8914415.15,11203239.43,10541060.03,Black Long Day,None,None,0.002,-0.0046,0.0007,0.0,0.0,581224.0,-1234876.0,-23762543.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
