,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,269,76.6,0.0,0.0,77.0,76.6,77.0,0.0,78.0,70.05,76.5,74.25,77.0,79.35,76.54,76.49,75.32,74.99,76.63,76.31,75.79,75.66,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.1241,0.0421,0.0061,LOW,64.6865,77.7778,-33.3333,17737.0,44530.0,114031.5,1358905.5,3401923.33,8757565.5,Black Marubozu,None,None,0.0213,0.0106,0.0,0.0,0.0,-1148340.0,-1558165.0,-6429045.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,272,77.4,0.9,0.0118,77.4,77.4,77.4,-10062.0,78.0,70.8,76.5,73.75,77.45,80.85,76.46,76.58,75.97,75.19,76.6,76.43,76.06,75.84,UPTREND,SIDEWAYS,SIDEWAYS,67.3501,0.0574,0.0036,LOW,194.4154,53.8095,-7.1429,116875.0,82422.67,78250.0,8952991.95,6311657.03,5984457.23,White Marubozu,None,None,0.032,0.0104,0.0104,-10062.0,-10062.0,-2247402.0,-3395742.0,-9789167.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,270,77.0,0.0,0.0,76.55,76.55,77.0,0.0,78.0,70.05,76.15,73.75,78.0,80.85,76.33,76.6,75.79,75.12,76.43,76.33,75.96,75.77,SIDEWAYS,SIDEWAYS,SIDEWAYS,64.5042,-0.0481,0.0033,LOW,134.8071,100.0,0.0,31359.0,33896.67,30780.5,2388547.0,2580891.5,2346157.83,White Marubozu,None,Three White Soldiers,0.0267,0.0118,0.0065,0.0,-2237340.0,-2237340.0,-3385680.0,-8600105.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,272,77.0,0.0,0.0,77.0,77.0,77.0,0.0,78.0,72.0,76.5,73.88,77.4,80.85,76.55,76.54,76.03,75.21,76.67,76.47,76.1,75.86,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.831,0.0889,0.0034,LOW,90.3666,73.3686,-37.037,115976.0,80893.33,76263.0,8884130.2,6195284.37,5833223.2,White Marubozu,Bullish Harami,Three White Soldiers,0.0267,0.0052,0.0052,-10062.0,-10062.0,-2247402.0,-3395742.0,-9789167.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,267,78.0,0.0,0.0,78.0,78.0,78.0,-1155960.0,78.0,70.05,75.75,73.4,78.2,80.85,76.66,75.43,74.77,74.8,76.69,75.81,75.28,75.39,UPTREND,SIDEWAYS,SIDEWAYS,60.4147,0.5086,0.0092,LOW,151.6358,100.0,0.0,18072.0,32600.0,33427.0,1395278.85,2507231.83,2560295.88,White Marubozu,Bullish Harami,Three White Soldiers,0.04,0.0223,0.0223,-1155960.0,-1155960.0,-1155960.0,-1565785.0,-7389355.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,267,76.6,-0.4,-0.0052,77.0,75.85,77.0,0.0,78.0,70.05,75.8,73.4,77.0,79.35,76.87,76.15,75.1,74.91,76.64,76.17,75.61,75.56,DOWNTREND,SIDEWAYS,SIDEWAYS,50.3114,0.1681,0.0085,LOW,-43.0427,33.3333,-63.6364,210326.0,147244.0,115056.5,16156225.5,11317954.3,8843344.45,Hanging Man,Tweezer Tops,None,0.0213,0.0106,0.0013,0.0,-1148340.0,-1148340.0,-1558165.0,-7026260.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,272,76.5,-0.1,-0.0013,76.6,76.5,76.6,0.0,78.0,70.8,76.32,73.75,77.05,80.85,76.39,76.59,75.94,75.17,76.51,76.39,76.03,75.82,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.2363,0.040999999999999995,0.003,LOW,29.4985,35.0794,-71.4286,117362.0,94414.0,78493.5,8990104.5,7224198.4,6002979.63,Black Marubozu,Bearish Engulfing,None,0.02,-0.0013,-0.0013,0.0,0.0,-2237340.0,-3385680.0,-9779105.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,270,77.0,0.0,0.0,77.0,77.0,77.0,0.0,78.0,70.05,76.32,73.75,78.0,80.85,76.35,76.6,75.82,75.13,76.49,76.35,75.98,75.78,SIDEWAYS,SIDEWAYS,SIDEWAYS,64.5042,-0.0197,0.0031,LOW,160.3427,100.0,0.0,27734.0,28733.33,29099.5,2112979.6,2188427.5,2216994.83,White Marubozu,Bullish Harami,Three White Soldiers,0.0267,0.0118,0.0065,0.0,-2237340.0,-2237340.0,-3385680.0,-8600105.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,272,75.55,0.0,0.0,76.9,75.55,76.9,0.0,78.0,72.0,75.35,73.08,76.95,79.35,76.69,76.49,76.22,75.29,76.51,76.47,76.15,75.91,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.5045,0.0459,0.0077,LOW,-133.907,27.0833,-91.6667,63106.0,115820.0,89990.5,4845087.1,8879085.2,6899039.53,Black Marubozu,Bearish Engulfing,None,0.0073,-0.0137,0.0,0.0,-387000.0,-2624340.0,-3772680.0,-6350405.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,267,76.5,0.0,0.0,76.5,76.5,76.5,0.0,78.0,70.05,75.75,73.22,78.0,80.85,77.01,75.84,74.93,74.86,76.86,76.09,75.49,75.5,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.6614,0.4833,0.0087,LOW,-69.734,40.7407,-66.6667,23212.0,18262.0,27651.0,1792394.4,1408346.93,2128492.33,White Marubozu,Bullish Harami,Three White Soldiers,0.02,0.0026,-0.0065,0.0,-1148340.0,-1148340.0,-1558165.0,-7026260.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
