,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,270,75.5,-0.5,-0.0066,75.5,75.5,75.7,0.0,77.0,70.3,75.3,72.8,76.0,78.48,75.72,75.81,74.81,74.69,75.79,75.57,75.18,75.19,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.5904,0.0262,0.0063,LOW,-34.7305,24.4444,-86.6667,11914.0,15070.0,42940.0,904683.65,1140200.97,3240557.23,Gravestone Doji,None,None,0.008,-0.0059,-0.0066,0.0,0.0,150500.0,38900.0,-16235729.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,273,75.7,0.5,0.0066,75.7,75.7,75.7,0.0,77.0,70.3,75.05,72.8,75.75,78.48,75.35,75.68,75.14,74.69,75.38,75.44,75.23,75.22,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.137,-0.1257,0.0039,LOW,120.8712,54.8148,-13.3333,105899.0,73898.67,57809.5,7954079.9,5551017.27,4343040.15,White Marubozu,Bullish Harami,None,0.0107,0.0066,0.0066,0.0,0.0,0.0,150500.0,-16292809.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,271,75.15,-0.05,-0.0007,75.2,75.15,75.2,0.0,77.0,70.3,74.52,72.3,75.28,78.0,75.61,75.85,75.0,74.7,75.49,75.5,75.23,75.21,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.7155,-0.094,0.0043,LOW,-101.2582,4.0441,-100.0,17193.0,17058.67,15466.5,1293359.4,1285098.17,1167573.13,Black Marubozu,None,None,0.0033,-0.0046,-0.0013,0.0,0.0,0.0,150500.0,-16292809.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,273,75.35,0.05,0.0007,75.35,75.35,75.35,0.0,77.0,70.3,75.2,72.8,75.75,78.48,75.31,75.6,75.19,74.68,75.36,75.42,75.24,75.22,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.1394,-0.0996,0.0035,LOW,9.0791,35.5556,-60.0,88960.0,73898.0,56887.0,6681368.35,5550999.27,4273446.3,White Marubozu,None,Three White Soldiers,0.006,0.002,0.0007,0.0,0.0,0.0,150500.0,-16292809.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,268,77.0,0.5,0.0065,75.6,75.6,77.0,0.0,77.0,70.3,75.4,72.8,77.25,79.95,76.12,74.95,74.2,74.71,76.07,75.27,74.83,75.03,UPTREND,SIDEWAYS,SIDEWAYS,58.6507,0.5107,0.0084,LOW,51.7007,0.0,0.0,17243.0,13160.0,12550.0,1321713.9,1007873.53,956892.13,White Marubozu,None,None,0.027999999999999997,0.0,0.0,0.0,0.0,0.0,-31190.0,-16468389.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,268,75.3,0.0,0.0,75.35,75.3,75.35,0.0,77.0,70.3,75.2,72.8,75.95,78.48,76.03,75.36,74.47,74.67,75.74,75.41,75.01,75.11,DOWNTREND,SIDEWAYS,SIDEWAYS,46.3514,0.0836,0.0069,LOW,-97.337,9.2593,-94.4444,70413.0,50671.33,42191.0,5308330.5,3824048.83,3189691.08,Black Marubozu,Bearish Harami,None,0.0053,-0.0086,-0.0086,0.0,150500.0,150500.0,38900.0,-16235729.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,273,75.7,0.5,0.0066,75.7,75.7,75.7,0.0,77.0,70.3,75.05,72.8,75.75,78.48,75.35,75.68,75.14,74.69,75.38,75.44,75.23,75.22,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.137,-0.1257,0.0039,LOW,120.8712,54.8148,-13.3333,105899.0,73898.67,57809.5,7954079.9,5551017.27,4343040.15,White Marubozu,Bullish Harami,None,0.0107,0.0066,0.0066,0.0,0.0,0.0,150500.0,-16292809.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,271,75.1,-0.05,-0.0007,75.15,75.05,75.15,0.0,77.0,70.3,75.08,72.8,75.28,78.0,75.52,75.82,75.02,74.7,75.45,75.49,75.23,75.21,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.1169,-0.1065,0.0041,LOW,-122.2548,0.0,-94.4444,24814.0,22206.0,17902.0,1865524.25,1671536.07,1348325.55,Spinning Top,None,None,0.0027,-0.0053,-0.002,0.0,0.0,0.0,150500.0,-16292809.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,273,75.95,0.75,0.01,75.95,75.95,75.95,0.0,78.0,71.0,75.2,72.8,76.98,79.5,75.31,75.53,75.26,74.68,75.43,75.44,75.26,75.23,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.6647,-0.0562,0.0056,LOW,173.157,16.9492,-69.4915,64510.0,106416.67,87311.5,4898911.95,8028089.9,6585031.78,White Marubozu,None,Three White Soldiers,0.013999999999999999,0.01,0.01,0.0,0.0,0.0,150500.0,-16292809.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,268,76.0,0.2,0.0026,76.0,76.0,76.0,0.0,77.0,70.3,75.25,72.8,76.28,79.2,76.24,75.18,74.36,74.7,75.99,75.41,74.95,75.08,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.1105,0.3225,0.0078,LOW,-35.8595,0.0,-57.1429,19839.0,21420.0,17210.5,1506532.95,1633170.57,1311981.55,White Marubozu,None,Three White Soldiers,0.0147,-0.013000000000000001,0.01,150500.0,150500.0,150500.0,53460.0,-16317889.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
