,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,271,75.5,0.4,0.0053,75.5,75.5,75.5,0.0,79.95,70.0,75.1,72.05,76.25,79.48,75.6,75.57,74.33,74.11,75.54,75.27,74.78,74.73,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.8204,0.0275,0.0086,LOW,-29.4372,0.0,-71.4286,23812.0,17801.33,67650.5,1802242.5,1347257.67,5135615.58,White Marubozu,None,None,0.0134,-0.0066,-0.0026,-245565.0,-245565.0,371077.0,1368150.5,15435621.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,274,75.3,-0.15,-0.002,75.3,75.3,75.3,0.0,79.95,70.0,75.05,72.05,75.45,79.48,75.19,75.44,74.84,74.1,75.28,75.24,74.93,74.83,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.2807,-0.0514,0.003,LOW,76.6129,61.5385,-53.8462,120060.0,107000.0,139402.0,9038614.2,8054182.53,10503736.18,White Marubozu,Bullish Harami,Three White Soldiers,0.0107,-0.002,-0.002,0.0,0.0,-245565.0,371077.0,15435621.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,272,75.2,0.1,0.0013,75.2,75.1,75.2,0.0,79.95,70.0,75.02,72.05,75.42,79.48,75.23,75.5,74.71,74.09,75.22,75.22,74.88,74.8,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.5533,-0.099,0.004,LOW,-37.3563,17.9487,-69.2308,57277.0,114103.33,91227.5,4307629.75,8601110.4,6880257.3,Dragonfly Doji,None,None,0.0094,0.0013,0.002,0.0,0.0,-245565.0,1368150.5,15435621.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,274,75.65,0.15,0.002,75.5,75.5,75.65,0.0,79.95,70.0,75.3,73.1,76.25,79.48,75.23,75.44,74.9,74.1,75.33,75.27,74.96,74.84,SIDEWAYS,SIDEWAYS,SIDEWAYS,58.9248,-0.0247,0.0029,LOW,207.0125,82.0513,0.0,119835.0,95950.0,85461.0,9023137.7,7221571.13,6432785.63,White Marubozu,None,Three White Soldiers,0.0154,0.0027,0.002,0.0,0.0,-245565.0,371077.0,15584521.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,269,75.6,0.1,0.0013,75.6,75.6,75.6,0.0,79.95,70.0,75.45,73.1,76.28,79.48,75.66,74.46,73.56,74.1,75.5,74.75,74.26,74.49,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.1668,0.4393,0.0174,LOW,-11.1812,35.7664,-63.5036,88101.0,65200.67,65225.5,6695978.45,4954908.17,4938891.38,White Marubozu,None,None,0.0148,0.0007,0.0007,0.0,997073.5,997073.5,11465249.5,23809544.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,269,75.5,0.0,0.0,75.5,75.5,75.5,0.0,79.95,70.0,75.18,72.9,76.0,79.48,75.86,75.21,73.97,74.12,75.66,75.15,74.6,74.64,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.5986,0.1922,0.0108,LOW,-62.4563,23.6842,-76.3158,111689.0,78019.33,100557.5,8483779.65,5926587.33,7642438.2,White Marubozu,Bullish Harami,Three White Soldiers,0.0134,-0.0066,0.004,241392.0,616642.0,1613715.5,2035635.5,24426186.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,274,75.45,0.0,0.0,75.3,75.3,75.45,0.0,79.95,70.0,75.2,72.05,75.55,79.48,75.2,75.44,74.82,74.09,75.28,75.24,74.93,74.82,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.7169,-0.0617,0.0031,LOW,134.2926,61.5385,-30.7692,129766.0,110219.33,139603.5,9767213.0,8295959.43,10518987.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0128,0.0047,0.0033,0.0,0.0,-245565.0,1368150.5,15435621.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,272,75.2,0.0,0.0,75.2,75.2,75.2,0.0,79.95,70.0,75.05,72.05,75.42,79.48,75.21,75.54,74.74,74.09,75.22,75.22,74.89,74.8,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.5533,-0.0966,0.0037,LOW,-20.339000000000002,25.641,-69.2308,52848.0,114101.33,90707.5,3975004.4,8600801.97,6840973.3,White Marubozu,Bullish Harami,None,0.0094,0.0013,0.002,0.0,0.0,-245565.0,1368150.5,15435621.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,274,75.0,0.0,0.0,75.0,75.0,75.0,0.0,79.95,70.0,74.5,72.05,75.95,79.48,75.35,75.4,75.07,74.13,75.36,75.31,75.02,74.88,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.6214,0.0374,0.0038,LOW,-83.1129,0.0,-48.7179,13030.0,80721.33,71398.0,981284.95,6078396.23,5374248.98,White Marubozu,Bullish Harami,None,0.0067,-0.006,-0.0092,0.0,0.0,0.0,371077.0,15584521.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,269,76.0,0.0,0.0,76.0,76.0,76.0,0.0,79.95,70.0,75.05,72.05,76.95,79.48,75.77,74.94,73.78,74.12,75.73,75.07,74.51,74.6,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.1494,0.3013,0.0133,LOW,17.6221,29.1645,-51.2821,111518.0,130402.67,100282.0,8474356.85,9912901.5,7620892.73,White Marubozu,Bullish Harami,Three White Soldiers,0.0201,0.006,0.0,375250.0,375250.0,1372323.5,1662843.5,24184794.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
