,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,272,75.7,0.0,0.0,75.6,75.6,75.7,0.0,77.0,40.8,75.25,72.0,76.1,78.52,75.96,76.0,74.85,73.93,75.91,75.7,75.08,74.79,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.2738,-0.0531,0.0059,LOW,-67.3401,43.75,-56.25,152134.0,130916.0,145464.5,11514987.4,9915333.0,11049639.8,White Marubozu,None,None,0.0299,0.0013,0.0,0.0,21812.0,21812.0,-2884740.5,5413402.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,275,75.5,0.0,0.0,75.2,75.2,75.5,0.0,77.0,40.8,75.15,72.0,75.75,78.12,75.37,75.73,75.4,74.17,75.4,75.52,75.24,74.96,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.0082,-0.1466,0.0039,LOW,-2.3872,60.4167,0.0,99326.0,90552.0,108846.5,7465277.2,6812002.53,8208064.3,White Marubozu,None,None,0.0272,0.0047,0.0047,0.0,0.0,-21448.0,364.0,6017497.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,273,75.3,0.1,0.0013,75.2,75.1,75.3,0.0,77.0,40.8,75.0,72.0,75.4,78.0,75.6,75.97,75.25,74.1,75.53,75.62,75.23,74.92,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.9788,-0.1375,0.0049,LOW,-105.1931,10.1852,-83.3333,108899.0,106062.67,144957.0,8232016.5,8021245.93,10966462.95,Spinning Top,None,None,0.0245,-0.0053,0.0033,0.0,-21448.0,320552.0,364.0,5393497.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,275,76.8,0.8,0.0105,76.8,76.8,76.8,0.0,77.0,40.8,75.25,72.0,76.88,79.35,75.43,75.68,75.5,74.21,75.62,75.59,75.3,75.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,69.3615,-0.0542,0.0043,LOW,309.3288,100.0,0.0,4053.0,69770.67,80551.0,306219.4,5244659.13,6065531.55,White Marubozu,None,Three White Soldiers,0.0449,0.022000000000000002,0.0105,0.0,0.0,-21448.0,364.0,6248567.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,270,76.95,0.0,0.0,76.95,76.95,76.95,0.0,77.0,40.8,76.0,73.35,76.98,79.7,75.98,74.79,73.64,73.77,76.03,75.06,74.37,74.38,UPTREND,SIDEWAYS,SIDEWAYS,65.1825,0.5442,0.006999999999999999,LOW,135.6426,89.4444,-3.3333,89183.0,61386.67,53793.5,6775035.55,4663306.2,4080226.73,White Marubozu,Tweezer Bottoms,None,0.0469,0.0125,0.0125,0.0,0.0,-2573552.5,-2857642.5,3841290.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,270,75.6,-0.4,-0.0053,76.0,75.6,76.0,0.0,77.0,40.8,75.5,72.98,76.6,79.0,76.4,75.66,74.09,73.85,76.17,75.61,74.87,74.65,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.1545,0.2108,0.0063,LOW,-144.6962,39.0805,-93.1034,141378.0,99025.33,77332.5,10780543.0,7551395.83,5897572.55,Black Marubozu,None,None,0.0286,0.0,0.0,0.0,0.0,0.0,-2857642.5,3873290.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,275,75.5,0.35,0.0047,75.5,75.5,75.5,0.0,77.0,40.8,75.15,72.0,75.75,78.12,75.38,75.74,75.38,74.16,75.39,75.52,75.24,74.95,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.0082,-0.157,0.0039,LOW,18.6151,30.787,-37.5,102861.0,106204.67,117096.5,7730844.2,7996612.4,8832599.55,White Marubozu,None,None,0.0272,0.0047,0.0047,0.0,0.0,-21448.0,364.0,6017497.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,273,75.2,-0.1,-0.0013,75.2,75.2,75.2,0.0,77.0,40.8,75.02,72.0,75.4,78.0,75.58,75.95,75.27,74.1,75.5,75.6,75.23,74.93,SIDEWAYS,SIDEWAYS,SIDEWAYS,42.2959,-0.1479,0.0046,LOW,-97.5316,12.963,-88.8889,94289.0,107452.0,137734.5,7124824.7,8125629.53,10419198.45,White Marubozu,Bullish Harami,None,0.0231,-0.0066,0.002,0.0,0.0,320552.0,364.0,5393497.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,275,75.2,0.0,0.0,75.2,75.2,75.2,0.0,77.0,40.8,75.15,72.0,76.75,79.7,75.72,75.69,75.7,74.31,75.83,75.71,75.41,75.07,UPTREND,SIDEWAYS,SIDEWAYS,43.0678,0.1314,0.0051,LOW,-65.5513,34.3434,-96.9697,129346.0,87720.67,112320.5,9775640.05,6629324.47,8468938.73,White Marubozu,Bullish Harami,Three White Soldiers,0.0231,0.0007,0.0,0.0,0.0,0.0,364.0,6246254.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,270,76.6,0.0,0.0,76.6,76.6,76.6,0.0,77.0,40.8,76.0,73.35,76.85,79.35,76.45,75.33,73.96,73.83,76.36,75.53,74.73,74.57,SIDEWAYS,SIDEWAYS,SIDEWAYS,55.6767,0.4287,0.0057,LOW,28.7356,67.381,-40.0,87231.0,65296.0,88455.5,6678370.5,4999662.67,6745462.6,White Marubozu,Bullish Harami,None,0.0422,0.0079,-0.002,0.0,0.0,858047.5,-2857642.5,3873290.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
