,Unnamed: 0,Last,Change,%Change,Open,Low,High,Previous Close,Volume,Value,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),RSI(14).1,"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,274,76.1,0.0,0.0,76.1,76.1,76.3,76.1,9850.0,749699.5,-228300.0,77.1,76.0,76.05,76.0,76.5,77.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,29.5455,OVERSOLD,0.0,0.0057,LOW,0.0,0.0,-90.4762,25820.0,51470.0,0.0,1970975.35,3945163.6,0.0,Gravestone Doji,Tweezer Bottoms,None,0.0,-0.0123,0.0013,-266325.0,-1834325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-20
1,276,76.0,0.3,0.004,75.5,75.3,76.1,75.7,81080.0,6115838.0,0.0,77.1,75.0,75.3,75.1,76.05,76.88,75.93,0.0,0.0,0.0,75.92,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,48.6112,NEUTRAL,0.0,0.0064,LOW,-28.5948,38.5965,-47.3684,26118.0,22088.67,18609.0,1971317.6,1670561.53,1408247.15,None,None,None,0.0,-0.0013,0.004,0.0,98955.0,-1697370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-21
2,276,76.0,0.6,0.008,75.4,75.1,76.0,75.4,22020.0,1653862.0,0.0,77.1,75.0,75.25,75.1,76.1,76.92,75.89,0.0,0.0,0.0,75.9,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,49.4758,NEUTRAL,-0.1807,0.0063,LOW,-36.4532,43.8596,-47.3684,82784.0,66476.67,52492.0,6249253.4,5019236.6,3965252.85,White Long Day,Bullish Engulfing,None,0.0,-0.0013,-0.0013,0.0,15190.0,-167370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-29
3,274,76.5,0.4,0.0053,76.1,76.1,76.5,76.1,1410.0,107305.0,0.0,77.1,76.0,76.0,76.0,76.92,77.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,0.0,OVERSOLD,0.0,0.0,LOW,0.0,0.0,0.0,34691.0,0.0,0.0,2653701.2,0.0,0.0,White Marubozu,None,None,0.0,-0.0071,0.0066,-38025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-18
4,276,75.7,0.2,0.0026,75.7,75.7,75.7,75.5,390.0,29523.0,0.0,77.1,75.0,75.3,75.1,76.85,76.92,75.93,0.0,0.0,0.0,75.91,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,44.338,NEUTRAL,0.0,0.0061,LOW,-52.3611,26.3158,-63.1579,20107.0,16917.33,14605.5,1519318.8,1280646.4,1106298.6,White Marubozu,None,None,0.0,-0.0053,0.0066,0.0,98955.0,-1697370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-18
5,275,76.1,0.0,0.0,76.1,76.1,76.2,76.1,22100.0,1681885.0,0.0,77.1,76.0,76.0,76.0,76.3,77.08,76.39,0.0,0.0,0.0,76.39,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,31.8982,NEUTRAL,0.0,0.0048,LOW,-63.6159,0.0,-84.6154,12486.0,20753.33,41257.5,949517.5,1583230.6,3160807.98,Gravestone Doji,None,None,0.0,-0.0123,0.0,0.0,-1796325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-27
6,274,76.9,-0.05,-0.0006,76.5,76.5,76.95,76.95,36100.0,2776332.0,0.0,77.1,76.0,76.45,76.45,77.08,77.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,0.0,OVERSOLD,0.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White Long Day,Bullish Harami,None,0.0,-0.0019,-0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-04
7,274,76.0,-0.1,-0.0013,76.4,76.0,76.4,76.1,2300.0,174892.0,0.0,77.1,76.0,76.0,76.0,76.3,77.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,27.9582,OVERSOLD,0.0,0.0054,LOW,0.0,7.0175,-100.0,11886.0,25684.0,0.0,903788.65,1963552.53,0.0,Black Marubozu,Bearish Engulfing,None,0.0,-0.0136,-0.0013,-228300.0,-1796325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-25
8,276,76.0,-0.5,-0.0065,76.15,76.0,76.15,76.5,37700.0,2865796.0,0.0,77.1,76.0,76.0,76.0,76.68,76.68,76.21,0.0,0.0,0.0,76.33,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,38.911,NEUTRAL,0.0,0.0053,LOW,-104.2699,25.4902,-100.0,13885.0,14040.67,19852.5,1056786.35,1068288.87,1513880.85,Black Marubozu,None,None,0.0,-0.0013,-0.0065,83765.0,-182560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-07
9,276,75.2,-1.6,-0.0208,76.0,75.0,76.0,76.8,105680.0,7956998.0,0.0,77.1,75.0,75.1,75.1,76.85,76.95,76.16,0.0,0.0,0.0,76.26,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,35.2431,NEUTRAL,0.0,0.0072,LOW,-358.6233,0.0,-89.4737,22348.0,17396.0,17229.0,1692572.15,1318294.03,1306778.75,Black Long Day,None,None,0.0,-0.0118,-0.017,15190.0,-129345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-10
10,276,75.2,0.0,0.0,75.2,75.2,75.9,75.2,820.0,61693.5,0.0,77.1,75.0,75.1,75.1,76.85,76.92,76.1,0.0,0.0,0.0,76.16,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,35.2431,NEUTRAL,0.0,0.0073,LOW,-271.8916,36.8421,-89.4737,22200.0,17356.67,17043.0,1681252.3,1315253.27,1292520.48,Gravestone Doji,Bullish Harami,None,0.0,-0.0118,-0.017,15190.0,-129345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-11
11,276,76.5,0.35,0.0046,76.1,76.1,76.5,76.15,20970.0,1595850.0,0.0,77.1,76.0,76.1,76.0,76.68,76.85,76.26,0.0,0.0,0.0,76.37,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,48.0916,NEUTRAL,0.0,0.0052,LOW,46.7142,58.8235,-41.1765,11100.0,12489.33,21141.0,845176.7,950371.2,1614465.7,White Marubozu,None,None,0.0,0.0053,0.0053,83765.0,-182560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-04
