,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,273,38.5,0.45,0.0118,38.0,38.0,38.75,29614790.0,42.5,31.45,38.02,35.9,38.95,40.48,37.84,36.07,37.15,38.08,37.78,37.04,37.13,37.25,UPTREND,UPTREND,SIDEWAYS,57.6334,0.7331,0.0215,LOW,58.3422,78.2222,-20.0,6057130.0,7147160.0,6943915.0,233153904.5,271792732.0,262157405.0,White Long Day,Bullish Engulfing,None,0.0754,0.0349,-0.0065,133780820.0,1306656995.0,1424530905.0,-752692795.0,-2730164140.0,1.21,0.1748,31.82,0.0,3.92,0.0,2019-10-22
1,276,40.5,0.5,0.0125,39.3,39.3,40.5,82778025.0,42.5,34.0,38.92,37.52,40.55,42.15,39.53,38.72,37.39,38.18,39.44,38.7,38.14,37.79,SIDEWAYS,SIDEWAYS,SIDEWAYS,59.1545,0.3024,0.0216,LOW,177.0978,79.1667,0.0,9230400.0,7926420.0,7760560.0,362236794.0,311650235.33,305670225.5,White Marubozu,None,None,0.1313,0.0385,0.0385,254186835.0,-87785695.0,853389335.0,2184421430.0,-2909196710.0,1.26,0.1776,32.14,0.0,4.03,0.0,2019-12-03
2,274,39.8,0.0,0.0,39.7,39.25,39.8,-16927640.0,42.5,32.5,39.2,38.05,39.9,42.15,39.38,37.9,37.27,38.15,39.31,38.37,37.89,37.64,UPTREND,UPTREND,SIDEWAYS,55.9638,0.5529999999999999,0.0197,LOW,57.8918,62.5965,-42.1053,6035480.0,7981733.33,7381490.0,239221747.5,315450124.33,290578312.75,Hammer,None,None,0.1117,0.0205,-0.0025,167305190.0,774305795.0,1564907590.0,1841110795.0,-3328638155.0,1.26,0.1776,31.59,0.0,3.96,0.0,2019-11-20
3,276,41.0,0.2,0.0049,41.0,40.8,41.7,-9178305.0,42.5,34.0,39.65,38.05,41.35,42.15,39.74,39.01,37.45,38.21,39.8,38.97,38.33,37.9,UPTREND,SIDEWAYS,UPTREND,61.2471,0.3481,0.0217,LOW,264.1782,80.2309,-21.2121,9979230.0,8976366.67,8035360.0,396512830.0,355510019.33,318160465.5,Doji,None,None,0.1453,0.0513,0.0049,263556920.0,-10627010.0,793123220.0,2438832505.0,-2424939350.0,1.26,0.1776,32.54,0.0,4.08,0.0,2019-12-09
4,271,34.55,0.5,0.0147,34.45,34.45,34.85,-78850890.0,42.5,31.45,34.05,31.75,35.22,36.88,34.99,36.75,38.04,37.7,35.13,36.35,37.21,37.37,DOWNTREND,DOWNTREND,SIDEWAYS,42.5559,-0.7354,0.0241,LOW,-59.4146,12.7917,-72.2222,13225070.0,14910686.67,14461685.0,460368755.0,518754005.0,506152927.5,Inverted Hammer,None,None,-0.0349,-0.0212,-0.0212,-117677520.0,-795189660.0,-2254229495.0,-4865191775.0,-5195019535.0,1.21,0.1748,28.55,0.0,3.51,0.0,2019-09-06
5,271,36.3,-0.15,-0.0041,36.3,35.5,36.3,-48023204.9997,42.5,31.45,35.9,34.15,37.2,39.48,35.63,35.76,37.21,37.88,35.98,36.1,36.76,37.09,UPTREND,SIDEWAYS,DOWNTREND,53.3083,0.2114,0.0233,LOW,38.1113,77.4359,-32.3077,19389270.0,15517253.33,14046525.0,695832953.0,553770872.67,498525193.5,Dragonfly Doji,None,None,0.013999999999999999,-0.0242,-0.0055,55861110.0,8151230.0,-709346955.0,-2536512160.0,-4675482470.0,1.21,0.1748,30.0,0.0,3.69,0.0,2019-10-03
6,276,40.0,1.0,0.0256,39.0,38.9,40.0,220592215.0,42.5,34.0,38.88,37.28,40.6,42.15,39.54,38.62,37.37,38.17,39.33,38.63,38.1,37.76,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.1249,0.3046,0.0213,LOW,47.7022,61.4583,0.0,9318760.0,7949953.33,8481230.0,365572921.5,312419215.67,334510391.5,White Long Day,None,None,0.1173,0.0256,0.0256,-35906940.0,-154046085.0,718627425.0,2055963855.0,-3488370465.0,1.26,0.1776,31.75,0.0,3.98,0.0,2019-12-02
7,274,39.0,-0.8,-0.0201,39.7,38.45,39.75,-222199845.0,42.5,32.95,38.72,35.9,39.9,42.15,39.39,37.99,37.28,38.15,39.28,38.39,37.91,37.65,UPTREND,UPTREND,SIDEWAYS,49.6756,0.5248,0.0211,LOW,-42.618,47.1236,-74.4186,6310410.0,8085986.67,7763220.0,249017985.5,319475798.67,305490211.25,None,None,None,0.0894,0.0,-0.0226,-73282355.0,542165020.0,1310296555.0,1671725190.0,-3678445985.0,1.26,0.1776,30.95,0.0,3.88,0.0,2019-11-21
8,276,41.95,0.5,0.0121,41.1,40.9,41.95,89394265.0,42.5,34.0,39.68,38.05,42.22,42.22,40.53,39.72,37.76,38.33,40.65,39.68,38.83,38.21,UPTREND,SIDEWAYS,UPTREND,60.8332,0.4916,0.0256,LOW,117.78,80.416,0.0,9460240.0,9070686.67,9719735.0,386490948.5,369455370.67,391501889.25,White Long Day,None,None,0.1718,0.0756,0.0121,-177193290.0,377178485.0,223132400.0,2533703135.0,-2896120750.0,1.26,0.1776,33.29,0.0,4.17,0.0,2019-12-23
9,271,36.7,1.25,0.0353,35.5,35.5,36.7,7239530.0,42.5,31.45,34.72,33.62,37.7,39.6,34.87,36.02,37.47,37.83,35.17,35.87,36.75,37.11,UPTREND,DOWNTREND,DOWNTREND,60.4361,-0.309,0.0215,LOW,261.1451,82.1839,0.0,21266920.0,16966340.0,15982035.0,751739438.0,597190740.0,562109177.0,White Marubozu,None,None,0.0251,0.0397,0.0561,-77873330.0,-640346205.0,-1690309100.0,-3534712880.0,-4972976335.0,1.21,0.1748,30.33,0.0,3.73,0.0,2019-09-24
