,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,274,0.88,0.0,0.0,0.88,0.88,0.88,0.0,1.64,0.71,0.84,0.76,0.9,1.06,0.86,0.85,0.86,0.85,0.86,0.86,0.86,0.86,DOWNTREND,SIDEWAYS,SIDEWAYS,54.9245,0.0003,0.0362,NEUTRAL,89.5833,61.9048,-28.5714,125000.0,117800.0,251650.0,105662.0,100220.67,220918.5,White Marubozu,Bullish Harami,None,0.1892,0.0233,0.0233,0.0,0.0,-167430.0,-24660.0,-103490.0,-0.01,0.5,-88.0,0.0,0.32,0.0,2019-10-22
1,277,0.79,0.01,0.0128,0.79,0.79,0.79,0.0,1.64,0.73,0.78,0.74,0.85,0.88,0.84,0.85,0.85,0.86,0.83,0.85,0.85,0.85,DOWNTREND,SIDEWAYS,SIDEWAYS,39.4428,-0.0088,0.0314,NEUTRAL,-183.3637,0.0,-87.5,135300.0,111866.67,135900.0,110267.0,91864.0,113923.0,White Marubozu,Bullish Harami,None,0.0676,0.0128,0.0128,0.0,-16800.0,-16800.0,-184230.0,-125390.0,-0.02,-3.0,-39.5,0.0,0.29,0.0,2019-12-03
2,275,0.84,0.0,0.0,0.83,0.83,0.84,-8400.0,1.64,0.72,0.76,0.73,0.86,0.9,0.85,0.86,0.85,0.86,0.85,0.86,0.86,0.85,DOWNTREND,SIDEWAYS,SIDEWAYS,45.1919,-0.0031,0.0244,LOW,-118.2627,0.0,-83.3333,73300.0,116666.67,119550.0,61844.0,99950.0,102571.0,White Marubozu,None,Three White Soldiers,0.1351,-0.0233,-0.0118,-8400.0,-8400.0,-8400.0,-112450.0,-111890.0,-0.02,-3.0,-42.0,0.0,0.31,0.0,2019-11-20
3,277,0.81,-0.02,-0.0241,0.83,0.81,0.83,0.0,1.64,0.73,0.76,0.73,0.83,0.87,0.83,0.85,0.85,0.86,0.82,0.84,0.85,0.85,DOWNTREND,SIDEWAYS,SIDEWAYS,46.9181,-0.013999999999999999,0.0323,NEUTRAL,-26.0206,43.3333,-50.0,120200.0,113533.33,96750.0,96068.0,92150.67,78956.0,Black Marubozu,Bearish Engulfing,None,0.0946,0.0385,-0.0241,0.0,-16800.0,-16800.0,-184230.0,-196890.0,-0.02,-3.0,-40.5,0.0,0.3,0.0,2019-12-09
4,272,0.86,-0.02,-0.0227,0.88,0.85,0.88,0.0,1.64,0.71,0.84,0.76,0.9,1.06,0.84,0.85,0.87,0.84,0.85,0.86,0.86,0.85,UPTREND,SIDEWAYS,SIDEWAYS,50.9841,-0.0015,0.0787,HIGH,22.7752,26.1905,-73.8095,6535900.0,4631000.0,3790450.0,6654994.0,4653093.33,3768240.5,Black Long Day,None,None,0.1622,0.0118,0.0118,0.0,63380.0,142770.0,189930.0,-200700.0,-0.01,0.5,-86.0,0.0,0.32,0.0,2019-09-06
5,272,0.85,-0.03,-0.0341,0.89,0.85,0.9,0.0,1.64,0.71,0.84,0.76,0.9,1.06,0.86,0.86,0.86,0.85,0.86,0.86,0.86,0.85,UPTREND,SIDEWAYS,SIDEWAYS,47.5771,0.0046,0.0536,HIGH,5.7471,33.3333,-90.0,408800.0,357800.0,417200.0,363000.0,314262.67,364766.0,Black Long Day,None,None,0.1486,-0.0116,-0.0116,0.0,-184830.0,-104050.0,4040.0,-358730.0,-0.01,0.5,-85.0,0.0,0.31,0.0,2019-10-03
6,277,0.79,0.01,0.0128,0.79,0.79,0.79,0.0,1.64,0.73,0.78,0.74,0.85,0.88,0.84,0.85,0.85,0.86,0.83,0.85,0.85,0.85,DOWNTREND,SIDEWAYS,SIDEWAYS,39.4428,-0.0088,0.0314,NEUTRAL,-183.3637,0.0,-87.5,135300.0,111866.67,135900.0,110267.0,91864.0,113923.0,White Marubozu,Bullish Harami,None,0.0676,0.0128,0.0128,0.0,-16800.0,-16800.0,-184230.0,-125390.0,-0.02,-3.0,-39.5,0.0,0.29,0.0,2019-12-02
7,275,0.84,0.0,0.0,0.84,0.83,0.84,-8400.0,1.64,0.72,0.76,0.72,0.86,0.9,0.85,0.86,0.85,0.86,0.85,0.86,0.86,0.85,DOWNTREND,SIDEWAYS,SIDEWAYS,45.1919,-0.0035,0.0235,LOW,-107.5269,0.0,-83.3333,96900.0,133933.33,132700.0,81376.0,114284.0,113473.5,Dragonfly Doji,Bullish Harami,None,0.1351,-0.0233,-0.0118,-16800.0,-16800.0,-16800.0,-120850.0,-120290.0,-0.02,-3.0,-42.0,0.0,0.31,0.0,2019-11-21
8,277,0.79,-0.01,-0.0125,0.74,0.74,0.79,0.0,1.64,0.73,0.75,0.72,0.8,0.85,0.81,0.84,0.85,0.86,0.81,0.83,0.84,0.85,DOWNTREND,DOWNTREND,SIDEWAYS,45.0043,-0.0143,0.0465,NEUTRAL,-80.1105,55.5556,-50.0,60000.0,71266.67,104650.0,45482.0,54646.67,83086.0,White Marubozu,None,Three White Soldiers,0.0676,0.0128,-0.0125,-8760.0,-1160.0,-17960.0,-202790.0,-198050.0,-0.02,-3.0,-39.5,0.0,0.29,0.0,2019-12-23
9,272,0.86,-0.02,-0.0227,0.86,0.86,0.94,890.0,1.64,0.71,0.84,0.8,0.91,1.06,0.86,0.85,0.86,0.85,0.86,0.86,0.86,0.85,DOWNTREND,SIDEWAYS,SIDEWAYS,50.5868,0.0022,0.0604,HIGH,69.5592,46.1279,-72.7273,572400.0,590000.0,3544600.0,504386.0,515890.67,3575924.0,Gravestone Doji,None,None,0.1622,0.0118,-0.0227,-184830.0,-167430.0,-104050.0,13800.0,-368130.0,-0.01,0.5,-86.0,0.0,0.32,0.0,2019-09-24
