,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,275,7.35,0.05,0.0068,7.35,7.3,7.35,0.0,7.8,5.05,7.25,6.95,7.36,7.65,7.35,7.26,6.93,6.75,7.33,7.22,7.03,6.7,SIDEWAYS,SIDEWAYS,UPTREND,53.5426,0.0303,0.0137,LOW,-46.3183,44.2564,-48.0,77280.0,61286.67,62390.0,566602.2,449333.73,458295.8,Dragonfly Doji,Bullish Harami,None,0.3511,-0.0134,0.0,447549.0,741038.0,1497337.0,1955124.0,1350279.0,1.21,0.1101,6.07,0.0,1.06,0.0,2019-10-22
1,278,8.75,-0.05,-0.0057,8.8,8.69,8.84,878699.9998,9.3,5.05,8.48,7.68,9.1,9.1,8.16,7.68,7.33,6.99,8.24,7.81,7.46,7.02,UPTREND,UPTREND,UPTREND,73.6037,0.2673,0.0269,LOW,107.771,65.4744,-34.375,512470.0,357453.33,294370.0,4445174.1,3087534.73,2520499.9,None,None,None,0.6085,0.0092,0.0092,4807229.0,5829862.0,6604812.0,8143189.0,3192936.0,1.15,-0.1481,7.61,0.0,1.2,0.0,2019-12-03
2,276,7.89,0.09,0.0115,7.8,7.75,7.89,0.0,7.94,5.05,7.75,7.3,7.9,7.92,7.64,7.46,7.15,6.9,7.69,7.48,7.24,6.87,UPTREND,SIDEWAYS,UPTREND,68.533,0.1272,0.0161,LOW,70.1892,81.7471,-8.4746,62540.0,75880.0,62580.0,488516.8,584857.27,480311.45,None,None,None,0.4504,0.0706,0.0,-58448.0,762252.0,1408314.0,2813099.0,-1302698.0,1.15,-0.1481,6.86,0.0,1.09,0.0,2019-11-20
3,278,7.95,0.05,0.0063,7.9,7.85,7.95,0.0,9.3,5.16,7.8,7.52,8.8,9.1,8.21,7.74,7.4,7.03,8.19,7.85,7.51,7.06,UPTREND,UPTREND,UPTREND,45.8085,0.2405,0.0327,NEUTRAL,-47.0685,15.4481,-84.9057,579290.0,446513.33,348400.0,5030686.7,3838876.2,2985009.05,None,None,None,0.4614,-0.083,0.0063,858478.0,5844478.0,6606730.0,7684278.0,3205516.0,1.15,-0.1481,6.91,0.0,1.09,0.0,2019-12-09
4,273,7.23,0.0,0.0,7.23,7.2,7.23,7230.0,7.8,5.05,7.15,6.8,7.24,7.65,7.1,6.82,6.79,6.42,7.1,6.92,6.75,6.46,UPTREND,UPTREND,SIDEWAYS,66.0263,0.1208,0.0198,LOW,96.9974,94.4444,-5.0,48540.0,52333.33,63980.0,345985.0,371191.87,450514.9,Dragonfly Doji,Bullish Harami,None,0.32899999999999996,0.0042,0.0042,7230.0,-129585.0,-136673.0,124295.0,-968301.0,1.21,0.1101,5.98,0.0,1.04,0.0,2019-09-06
5,273,7.4,0.0,0.0,7.3,7.22,7.4,-10965.0,7.8,5.05,7.27,6.9,7.46,7.72,7.33,7.12,6.84,6.61,7.33,7.15,6.94,6.61,UPTREND,SIDEWAYS,UPTREND,59.8206,0.0924,0.0169,LOW,13.2234,61.1111,-33.3333,59590.0,60386.67,59825.0,440922.4,444429.33,437869.9,None,None,None,0.3603,-0.0067,0.0109,319525.0,741652.0,1287224.0,1322548.0,297688.0,1.21,0.1101,6.12,0.0,1.07,0.0,2019-10-03
6,278,8.8,0.13,0.015,8.65,8.6,8.85,98334.0,9.3,5.05,8.48,7.52,9.1,9.1,8.1,7.66,7.31,6.98,8.18,7.77,7.43,7.0,UPTREND,UPTREND,UPTREND,76.1634,0.2496,0.0275,LOW,124.9232,69.0432,-31.25,466010.0,328693.33,273125.0,4035897.3,2831734.07,2330262.55,None,None,None,0.6176,0.015,0.015,3928529.0,4965792.0,5718862.0,7791869.0,2342945.0,1.15,-0.1481,7.65,0.0,1.21,0.0,2019-12-02
7,276,7.85,-0.04,-0.0051,7.89,7.8,7.89,62400.0,7.94,5.05,7.75,7.3,7.89,7.92,7.67,7.47,7.17,6.9,7.7,7.49,7.25,6.88,UPTREND,SIDEWAYS,UPTREND,64.8439,0.1285,0.0159,LOW,65.6796,84.1342,-15.7895,62490.0,77700.0,67040.0,487741.0,601432.87,515468.6,None,Tweezer Tops,None,0.44299999999999995,0.0651,-0.0051,85800.0,824652.0,1470714.0,2875499.0,-1243038.0,1.15,-0.1481,6.83,0.0,1.08,0.0,2019-11-21
8,278,8.21,0.01,0.0012,8.28,8.2,8.28,0.0,9.3,5.35,7.48,7.25,8.3,9.1,8.17,7.83,7.52,7.1,7.98,7.85,7.57,7.13,DOWNTREND,UPTREND,UPTREND,57.043,0.0033,0.0302,NEUTRAL,8.4254,48.1871,-41.5385,118590.0,214900.0,348940.0,923266.7,1763789.13,2976976.7,Black Long Day,None,None,0.5092,-0.0531,0.0012,141965.0,1018390.0,5984182.0,7818990.0,2717770.0,1.15,-0.1481,7.14,0.0,1.13,0.0,2019-12-23
9,273,7.48,0.08,0.0108,7.48,7.35,7.5,748.0,7.8,5.05,7.3,7.08,7.49,7.72,7.27,7.0,6.8,6.54,7.27,7.07,6.87,6.56,UPTREND,UPTREND,SIDEWAYS,78.774,0.1031,0.0152,LOW,159.7471,81.6667,-5.0,62910.0,60486.67,55695.0,460761.7,440026.07,404289.7,Doji,None,None,0.375,0.0389,0.0108,17950.0,998499.0,882684.0,1010173.0,11543.0,1.21,0.1101,6.18,0.0,1.08,0.0,2019-09-24
