,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,276,2.41,0.01,0.0042,2.41,2.41,2.41,0.0,2.8,2.2,2.4,2.27,2.44,2.59,2.45,2.44,2.45,2.54,2.45,2.45,2.46,2.51,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.4351,-0.0028,0.0167,LOW,-83.9429,0.0,-94.7368,62100.0,42800.0,37250.0,151238.0,104212.67,90941.0,White Marubozu,Bullish Harami,None,-0.0731,-0.0695,0.0042,0.0,2590.0,2590.0,-2170.0,243640.0,0.18,2.6364,13.39,0.0,0.85,0.0,2019-10-22
1,279,2.25,0.0,0.0,2.25,2.25,2.25,0.0,2.8,2.2,2.24,2.16,2.26,2.59,2.36,2.42,2.42,2.51,2.33,2.39,2.43,2.49,DOWNTREND,SIDEWAYS,SIDEWAYS,37.579,-0.0463,0.0157,LOW,-83.365,4.9206,-95.0,159600.0,145800.0,110850.0,371995.0,343928.67,261616.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1346,-0.0385,0.0,0.0,0.0,2590.0,-2170.0,-54300.0,0.2,2.8182,11.25,0.0,0.78,0.0,2019-12-03
2,277,2.25,0.0,0.0,2.25,2.25,2.25,0.0,2.8,2.2,2.24,2.16,2.34,2.59,2.38,2.42,2.42,2.52,2.35,2.4,2.44,2.49,DOWNTREND,SIDEWAYS,SIDEWAYS,37.579,-0.0404,0.0182,LOW,-106.0982,4.127,-95.2381,166800.0,145266.67,110650.0,389556.0,342808.0,261256.5,White Marubozu,Bullish Harami,None,-0.1346,-0.0385,0.0,0.0,0.0,2590.0,-2170.0,-54300.0,0.2,2.8182,11.25,0.0,0.78,0.0,2019-11-20
3,279,2.2,-0.05,-0.0222,2.2,2.2,2.2,0.0,2.8,2.2,2.16,2.13,2.25,2.59,2.34,2.41,2.41,2.51,2.32,2.38,2.42,2.48,DOWNTREND,SIDEWAYS,SIDEWAYS,33.5206,-0.049,0.0165,LOW,-108.1048,3.3333,-100.0,42500.0,144933.33,109950.0,97142.0,341798.0,259408.5,White Marubozu,None,Three White Soldiers,-0.1538,-0.0222,-0.0222,0.0,0.0,2590.0,-2170.0,-54300.0,0.2,2.8182,11.0,0.0,0.77,0.0,2019-12-09
4,274,2.41,0.0,0.0,2.41,2.41,2.41,0.0,2.8,2.2,2.38,2.27,2.5,2.75,2.49,2.43,2.46,2.55,2.47,2.45,2.47,2.52,UPTREND,SIDEWAYS,SIDEWAYS,44.4589,0.0241,0.0223,LOW,-80.2543,0.0,-100.0,11700.0,13333.33,12850.0,29022.0,33238.0,31765.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0731,0.0,0.0,0.0,0.0,-4760.0,-4760.0,241050.0,0.18,2.6364,13.39,0.0,0.85,0.0,2019-09-06
5,274,2.45,-0.14,-0.0541,2.45,2.45,2.45,0.0,2.8,2.2,2.44,2.36,2.59,2.75,2.5,2.44,2.46,2.54,2.47,2.46,2.47,2.52,DOWNTREND,SIDEWAYS,SIDEWAYS,48.6412,0.0077,0.0233,LOW,-47.4273,31.5453,-77.7778,5200.0,10000.0,11300.0,12689.0,24686.67,28111.5,White Marubozu,None,Three White Soldiers,-0.0577,-0.0541,-0.0541,2590.0,2590.0,-2170.0,-2170.0,243640.0,0.18,2.6364,13.61,0.0,0.86,0.0,2019-10-03
6,279,2.25,0.0,0.0,2.25,2.25,2.25,0.0,2.8,2.2,2.24,2.16,2.26,2.59,2.36,2.42,2.42,2.51,2.33,2.39,2.43,2.49,DOWNTREND,SIDEWAYS,SIDEWAYS,37.579,-0.0463,0.0157,LOW,-83.365,4.9206,-95.0,159600.0,145800.0,110850.0,371995.0,343928.67,261616.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1346,-0.0385,0.0,0.0,0.0,2590.0,-2170.0,-54300.0,0.2,2.8182,11.25,0.0,0.78,0.0,2019-12-02
7,277,2.25,0.0,0.0,2.25,2.25,2.25,0.0,2.8,2.2,2.24,2.16,2.34,2.59,2.38,2.42,2.42,2.52,2.35,2.4,2.44,2.49,DOWNTREND,SIDEWAYS,SIDEWAYS,37.579,-0.0404,0.0182,LOW,-106.0982,4.127,-95.2381,166800.0,145266.67,110650.0,389556.0,342808.0,261256.5,White Marubozu,Bullish Harami,None,-0.1346,-0.0385,0.0,0.0,0.0,2590.0,-2170.0,-54300.0,0.2,2.8182,11.25,0.0,0.78,0.0,2019-11-21
8,279,2.21,0.01,0.0045,2.21,2.21,2.21,-2210.0,2.8,2.2,2.2,2.13,2.25,2.59,2.33,2.41,2.41,2.51,2.31,2.37,2.42,2.48,DOWNTREND,DOWNTREND,SIDEWAYS,35.0318,-0.0514,0.0156,LOW,-90.8873,0.0,-95.2381,21700.0,125400.0,109800.0,49747.0,294121.33,259031.0,White Marubozu,None,Three White Soldiers,-0.15,-0.0178,0.0045,-2210.0,-2210.0,380.0,-4380.0,-56510.0,0.2,2.8182,11.05,0.0,0.77,0.0,2019-12-23
9,274,2.59,0.15,0.0615,2.59,2.59,2.59,2590.0,2.8,2.2,2.42,2.27,2.7,2.8,2.5,2.44,2.46,2.54,2.47,2.46,2.47,2.52,DOWNTREND,SIDEWAYS,SIDEWAYS,61.6306,0.0085,0.0196,LOW,77.72800000000001,27.5862,-37.931,5700.0,10066.67,11700.0,13932.0,24882.0,29079.0,White Marubozu,None,Three White Soldiers,-0.0038,0.0747,0.0615,2590.0,2590.0,-2170.0,-2170.0,243640.0,0.18,2.6364,14.39,0.0,0.91,0.0,2019-09-24
10,279,2.25,0.0,0.0,2.25,2.25,2.25,0.0,2.8,2.2,2.24,2.16,2.26,2.59,2.36,2.42,2.42,2.51,2.33,2.39,2.43,2.49,DOWNTREND,SIDEWAYS,SIDEWAYS,37.579,-0.0463,0.0157,LOW,-83.365,4.9206,-95.0,159600.0,145800.0,110850.0,371995.0,343928.67,261616.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1346,-0.0385,0.0,0.0,0.0,2590.0,-2170.0,-54300.0,0.2,2.8182,11.25,0.0,0.78,0.0,2019-11-29
