,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,277,2.65,0.02,0.0076,2.67,2.62,2.67,-1410970.0,3.7,2.09,2.5,2.42,2.66,2.84,2.61,2.76,3.07,2.81,2.62,2.77,2.86,2.83,DOWNTREND,DOWNTREND,DOWNTREND,49.3661,-0.0822,0.0349,NEUTRAL,18.7611,59.3445,-28.125,2098100.0,2251333.33,2212150.0,5342215.0,5719193.33,5734702.5,None,None,None,0.1134,-0.0603,0.0038,-2907180.0,-7159460.0,19441870.0,51705270.0,833548220.0,0.2,1.2222,13.25,0.0,0.79,0.0,2019-10-22
1,280,2.47,-0.1,-0.0389,2.57,2.43,2.57,217160.0,3.7,2.09,2.45,2.35,2.68,2.88,2.7,2.65,2.85,2.85,2.66,2.7,2.78,2.79,DOWNTREND,SIDEWAYS,DOWNTREND,31.839000000000002,0.0009,0.0388,NEUTRAL,-202.4146,12.4023,-91.4894,1596900.0,2156666.67,2178300.0,4174043.0,5872873.33,5931773.5,Black Long Day,None,None,0.0378,-0.0644,-0.0644,5145250.0,12219580.0,15555620.0,40715980.0,863704820.0,0.23,1.5556,10.74,0.0,0.72,0.0,2019-12-03
2,278,2.75,-0.05,-0.0179,2.8,2.72,2.83,372279.9998,3.7,2.09,2.74,2.54,2.85,2.94,2.69,2.69,2.92,2.84,2.72,2.73,2.81,2.81,UPTREND,SIDEWAYS,DOWNTREND,54.1697,0.0256,0.0327,NEUTRAL,59.8559,63.6523,-47.0588,2668600.0,2285133.33,2096350.0,7448361.0,6309010.67,5719030.0,None,Bearish Engulfing,None,0.1555,0.0659,-0.0179,-1981180.0,6448610.0,1297770.0,36823690.0,848318220.0,0.23,1.5556,11.96,0.0,0.81,0.0,2019-11-20
3,280,2.51,0.04,0.0162,2.47,2.45,2.51,749080.0,3.7,2.09,2.34,2.26,2.54,2.88,2.65,2.62,2.81,2.85,2.59,2.66,2.75,2.78,DOWNTREND,SIDEWAYS,DOWNTREND,41.8209,-0.033,0.0377,NEUTRAL,-96.2703,27.3846,-64.0,1943500.0,1841200.0,2289550.0,4808997.0,4680085.33,6075443.5,White Long Day,None,Three White Soldiers,0.0546,-0.0492,0.0162,7256060.0,17558990.0,22768890.0,38999500.0,866267730.0,0.23,1.5556,10.91,0.0,0.74,0.0,2019-12-09
4,275,2.93,0.02,0.0069,2.92,2.89,2.95,2913450.0,3.7,2.09,2.74,2.62,2.94,3.21,2.89,3.18,3.15,2.78,2.91,3.05,3.03,2.89,DOWNTREND,DOWNTREND,SIDEWAYS,47.9444,-0.1243,0.0419,NEUTRAL,16.0093,66.8208,-20.8333,3959600.0,5046466.67,4513150.0,11084179.0,14242138.0,12964074.5,None,None,None,0.2311,0.0502,0.0502,4898320.0,10846850.0,35333310.0,343161560.0,814080680.0,0.2,1.2222,14.65,0.0,0.87,0.0,2019-09-06
5,275,2.6,-0.12,-0.0441,2.7,2.58,2.74,717440.0,3.7,2.09,2.59,2.43,2.84,2.94,2.81,2.93,3.15,2.8,2.79,2.91,2.96,2.87,DOWNTREND,DOWNTREND,DOWNTREND,34.0728,-0.0542,0.0404,NEUTRAL,-218.3623,27.1921,-94.2857,1810700.0,1745000.0,2036350.0,4990053.0,4848610.0,5739677.0,None,None,None,0.0924,-0.078,-0.0614,7968790.0,25339490.0,49833910.0,137338630.0,836960430.0,0.2,1.2222,13.0,0.0,0.77,0.0,2019-10-03
6,280,2.57,-0.07,-0.0265,2.64,2.54,2.64,804950.0,3.7,2.09,2.56,2.44,2.7,2.88,2.71,2.66,2.86,2.85,2.68,2.71,2.79,2.8,DOWNTREND,SIDEWAYS,DOWNTREND,38.4497,0.0076,0.0359,NEUTRAL,-135.2682,15.8154,-91.8919,1344100.0,2107600.0,2088100.0,3591064.0,5814548.67,5728144.5,Black Long Day,None,None,0.0798,-0.0265,-0.0265,5496270.0,14370810.0,14769260.0,42321290.0,863404960.0,0.23,1.5556,11.17,0.0,0.75,0.0,2019-12-02
7,278,2.64,-0.11,-0.04,2.75,2.59,2.78,3393320.0,3.7,2.09,2.62,2.54,2.83,2.92,2.69,2.68,2.91,2.84,2.71,2.73,2.81,2.81,UPTREND,SIDEWAYS,DOWNTREND,44.3143,0.0261,0.0368,NEUTRAL,-20.0274,46.5648,-81.8182,2998200.0,2430333.33,2186900.0,8320398.0,6702576.67,5966351.0,None,None,None,0.1092,0.0233,-0.0571,-516500.0,10557290.0,5218700.0,40825420.0,852848230.0,0.23,1.5556,11.48,0.0,0.77,0.0,2019-11-21
8,280,2.75,0.07,0.0261,2.68,2.61,2.76,2209880.0,3.7,2.09,2.54,2.34,2.76,2.88,2.56,2.62,2.73,2.87,2.6,2.64,2.72,2.76,UPTREND,SIDEWAYS,DOWNTREND,63.2273,-0.0249,0.0317,NEUTRAL,118.3503,91.5325,-2.3256,1673300.0,2060666.67,1808400.0,4282130.0,5140796.0,4545563.5,None,Bullish Engulfing,None,0.1555,0.0417,0.0261,8490460.0,31269930.0,45640740.0,45471910.0,891213780.0,0.23,1.5556,11.96,0.0,0.81,0.0,2019-12-23
9,275,2.82,0.0,0.0,2.83,2.81,2.85,2757720.0,3.7,2.09,2.74,2.62,2.85,2.94,2.83,3.03,3.18,2.79,2.86,2.97,2.99,2.88,SIDEWAYS,DOWNTREND,DOWNTREND,43.7899,-0.0605,0.033,NEUTRAL,-1.6708,44.2633,-56.5217,1413200.0,2685133.33,2817000.0,4000409.0,7698688.0,7969846.0,None,None,None,0.1849,0.0108,0.0,11558290.0,29037520.0,38169930.0,331965030.0,829020710.0,0.2,1.2222,14.1,0.0,0.84,0.0,2019-09-24
