,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,279,0.67,-0.01,-0.0147,0.68,0.67,0.68,-716830.0,0.87,0.52,0.66,0.64,0.68,0.71,0.68,0.69,0.72,0.72,0.68,0.69,0.71,0.74,DOWNTREND,SIDEWAYS,DOWNTREND,42.5404,-0.0066,0.0217,LOW,-58.641999999999996,50.0,-50.0,1436800.0,1501933.33,1255850.0,974939.0,1017995.33,853239.5,Black Marubozu,Bearish Engulfing,None,-0.1519,-0.0147,0.0,-4102200.0,-10438360.0,-10332650.0,-7404680.0,-114897590.0,0.01,-0.8333,67.0,0.0,0.78,0.0,2019-10-22
1,282,0.66,0.0,0.0,0.66,0.66,0.67,0.0,0.87,0.59,0.65,0.6,0.68,0.72,0.67,0.68,0.7,0.7,0.67,0.68,0.69,0.73,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.3834,-0.0021,0.0211,LOW,-150.0615,0.0,-100.0,1045400.0,925200.0,877550.0,697758.0,619586.67,588135.5,Gravestone Doji,Tweezer Bottoms,None,-0.1646,-0.0149,-0.0149,630300.0,378610.0,-29047320.0,-38663140.0,-143438940.0,0.02,-0.6,33.0,0.0,0.76,0.0,2019-12-03
2,280,0.68,-0.01,-0.0145,0.69,0.67,0.69,-29920.0,0.87,0.58,0.67,0.64,0.69,0.72,0.68,0.68,0.71,0.71,0.68,0.68,0.7,0.73,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.4886,-0.0021,0.0217,LOW,35.0877,77.7778,-33.3333,713500.0,2923933.33,2764850.0,481638.0,1975428.67,1869463.0,None,Tweezer Tops,None,-0.1392,0.0,0.0149,-163720.0,-22743580.0,-35437200.0,-40839300.0,-141776300.0,0.02,-0.6,34.0,0.0,0.78,0.0,2019-11-20
3,282,0.64,-0.02,-0.0303,0.66,0.63,0.66,-4623640.0,0.87,0.6,0.6,0.58,0.67,0.7,0.67,0.67,0.7,0.7,0.67,0.68,0.69,0.72,DOWNTREND,SIDEWAYS,SIDEWAYS,34.7454,-0.0037,0.0235,LOW,-245.4545,30.5556,-83.3333,2171000.0,1699733.33,1463300.0,1408149.0,1108540.67,958983.5,Black Long Day,None,None,-0.1899,-0.0448,-0.0303,-4773410.0,-4261000.0,-29309530.0,-43436550.0,-147177720.0,0.02,-0.6,32.0,0.0,0.74,0.0,2019-12-09
4,277,0.7,0.0,0.0,0.7,0.69,0.7,0.0,0.95,0.52,0.68,0.66,0.71,0.74,0.7,0.74,0.71,0.71,0.7,0.72,0.72,0.77,DOWNTREND,DOWNTREND,SIDEWAYS,46.4638,-0.0156,0.0285,LOW,-20.4216,49.6032,-33.3333,1164400.0,1380466.67,1296200.0,788776.0,947544.0,902337.5,Dragonfly Doji,Bullish Harami,None,-0.1139,0.0,0.0,-729270.0,-2801570.0,5721290.0,39299880.0,-86984510.0,0.01,-0.8333,70.0,0.0,0.81,0.0,2019-09-06
5,277,0.68,0.0,0.0,0.67,0.67,0.68,-2054280.0,0.92,0.52,0.66,0.64,0.7,0.74,0.7,0.71,0.72,0.72,0.69,0.71,0.71,0.75,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.6132,-0.0053,0.0269,LOW,-198.1982,0.0,-80.0,1184400.0,896066.67,896950.0,814700.0,616975.33,617440.5,White Marubozu,None,None,-0.1392,0.0,-0.0145,-3799180.0,-3693470.0,-6453840.0,17182450.0,-100336100.0,0.01,-0.8333,68.0,0.0,0.79,0.0,2019-10-03
6,282,0.66,-0.01,-0.0149,0.67,0.66,0.67,321420.0,0.87,0.59,0.64,0.6,0.68,0.72,0.67,0.68,0.7,0.7,0.67,0.68,0.69,0.73,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.3834,-0.0017,0.0215,LOW,-174.8634,22.2222,-100.0,977000.0,902666.67,896500.0,653225.0,605587.33,601297.5,Black Marubozu,Bearish Engulfing,None,-0.1646,-0.0149,-0.0149,639540.0,378610.0,-30764320.0,-38663140.0,-143560940.0,0.02,-0.6,33.0,0.0,0.76,0.0,2019-12-02
7,280,0.67,-0.01,-0.0147,0.67,0.66,0.68,-97210.0,0.87,0.58,0.66,0.64,0.69,0.72,0.68,0.68,0.71,0.71,0.68,0.68,0.7,0.73,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.4707,-0.0019,0.0226,LOW,-103.8647,66.6667,-66.6667,826700.0,2832666.67,2668000.0,557396.0,1913494.67,1802568.0,Doji,None,None,-0.1519,-0.0147,0.0,-260930.0,-21159080.0,-35484090.0,-40031950.0,-142113460.0,0.02,-0.6,33.5,0.0,0.77,0.0,2019-11-21
8,282,0.62,-0.01,-0.0159,0.63,0.59,0.63,-5285210.0,0.87,0.59,0.6,0.58,0.64,0.68,0.65,0.67,0.68,0.7,0.65,0.66,0.68,0.72,DOWNTREND,SIDEWAYS,SIDEWAYS,38.830999999999996,-0.0102,0.0396,NEUTRAL,-132.4461,33.3333,-62.5,2830600.0,2935466.67,2500800.0,1754510.0,1842730.67,1581329.5,Hanging Man,Tweezer Tops,None,-0.2152,-0.0746,-0.0159,-7018170.0,-14080770.0,-13702160.0,-52849620.0,-153562730.0,0.02,-0.6,31.0,0.0,0.71,0.0,2019-12-23
9,277,0.72,0.01,0.0141,0.72,0.7,0.72,710.0,0.95,0.52,0.7,0.66,0.74,0.8,0.7,0.73,0.72,0.72,0.7,0.71,0.72,0.76,UPTREND,DOWNTREND,SIDEWAYS,57.4251,-0.0061,0.0248,LOW,225.1656,80.5556,0.0,602000.0,736733.33,716050.0,420440.0,510864.67,494989.0,Dragonfly Doji,None,None,-0.0886,0.0286,0.0286,710.0,-728560.0,-2629210.0,27580810.0,-99109890.0,0.01,-0.8333,72.0,0.0,0.84,0.0,2019-09-24
10,282,0.67,0.0,0.0,0.66,0.66,0.67,295680.0,0.87,0.59,0.66,0.64,0.68,0.72,0.68,0.68,0.71,0.71,0.68,0.68,0.69,0.73,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.0194,-0.0014,0.0217,LOW,-135.6932,44.4444,-66.6667,883800.0,816733.33,1113000.0,592900.0,549177.33,747269.5,White Marubozu,None,None,-0.1519,-0.0147,-0.0147,318120.0,57190.0,-32538630.0,-38984560.0,-143906960.0,0.02,-0.6,33.5,0.0,0.77,0.0,2019-11-29
11,277,0.69,-0.01,-0.0143,0.7,0.69,0.7,0.0,0.95,0.52,0.68,0.66,0.7,0.74,0.69,0.73,0.71,0.72,0.7,0.71,0.72,0.76,UPTREND,DOWNTREND,SIDEWAYS,44.1953,-0.0112,0.027999999999999997,LOW,19.6078,55.5556,-60.0,813900.0,893800.0,1054700.0,560990.0,612038.67,719896.5,Black Marubozu,Tweezer Tops,None,-0.1266,-0.0143,-0.0143,0.0,-2273780.0,-1502180.0,35804450.0,-93850440.0,0.01,-0.8333,69.0,0.0,0.8,0.0,2019-09-16
12,279,0.68,0.0,0.0,0.68,0.67,0.68,-187340.0,0.87,0.52,0.67,0.64,0.7,0.74,0.69,0.7,0.72,0.72,0.68,0.7,0.71,0.75,DOWNTREND,SIDEWAYS,SIDEWAYS,45.8612,-0.006999999999999999,0.0236,LOW,-52.3256,37.7778,-60.0,1102600.0,1015466.67,959150.0,745594.0,688868.0,655409.5,Dragonfly Doji,None,None,-0.1392,0.0,0.0,-2599200.0,-6418500.0,-6417790.0,448230.0,-110554880.0,0.01,-0.8333,68.0,0.0,0.79,0.0,2019-10-16
13,277,0.68,0.01,0.0149,0.69,0.67,0.69,-904560.0,0.95,0.52,0.66,0.64,0.7,0.76,0.72,0.75,0.71,0.71,0.71,0.73,0.73,0.77,DOWNTREND,DOWNTREND,UPTREND,36.3951,-0.0157,0.0322,NEUTRAL,-104.1056,0.0,-77.7778,2084200.0,1609400.0,2038550.0,1446714.0,1125619.33,1451173.5,None,None,None,-0.1392,-0.0423,0.0303,-2031100.0,-1481980.0,12030230.0,42706320.0,-84744770.0,0.01,-0.8333,68.0,0.0,0.79,0.0,2019-08-28
14,277,0.68,-0.01,-0.0145,0.68,0.68,0.71,0.0,0.95,0.52,0.67,0.65,0.72,0.75,0.7,0.72,0.72,0.72,0.7,0.71,0.72,0.76,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.6132,-0.0045,0.0299,LOW,-102.5641,25.0,-100.0,555700.0,692933.33,684800.0,389034.0,481230.67,475012.0,Gravestone Doji,Tweezer Bottoms,None,-0.1392,-0.0286,-0.0145,105710.0,105710.0,-2709860.0,24826820.0,-102370310.0,0.01,-0.8333,68.0,0.0,0.79,0.0,2019-09-30
15,282,0.64,0.0,0.0,0.64,0.63,0.64,-235160.0,0.87,0.6,0.6,0.58,0.67,0.72,0.67,0.67,0.69,0.7,0.67,0.68,0.69,0.72,DOWNTREND,SIDEWAYS,SIDEWAYS,34.7454,-0.0045,0.0229,LOW,-239.1858,20.5556,-80.0,2183300.0,1721933.33,1462650.0,1413339.0,1121498.67,956935.0,Dragonfly Doji,Tweezer Bottoms,None,-0.1899,-0.0448,-0.0303,-5008570.0,-4496160.0,-28604250.0,-43671710.0,-147133270.0,0.02,-0.6,32.0,0.0,0.74,0.0,2019-12-10
16,277,0.69,0.01,0.0147,0.69,0.69,0.7,0.0,0.95,0.52,0.66,0.64,0.7,0.75,0.71,0.75,0.71,0.71,0.71,0.73,0.73,0.77,DOWNTREND,DOWNTREND,UPTREND,40.5049,-0.0166,0.0315,NEUTRAL,-57.6497,22.2222,-66.6667,1792900.0,1587733.33,1834600.0,1231348.0,1108946.67,1299093.5,Gravestone Doji,None,None,-0.1266,-0.0282,0.0455,-2031100.0,-1615230.0,11681000.0,42719500.0,-85109520.0,0.01,-0.8333,69.0,0.0,0.8,0.0,2019-08-29
17,279,0.67,0.0,0.0,0.67,0.66,0.68,-416500.0,0.87,0.52,0.66,0.64,0.68,0.71,0.68,0.69,0.72,0.71,0.68,0.69,0.7,0.74,SIDEWAYS,SIDEWAYS,DOWNTREND,43.437,-0.0035,0.0225,LOW,-121.2121,33.3333,-66.6667,4816200.0,3825800.0,3126500.0,3257288.0,2589109.33,2116113.5,Doji,None,None,-0.1519,-0.0147,-0.0147,-22579860.0,-32811300.0,-39042460.0,-41671670.0,-145675330.0,0.01,-0.8333,67.0,0.0,0.78,0.0,2019-11-06
18,282,0.65,0.0,0.0,0.66,0.64,0.66,-32250.0,0.87,0.6,0.64,0.62,0.66,0.69,0.67,0.67,0.69,0.7,0.66,0.67,0.69,0.72,DOWNTREND,SIDEWAYS,SIDEWAYS,41.1571,-0.0057,0.0227,LOW,-100.8772,33.3333,-60.0,2596100.0,1900066.67,1673050.0,1676095.0,1231444.0,1090845.5,None,None,None,-0.1772,-0.0299,-0.0152,-7842710.0,-6698120.0,-27857200.0,-46000800.0,-148667720.0,0.02,-0.6,32.5,0.0,0.75,0.0,2019-12-12
19,277,0.68,-0.01,-0.0145,0.69,0.68,0.71,-729270.0,0.95,0.52,0.66,0.64,0.71,0.75,0.71,0.74,0.71,0.71,0.7,0.72,0.72,0.77,DOWNTREND,DOWNTREND,UPTREND,38.3636,-0.0167,0.0306,NEUTRAL,-52.8587,34.2593,-75.0,1276000.0,1561733.33,1336250.0,864239.0,1084051.33,933896.0,Shooting Star,None,None,-0.1392,-0.0286,-0.0286,-729270.0,-2818590.0,6866020.0,39489200.0,-85104570.0,0.01,-0.8333,68.0,0.0,0.79,0.0,2019-09-04
20,277,0.7,0.0,0.0,0.7,0.69,0.7,0.0,0.95,0.52,0.68,0.66,0.71,0.74,0.7,0.74,0.71,0.71,0.7,0.72,0.72,0.77,DOWNTREND,DOWNTREND,SIDEWAYS,46.4638,-0.0149,0.0275,LOW,-14.8148,63.4921,-33.3333,857000.0,1083800.0,1308650.0,585246.0,737987.33,910269.5,Dragonfly Doji,None,None,-0.1139,0.0,0.0,-729270.0,-2815570.0,5229780.0,39201190.0,-89250530.0,0.01,-0.8333,70.0,0.0,0.81,0.0,2019-09-09
21,279,0.67,0.0,0.0,0.68,0.67,0.68,-1452890.0,0.87,0.52,0.66,0.64,0.68,0.72,0.68,0.69,0.72,0.72,0.68,0.69,0.71,0.75,DOWNTREND,SIDEWAYS,SIDEWAYS,41.1541,-0.0069,0.0227,LOW,-62.5,31.1111,-66.6667,912600.0,1140000.0,1033650.0,617859.0,772566.0,704922.0,Black Marubozu,Bearish Engulfing,None,-0.1519,-0.0147,-0.0147,-3315780.0,-8004530.0,-7898820.0,-2177530.0,-112265920.0,0.01,-0.8333,67.0,0.0,0.78,0.0,2019-10-18
22,277,0.7,0.01,0.0145,0.71,0.69,0.71,0.0,0.95,0.52,0.68,0.66,0.71,0.74,0.69,0.73,0.71,0.72,0.7,0.71,0.72,0.76,UPTREND,DOWNTREND,SIDEWAYS,48.4204,-0.0104,0.0277,LOW,87.8939,50.0,-50.0,790400.0,744933.33,1014200.0,544722.0,512268.67,691377.5,None,None,None,-0.1139,0.0,0.0,0.0,-1633830.0,-1824050.0,34751400.0,-94184350.0,0.01,-0.8333,70.0,0.0,0.81,0.0,2019-09-17
23,276,0.7,-0.03,-0.0411,0.73,0.68,0.73,14000.0,1.03,0.52,0.69,0.66,0.74,0.8,0.75,0.75,0.71,0.72,0.74,0.74,0.74,0.78,DOWNTREND,SIDEWAYS,UPTREND,34.2592,-0.0052,0.0346,NEUTRAL,-134.5203,29.1667,-75.0,1637700.0,2840866.67,2723700.0,1184935.0,2090009.33,2035933.5,None,None,None,-0.1139,-0.0141,-0.0411,228960.0,8045350.0,27536680.0,45436400.0,-27585950.0,0.01,-0.8333,70.0,0.0,0.81,0.0,2019-08-15
24,280,0.67,-0.01,-0.0147,0.68,0.67,0.68,0.0,0.87,0.55,0.66,0.64,0.68,0.71,0.68,0.68,0.71,0.71,0.68,0.69,0.7,0.74,SIDEWAYS,SIDEWAYS,DOWNTREND,44.11600000000001,-0.0034,0.021,LOW,-51.2821,55.5556,-66.6667,3969700.0,3409000.0,3018000.0,2681476.0,2304839.33,2041817.5,Black Marubozu,None,None,-0.1519,-0.0147,0.0,0.0,-28709100.0,-39147460.0,-41857320.0,-141886070.0,0.01,-0.8333,67.0,0.0,0.78,0.0,2019-11-13
25,277,0.7,0.0,0.0,0.69,0.68,0.7,0.0,0.95,0.52,0.68,0.66,0.71,0.74,0.69,0.74,0.71,0.72,0.7,0.71,0.72,0.76,UPTREND,DOWNTREND,SIDEWAYS,47.8337,-0.0119,0.0286,LOW,14.0845,64.4444,-40.0,819500.0,1119000.0,1292400.0,565113.0,761658.0,887513.5,None,None,None,-0.1139,0.0,0.0,0.0,-2760340.0,272880.0,37294680.0,-93276740.0,0.01,-0.8333,70.0,0.0,0.81,0.0,2019-09-13
26,280,0.68,0.01,0.0149,0.66,0.66,0.68,9240.0,0.87,0.58,0.66,0.64,0.69,0.72,0.68,0.68,0.71,0.71,0.68,0.68,0.69,0.73,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.94,-0.0016,0.0218,LOW,-37.6812,55.5556,-33.3333,742000.0,739533.33,2509750.0,500531.0,498281.33,1694599.5,White Marubozu,None,Three White Soldiers,-0.1392,0.0,0.0,-117890.0,-668190.0,-34704150.0,-40022710.0,-144215840.0,0.02,-0.6,34.0,0.0,0.78,0.0,2019-11-26
27,282,0.64,-0.02,-0.0303,0.64,0.59,0.64,-75780.0,0.87,0.59,0.62,0.6,0.66,0.68,0.66,0.67,0.69,0.7,0.66,0.67,0.68,0.72,DOWNTREND,SIDEWAYS,SIDEWAYS,38.5202,-0.0066,0.0312,NEUTRAL,-215.6863,51.8519,-44.4444,2433300.0,2052733.33,1739350.0,1560153.0,1326001.33,1128955.5,Dragonfly Doji,None,None,-0.1899,-0.0448,-0.0154,-2129810.0,-6508080.0,-7176270.0,-45801520.0,-148201750.0,0.02,-0.6,32.0,0.0,0.74,0.0,2019-12-17
