,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,280,5.7,0.06,0.0106,5.65,5.64,5.73,0.0,8.7,3.7,5.6,5.3,5.72,6.12,5.74,5.76,6.0,6.27,5.73,5.82,5.98,6.32,DOWNTREND,SIDEWAYS,DOWNTREND,47.1751,-0.0281,0.028999999999999998,LOW,-67.9262,13.6546,-81.9277,51040.0,48406.67,49765.0,288200.9,274576.0,283315.35,None,None,None,0.0556,-0.024,0.0088,0.0,4656.0,-404066.0,-821773.0,19721900.0,0.3,0.1111,19.0,0.0,2.05,0.0,2019-10-22
1,283,5.47,-0.03,-0.0055,5.16,5.16,5.49,0.0,7.58,4.9,5.24,4.93,5.5,5.72,5.4,5.58,5.75,6.2,5.43,5.55,5.74,6.1,DOWNTREND,DOWNTREND,SIDEWAYS,50.5836,-0.0677,0.0437,NEUTRAL,6.6642,92.1875,-10.9375,47670.0,39246.67,35995.0,245865.5,204145.13,188824.4,White Long Day,None,None,0.013000000000000001,-0.0055,-0.0055,-41040.0,-38365.0,-38365.0,-442431.0,18197468.0,0.31,0.0333,17.65,0.0,1.91,0.0,2019-12-03
2,281,5.24,-0.1,-0.0187,5.34,5.24,5.34,0.0,7.58,3.91,5.22,4.65,5.52,5.71,5.49,5.66,5.83,6.22,5.48,5.62,5.81,6.17,DOWNTREND,DOWNTREND,SIDEWAYS,35.0264,-0.0772,0.0314,NEUTRAL,-186.4728,24.2424,-90.9091,25840.0,22840.0,36545.0,139654.5,123726.47,199680.0,Black Marubozu,Bearish Engulfing,None,-0.0296,-0.0609,-0.0455,2675.0,2675.0,2675.0,-403077.0,20207965.0,0.31,0.0333,16.9,0.0,1.83,0.0,2019-11-20
3,283,5.54,0.04,0.0073,5.5,5.45,5.56,0.0,7.58,4.9,5.32,4.93,5.55,5.72,5.4,5.55,5.72,6.18,5.46,5.55,5.72,6.08,UPTREND,SIDEWAYS,SIDEWAYS,54.0905,-0.0356,0.0434,NEUTRAL,132.9003,98.9899,-3.0303,45900.0,49200.0,43425.0,248513.7,259204.13,229632.65,None,None,None,0.0259,0.0073,0.0073,-53391.0,-94431.0,-91756.0,-587614.0,17412840.0,0.31,0.0333,17.87,0.0,1.94,0.0,2019-12-09
4,278,5.75,0.13,0.0231,5.63,5.61,5.75,-1686.0,8.7,3.7,5.61,5.41,5.8,6.06,5.77,6.04,6.34,6.15,5.79,5.99,6.18,6.54,DOWNTREND,DOWNTREND,DOWNTREND,45.3164,-0.1024,0.0287,LOW,-56.4243,26.1905,-54.7619,115520.0,96180.0,99390.0,661593.6,552078.0,571393.75,White Long Day,Tweezer Bottoms,None,0.0648,-0.0086,-0.0086,-1686.0,-370739.0,-414587.0,-282600.0,21825014.0,0.3,0.1111,19.17,0.0,2.07,0.0,2019-09-06
5,278,5.79,0.0,0.0,5.71,5.7,5.86,0.0,8.7,3.7,5.68,5.3,5.9,6.1,5.79,5.84,6.12,6.26,5.8,5.89,6.06,6.41,UPTREND,SIDEWAYS,DOWNTREND,49.2828,-0.013999999999999999,0.0323,NEUTRAL,1.5246,24.2938,-69.4915,64060.0,134086.67,121030.0,374652.4,788560.13,707339.2,None,None,None,0.0722,-0.0086,-0.0052,0.0,-408722.0,-750111.0,-786787.0,20473682.0,0.3,0.1111,19.3,0.0,2.08,0.0,2019-10-03
6,283,5.5,0.0,0.0,5.46,5.13,5.5,0.0,7.58,4.9,5.22,4.93,5.52,5.72,5.4,5.59,5.75,6.2,5.43,5.56,5.75,6.11,DOWNTREND,DOWNTREND,SIDEWAYS,51.9665,-0.0759,0.0421,NEUTRAL,5.4781,93.2292,-6.25,44500.0,38366.67,34480.0,228713.4,199448.33,180647.15,Hammer,None,None,0.0185,0.0,0.0,-41040.0,-38365.0,-38365.0,-442431.0,18589133.0,0.31,0.0333,17.74,0.0,1.92,0.0,2019-12-02
7,281,5.25,0.01,0.0019,5.2,4.9,5.25,0.0,7.58,3.91,5.07,3.92,5.52,5.69,5.47,5.65,5.82,6.22,5.46,5.61,5.8,6.16,DOWNTREND,DOWNTREND,SIDEWAYS,35.7174,-0.0819,0.0339,NEUTRAL,-260.751,30.7932,-48.5294,35880.0,31026.67,39300.0,188559.1,164283.8,210768.2,Hammer,None,None,-0.0278,-0.0591,-0.0437,2675.0,2675.0,2675.0,-403077.0,20712901.0,0.31,0.0333,16.94,0.0,1.84,0.0,2019-11-21
8,283,5.6,0.12,0.0219,5.49,5.45,5.6,0.0,7.58,4.9,5.36,4.93,5.64,6.1,5.5,5.5,5.65,6.12,5.49,5.53,5.69,6.03,SIDEWAYS,SIDEWAYS,SIDEWAYS,58.2581,0.0033,0.0402,NEUTRAL,196.6794,87.90700000000001,0.0,80490.0,73193.33,63195.0,437668.9,398507.8,343091.3,White Long Day,None,None,0.037000000000000005,0.0182,0.0219,0.0,-53917.0,-92282.0,-87626.0,15604444.0,0.31,0.0333,18.06,0.0,1.96,0.0,2019-12-23
9,278,5.93,0.03,0.0051,5.9,5.86,5.95,593.0,8.7,3.7,5.76,5.58,6.1,6.5,5.76,5.91,6.19,6.25,5.82,5.92,6.1,6.45,UPTREND,SIDEWAYS,DOWNTREND,54.07899999999999,-0.0349,0.0299,LOW,115.1492,60.0,-41.5385,180360.0,149493.33,144835.0,1062767.2,873173.13,842130.35,None,Tweezer Bottoms,None,0.0981,0.0224,-0.01,-499668.0,-398808.0,-767861.0,-775187.0,20596094.0,0.3,0.1111,19.77,0.0,2.13,0.0,2019-09-24
10,283,5.5,0.01,0.0018,5.46,5.12,5.5,-41040.0,7.58,4.9,4.93,3.92,5.54,5.72,5.41,5.6,5.76,6.2,5.42,5.56,5.75,6.12,DOWNTREND,DOWNTREND,SIDEWAYS,51.9665,-0.0842,0.0402,NEUTRAL,-1.4729,93.2292,-6.25,44500.0,38540.0,35200.0,228554.9,200524.13,184616.0,Hammer,Bullish Engulfing,None,0.0185,-0.0143,0.0516,-41040.0,-38365.0,-38365.0,-444117.0,18658691.0,0.31,0.0333,17.74,0.0,1.92,0.0,2019-11-29
11,278,5.63,-0.15,-0.026000000000000002,5.83,5.63,5.83,0.0,8.7,3.7,5.62,5.3,5.82,6.0,5.75,5.96,6.26,6.2,5.75,5.93,6.13,6.49,DOWNTREND,DOWNTREND,DOWNTREND,41.7001,-0.0847,0.0281,LOW,-48.9209,43.876000000000005,-80.0,92460.0,113193.33,101710.0,525069.3,647608.2,582733.85,Black Marubozu,None,None,0.0426,-0.0293,-0.026000000000000002,91792.0,-249597.0,-325915.0,-190808.0,21332122.0,0.3,0.1111,18.77,0.0,2.03,0.0,2019-09-16
12,280,5.69,-0.06,-0.0104,5.65,5.65,5.74,0.0,8.7,3.7,5.66,5.3,6.06,6.42,5.79,5.78,6.03,6.27,5.76,5.84,6.01,6.35,DOWNTREND,SIDEWAYS,DOWNTREND,45.7321,-0.0187,0.0335,NEUTRAL,-105.0791,16.6667,-88.4615,33800.0,39426.67,61140.0,192577.5,225557.8,355267.55,None,None,None,0.0537,-0.0257,-0.0104,0.0,4656.0,-405752.0,-817399.0,19358908.0,0.3,0.1111,18.97,0.0,2.05,0.0,2019-10-16
13,278,5.75,-0.2,-0.0336,5.95,5.68,5.95,0.0,8.7,3.7,5.65,5.3,5.96,6.42,5.87,6.12,6.41,6.16,5.89,6.08,6.25,6.6,DOWNTREND,DOWNTREND,DOWNTREND,42.0612,-0.114,0.0324,NEUTRAL,-48.2195,63.5642,-54.7619,101990.0,106713.33,122220.0,588819.9,619731.67,717576.4,Black Long Day,None,None,0.0648,-0.0401,-0.0103,-369053.0,-398253.0,-376379.0,22185.0,22737665.0,0.3,0.1111,19.17,0.0,2.07,0.0,2019-08-28
14,278,5.84,0.02,0.0034,5.73,5.67,5.85,0.0,8.7,3.7,5.66,5.3,5.94,6.18,5.77,5.87,6.15,6.26,5.81,5.9,6.08,6.43,UPTREND,SIDEWAYS,DOWNTREND,50.7689,-0.0156,0.0316,NEUTRAL,17.0316,31.8832,-61.0169,158710.0,137146.67,125585.0,939257.0,805498.33,732163.15,None,None,None,0.0815,0.0069,0.0034,-11007.0,-408722.0,-779461.0,-786787.0,20662918.0,0.3,0.1111,19.47,0.0,2.1,0.0,2019-09-30
