,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,282,1.12,0.03,0.0275,1.09,1.09,1.12,4420.0,1.8,0.77,1.06,1.02,1.16,1.2,1.07,1.08,1.15,1.08,1.08,1.09,1.09,1.08,UPTREND,SIDEWAYS,DOWNTREND,59.0254,-0.0053,0.0418,NEUTRAL,139.417,84.8485,0.0,296900.0,271400.0,336750.0,320795.0,290106.0,359604.0,White Marubozu,Bullish Engulfing,None,0.3176,0.0667,0.0182,26120.0,87620.0,-231950.0,-51540.0,-1102480.0,-0.07,0.125,-16.0,0.0,1.9,0.0,2019-10-22
1,285,1.06,0.0,0.0,1.06,1.06,1.06,0.0,1.8,0.8,1.02,0.98,1.08,1.19,1.08,1.08,1.09,1.1,1.07,1.08,1.09,1.08,DOWNTREND,SIDEWAYS,SIDEWAYS,46.5775,-0.006,0.0481,NEUTRAL,-27.1084,27.5613,-68.1818,247700.0,748600.0,581150.0,253887.0,833038.67,645878.5,White Marubozu,Bullish Harami,None,0.2471,0.0192,0.0192,200000.0,156610.0,130790.0,-49380.0,-974130.0,-0.09,-0.5,-11.78,0.0,2.12,0.0,2019-12-03
2,283,1.05,0.0,0.0,1.05,1.02,1.08,0.0,1.8,0.77,1.04,1.0,1.19,1.23,1.1,1.09,1.11,1.1,1.09,1.09,1.09,1.09,DOWNTREND,SIDEWAYS,SIDEWAYS,43.5343,0.0037,0.0502,HIGH,-146.7943,0.0,-84.2105,963100.0,692266.67,556150.0,1088087.0,779552.0,625331.0,Doji,None,None,0.2353,-0.0541,-0.1026,-43390.0,-43390.0,-47510.0,-248170.0,-1174130.0,-0.09,-0.5,-11.67,0.0,2.1,0.0,2019-11-20
3,285,1.05,0.0,0.0,1.05,1.01,1.05,0.0,1.8,0.83,1.02,0.97,1.07,1.19,1.07,1.07,1.09,1.1,1.06,1.08,1.09,1.08,DOWNTREND,SIDEWAYS,SIDEWAYS,44.5932,-0.0083,0.0504,HIGH,-72.113,51.5152,-33.3333,128700.0,278466.67,574550.0,130664.0,289451.33,638396.5,Dragonfly Doji,Bullish Harami,None,0.2353,0.0096,0.0,0.0,200000.0,156610.0,169010.0,-977930.0,-0.09,-0.5,-11.67,0.0,2.1,0.0,2019-12-09
4,280,1.09,0.01,0.0093,1.1,1.05,1.1,0.0,1.8,0.77,1.04,0.97,1.12,1.21,1.07,1.13,1.12,1.04,1.07,1.11,1.11,1.08,DOWNTREND,DOWNTREND,SIDEWAYS,51.2973,-0.0258,0.065,HIGH,17.1878,36.5591,-61.2903,1603800.0,1221466.67,1175950.0,1766479.0,1335862.0,1299307.0,Hanging Man,None,None,0.2824,0.0481,0.0481,40800.0,82810.0,124210.0,243560.0,-937510.0,-0.07,0.125,-15.57,0.0,1.85,0.0,2019-09-06
5,280,1.07,0.02,0.019,1.03,1.03,1.07,0.0,1.8,0.77,1.02,0.97,1.1,1.2,1.1,1.09,1.14,1.06,1.08,1.1,1.1,1.09,DOWNTREND,SIDEWAYS,DOWNTREND,46.7716,-0.0045,0.0586,HIGH,-103.9427,15.3199,-72.2222,436300.0,1150933.33,1194050.0,465890.0,1324660.0,1363502.5,White Marubozu,None,None,0.2588,0.019,-0.0183,62000.0,-201070.0,-251660.0,-361530.0,-1179600.0,-0.07,0.125,-15.29,0.0,1.81,0.0,2019-10-03
6,285,1.06,0.02,0.0192,0.99,0.99,1.07,0.0,1.8,0.8,1.02,0.97,1.08,1.19,1.08,1.08,1.09,1.1,1.07,1.08,1.09,1.08,DOWNTREND,SIDEWAYS,SIDEWAYS,46.5775,-0.0053,0.0518,HIGH,-88.8565,25.2886,-68.1818,402000.0,755600.0,585700.0,418217.0,840555.33,650775.5,White Long Day,None,None,0.2471,0.0192,0.0192,200000.0,156610.0,130790.0,-49380.0,-974130.0,-0.09,-0.5,-11.78,0.0,2.12,0.0,2019-12-02
7,283,1.05,0.0,0.0,1.07,1.02,1.07,0.0,1.8,0.77,1.04,0.97,1.19,1.24,1.09,1.09,1.1,1.1,1.09,1.09,1.09,1.09,DOWNTREND,SIDEWAYS,SIDEWAYS,43.5343,0.0023,0.05,NEUTRAL,-148.8095,0.0,-84.2105,997700.0,706066.67,572900.0,1123309.0,792988.67,642093.5,None,None,None,0.2353,-0.0541,-0.1026,-43390.0,-43390.0,-47510.0,-198380.0,-1174130.0,-0.09,-0.5,-11.67,0.0,2.1,0.0,2019-11-21
8,285,1.02,0.02,0.02,1.03,0.97,1.03,0.0,1.8,0.83,0.98,0.83,1.06,1.15,1.05,1.07,1.08,1.09,1.04,1.06,1.08,1.08,DOWNTREND,SIDEWAYS,SIDEWAYS,42.1411,-0.0127,0.0534,HIGH,-135.2201,36.3636,-54.5455,71800.0,65066.67,107400.0,71608.0,65282.67,108547.0,Hanging Man,None,None,0.2,-0.0192,0.02,0.0,-1000.0,155610.0,264490.0,-1003630.0,-0.09,-0.5,-11.33,0.0,2.04,0.0,2019-12-23
9,280,1.08,0.01,0.0093,1.06,1.06,1.14,22690.0,1.8,0.77,1.06,1.0,1.16,1.22,1.1,1.1,1.13,1.05,1.1,1.11,1.11,1.09,UPTREND,SIDEWAYS,SIDEWAYS,45.9437,0.0039,0.0631,HIGH,-13.8249,22.7235,-84.2105,1652000.0,1464133.33,1771750.0,1921022.0,1682202.0,2011689.0,Inverted Hammer,None,None,0.2706,0.0385,-0.0182,-88220.0,-326870.0,-244060.0,-127740.0,-1253600.0,-0.07,0.125,-15.43,0.0,1.83,0.0,2019-09-24
10,285,1.04,-0.02,-0.0189,1.02,1.0,1.04,200000.0,1.8,0.8,1.02,0.97,1.08,1.19,1.08,1.08,1.09,1.1,1.07,1.08,1.09,1.08,DOWNTREND,SIDEWAYS,SIDEWAYS,42.1373,-0.0043,0.0509,HIGH,-138.3085,23.0159,-80.9524,494400.0,754066.67,593950.0,523054.0,839375.33,660039.0,None,None,None,0.2235,-0.0631,-0.0095,200000.0,156610.0,130790.0,-49380.0,-974130.0,-0.09,-0.5,-11.56,0.0,2.08,0.0,2019-11-29
11,280,1.16,0.0,0.0,1.15,1.11,1.2,-20259.9999,1.8,0.77,1.06,0.97,1.2,1.24,1.07,1.12,1.13,1.05,1.1,1.11,1.11,1.09,UPTREND,DOWNTREND,SIDEWAYS,61.9618,-0.0068,0.0632,HIGH,160.3079,61.2903,-38.7097,1882400.0,2127000.0,1719150.0,2174183.0,2420924.0,1942482.0,None,None,None,0.3647,0.1154,0.0,-238650.0,-237440.0,-114440.0,-598850.0,-1163280.0,-0.07,0.125,-16.57,0.0,1.97,0.0,2019-09-16
12,282,1.1,0.05,0.0476,1.06,1.05,1.12,-33300.0,1.8,0.77,1.02,0.97,1.11,1.2,1.06,1.08,1.15,1.07,1.07,1.08,1.09,1.08,DOWNTREND,SIDEWAYS,DOWNTREND,56.1242,-0.0118,0.0465,NEUTRAL,77.4258,55.7576,-18.1818,236400.0,323533.33,361400.0,249134.0,342232.0,384829.5,None,None,None,0.2941,0.0476,0.0577,-33300.0,80800.0,-235170.0,-225840.0,-1161900.0,-0.07,0.125,-15.71,0.0,1.86,0.0,2019-10-16
13,280,1.06,0.06,0.06,1.01,0.97,1.28,-49790.0,1.8,0.77,0.97,0.9,1.17,1.21,1.08,1.16,1.12,1.04,1.08,1.12,1.11,1.08,DOWNTREND,DOWNTREND,SIDEWAYS,45.9824,-0.0346,0.0757,HIGH,34.1958,0.0,-70.9677,1384400.0,1228866.67,987300.0,1532610.0,1372636.0,1101959.0,None,None,None,0.2471,-0.0364,0.0928,-49790.0,73210.0,76340.0,-177960.0,-971000.0,-0.07,0.125,-15.14,0.0,1.8,0.0,2019-08-28
