,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,284,0.97,0.0,0.0,0.97,0.97,0.97,0.0,1.03,0.9,0.96,0.9,0.98,1.03,0.99,0.99,0.99,0.0,0.98,0.99,1.0,0.0,DOWNTREND,SIDEWAYS,SIDEWAYS,46.1018,-0.0062,0.0173,LOW,-67.2515,33.1349,-66.6667,145268.0,99878.67,89218.0,141154.02,97128.77,87422.58,White Marubozu,Bullish Harami,Three White Soldiers,-0.0396,-0.0396,-0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,287,0.96,0.0,0.0,0.96,0.96,0.96,0.0,1.03,0.9,0.92,0.8,0.98,1.01,0.96,0.98,0.99,0.0,0.96,0.97,0.98,0.0,DOWNTREND,SIDEWAYS,SIDEWAYS,48.8107,-0.0101,0.0129,LOW,1.2012,0.0,-33.3333,29660.0,26680.0,37025.0,28218.6,25500.73,35667.4,White Marubozu,Bullish Harami,Three White Soldiers,-0.0495,0.0,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,285,0.96,0.01,0.0105,0.96,0.96,0.96,0.0,1.03,0.9,0.95,0.9,0.98,1.01,0.97,0.99,0.99,0.0,0.97,0.98,0.99,0.0,DOWNTREND,SIDEWAYS,SIDEWAYS,45.1186,-0.0084,0.0112,LOW,-56.5749,0.0,-66.6667,25450.0,39653.33,82534.0,24482.1,38377.2,79947.81,White Marubozu,Bullish Harami,None,-0.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,287,0.96,0.0,0.0,0.96,0.96,0.96,0.0,1.03,0.9,0.92,0.8,0.98,1.01,0.96,0.98,0.99,0.0,0.96,0.97,0.98,0.0,DOWNTREND,SIDEWAYS,SIDEWAYS,48.8107,-0.0101,0.0129,LOW,1.2012,0.0,-33.3333,29660.0,26680.0,37025.0,28218.6,25500.73,35667.4,White Marubozu,Bullish Harami,Three White Soldiers,-0.0495,0.0,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,282,0.98,-0.04,-0.0392,0.98,0.98,0.98,0.0,1.03,0.8,0.97,0.9,1.03,1.06,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,UPTREND,SIDEWAYS,SIDEWAYS,41.5906,0.0036,0.0103,LOW,-137.3802,58.3333,-100.0,42350.0,98725.33,90672.0,42998.64,99131.49,90945.17,White Marubozu,None,Three White Soldiers,-0.0297,-0.0392,-0.0392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,282,0.98,0.0,0.0,0.98,0.96,0.98,0.0,1.03,0.9,0.96,0.9,1.01,1.05,1.0,1.0,1.0,0.0,0.99,1.0,1.0,0.0,DOWNTREND,SIDEWAYS,SIDEWAYS,46.0186,-0.0012,0.017,LOW,-128.3644,29.1667,-62.5,115098.0,95810.67,129128.0,112028.46,94100.31,127890.0,Dragonfly Doji,Bullish Harami,None,-0.0297,-0.0297,-0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,287,0.96,0.0,0.0,0.96,0.96,0.96,0.0,1.03,0.9,0.92,0.8,0.98,1.01,0.96,0.98,0.99,0.0,0.96,0.97,0.98,0.0,DOWNTREND,SIDEWAYS,SIDEWAYS,48.8107,-0.0101,0.0129,LOW,1.2012,0.0,-33.3333,29660.0,26680.0,37025.0,28218.6,25500.73,35667.4,White Marubozu,Bullish Harami,Three White Soldiers,-0.0495,0.0,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,285,0.94,-0.02,-0.0208,0.95,0.94,0.95,0.0,1.03,0.9,0.9,0.8,0.96,1.01,0.97,0.98,0.99,0.0,0.97,0.98,0.99,0.0,DOWNTREND,SIDEWAYS,SIDEWAYS,38.7459,-0.0087,0.0121,LOW,-171.6567,0.0,-100.0,28700.0,39880.0,75025.0,27456.5,38482.0,72594.35,Black Marubozu,None,None,-0.0693,-0.0208,-0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,287,0.96,0.01,0.0105,0.96,0.96,0.96,0.0,1.03,0.9,0.92,0.8,0.98,1.01,0.95,0.98,0.98,0.0,0.95,0.97,0.98,0.0,DOWNTREND,SIDEWAYS,SIDEWAYS,50.7974,-0.0108,0.0148,LOW,34.07,0.0,0.0,19920.0,24413.33,22985.0,18769.0,23176.13,21917.8,White Marubozu,None,Three White Soldiers,-0.0495,0.0,0.0435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,282,1.01,0.03,0.0306,1.01,1.01,1.01,0.0,1.03,0.9,0.98,0.9,1.03,1.06,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.3085,0.0016,0.0126,LOW,49.271,0.0,-40.0,37668.0,102085.33,79319.0,38256.14,102547.19,79640.69,White Marubozu,None,None,0.0,-0.0098,0.0306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
