,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,285,8.74,0.1,0.0116,8.74,8.49,8.83,-409891.0,39.0,7.82,8.56,7.92,9.1,10.18,8.8,10.19,14.83,22.1,9.05,10.83,14.53,20.46,DOWNTREND,DOWNTREND,DOWNTREND,41.1994,-0.6599,0.0595,HIGH,-28.5138,58.5366,-43.9024,582980.0,573813.33,714235.0,5184317.4,5063393.4,6417395.1,Doji,None,None,-0.7176,0.0046,-0.0246,-2096085.0,-3190105.0,-5468110.0,-4803910.0,-305644824.0,0.01,0.0,874.0,0.0,437.0,0.0,2019-10-22
1,288,5.02,0.09,0.0183,4.93,4.75,5.1,20910.0,35.0,4.74,4.84,4.84,5.43,8.24,6.51,7.82,10.55,18.63,6.25,7.96,11.15,17.06,DOWNTREND,DOWNTREND,DOWNTREND,23.4771,-0.8368,0.0874,HIGH,-96.6594,5.0533,-91.5152,775680.0,864200.0,778235.0,4385220.5,5457805.53,5136115.3,None,None,None,-0.8378,-0.0118,-0.0118,44361.0,-955095.0,-4283121.0,-9319834.0,-309472516.0,0.01,0.0,502.0,0.0,251.0,0.0,2019-12-03
2,286,6.5,0.2,0.0317,6.36,6.1,6.54,-122819.0,37.85,6.1,6.2,6.2,7.97,8.8,7.86,8.77,11.67,19.76,7.75,9.13,12.31,18.17,DOWNTREND,DOWNTREND,DOWNTREND,27.2627,-0.4635,0.0676,HIGH,-230.9434,7.3663,-85.7143,800340.0,828120.0,715020.0,5825091.0,6338662.13,5530362.2,None,None,None,-0.79,-0.2529,-0.1071,-566663.0,-2195729.0,-7561894.0,-9369360.0,-311517442.5,0.01,0.0,650.0,0.0,325.0,0.0,2019-11-20
3,288,5.0,0.0,0.0,5.28,4.54,5.28,45912.0,33.0,4.54,4.68,4.68,5.24,8.2,5.92,7.43,10.06,18.13,5.84,7.52,10.68,16.59,DOWNTREND,DOWNTREND,DOWNTREND,27.4989,-0.8596,0.09,HIGH,-73.8665,14.8662,-78.7037,637740.0,796106.67,815115.0,3260535.0,4432908.27,4976939.2,Hanging Man,None,None,-0.8384,-0.0157,0.0,-1820974.0,-1623142.0,-4045381.0,-11692230.0,-308870300.0,0.01,0.0,500.0,0.0,250.0,0.0,2019-12-09
4,283,12.32,1.22,0.1099,11.4,11.4,13.7,-18836.0,40.0,9.8,10.12,10.0,13.01,14.35,11.65,14.91,20.63,26.03,11.95,15.03,19.17,24.62,DOWNTREND,DOWNTREND,DOWNTREND,47.301,-1.5604,0.0802,HIGH,51.5323,43.583,-35.3846,1293170.0,946680.0,777340.0,15600766.8,11396006.93,9428223.4,None,None,None,-0.6019,0.1514,0.1514,159566.0,161530.0,935394.0,-16504441.0,-303495017.5,0.01,0.0,1232.0,0.0,616.0,0.0,2019-09-06
5,283,8.7,-0.34,-0.0376,9.15,8.4,9.28,14776.0,39.0,8.23,8.38,8.38,9.6,13.01,10.25,11.99,17.16,23.61,10.02,12.33,16.28,22.1,DOWNTREND,DOWNTREND,DOWNTREND,32.0072,-0.8743,0.08,HIGH,-129.6763,18.6647,-82.2642,892660.0,911713.33,1479195.0,8347973.0,8885789.2,16338870.5,None,None,None,-0.7189,0.0,-0.0543,563265.0,-3001006.0,-1874294.0,-4735144.0,-316251322.5,0.01,0.0,870.0,0.0,435.0,0.0,2019-10-03
6,288,4.93,-0.15,-0.0295,5.1,4.74,5.23,24134.0,35.0,4.74,4.84,4.84,5.51,8.51,6.69,7.93,10.68,18.76,6.38,8.08,11.28,17.18,DOWNTREND,DOWNTREND,DOWNTREND,21.3674,-0.8128,0.0904,HIGH,-105.3511,3.1481,-94.8087,867710.0,869186.67,781790.0,5009111.6,5542418.4,5205278.75,None,None,None,-0.8407,-0.0295,-0.0295,602811.0,-895583.0,-4814323.0,-9190280.0,-309493426.0,0.01,0.0,493.0,0.0,246.5,0.0,2019-12-02
7,286,5.7,-0.8,-0.1231,6.59,5.7,6.7,-238286.0,37.4,5.7,5.7,5.7,7.64,8.8,7.71,8.65,11.53,19.64,7.56,9.0,12.18,18.05,DOWNTREND,DOWNTREND,DOWNTREND,22.0149,-0.5065,0.0841,HIGH,-206.3291,5.9965,-100.0,953450.0,946580.0,805450.0,6637196.0,7012562.8,6042732.0,Black Long Day,Bearish Engulfing,None,-0.8158,-0.3448,-0.217,-750894.0,-2349156.0,-7847150.0,-9570218.0,-311755728.5,0.01,0.0,570.0,0.0,285.0,0.0,2019-11-21
8,288,4.0,0.18,0.0471,3.82,3.82,4.05,-116180.0,31.9,3.66,3.74,3.74,4.2,5.51,4.61,6.55,8.77,16.85,4.72,6.4,9.49,15.4,DOWNTREND,DOWNTREND,DOWNTREND,25.4412,-0.8166,0.0948,HIGH,-93.26899999999999,10.5848,-80.2326,259530.0,390653.33,448635.0,1086135.6,1817590.93,2173335.3,White Long Day,Bullish Engulfing,None,-0.8708,-0.2126,0.0471,6740.0,-1535339.0,-2430922.0,-8619584.0,-302176765.0,0.01,0.0,400.0,0.0,200.0,0.0,2019-12-23
9,283,10.4,-0.1,-0.0095,10.58,10.3,10.58,-240114.0,39.0,9.8,10.21,10.0,10.73,13.01,10.76,13.14,18.46,24.47,11.01,13.37,17.36,23.05,DOWNTREND,DOWNTREND,DOWNTREND,38.4884,-0.8979,0.0705,HIGH,-55.3324,8.7822,-90.6593,1011050.0,1553460.0,1284145.0,10834042.6,18101970.53,14893182.5,None,None,None,-0.664,-0.027999999999999997,0.0176,-2829726.0,-2303314.0,-2076080.0,-14825198.0,-320981379.5,0.01,0.0,1040.0,0.0,520.0,0.0,2019-09-24
