,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,286,1120.0,5.0,0.0045,1115.0,1106.0,1138.0,-15599245.0,1435.0,1015.0,1103.0,1067.5,1129.0,1173.0,1111.6,1136.4,1175.65,1184.21,1116.52,1135.4,1159.11,1196.41,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.6041,-10.638,0.0205,LOW,63.8353,48.0769,-42.3077,67339.5,66164.0,65617.5,74812030.5,73323644.33,73019432.5,None,None,None,-0.0044,-0.0106,0.009000000000000001,-39704420.0,-242680400.0,-320306495.0,-1001580315.0,-1381886770.0,89.47,1.2514,12.52,0.0,2.13,0.0,2019-10-22
1,289,1085.0,21.0,0.0197,1066.0,1066.0,1095.0,-1885150.0,1386.0,1015.0,1063.0,1022.5,1096.0,1139.5,1099.0,1105.34,1131.13,1164.51,1095.09,1109.92,1132.95,1172.22,DOWNTREND,SIDEWAYS,SIDEWAYS,45.3569,-6.018,0.0203,LOW,-131.4939,0.0,-57.4074,92038.0,87595.33,82490.25,100723124.5,96086620.33,90703342.0,White Long Day,Bullish Harami,None,-0.0356,0.0093,0.0093,-86156415.0,-239491275.0,-413007670.0,-648482585.0,-1191112540.0,86.08,1.4099,12.6,0.0,2.14,0.0,2019-12-03
2,287,1100.0,-12.0,-0.0108,1104.0,1099.0,1109.0,-26151125.0,1386.0,1015.0,1095.0,1022.5,1113.0,1173.0,1106.0,1119.92,1144.8,1174.4,1107.24,1119.2,1141.6,1180.03,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.3429,-3.7455,0.0163,LOW,-51.7007,27.005,-82.1429,69709.5,78424.67,86517.5,77003788.5,86985855.67,95797592.5,Spinning Top,None,None,-0.0222,0.0,-0.0036,-78319620.0,-167818400.0,-342676555.0,-715843350.0,-1185349630.0,86.08,1.4099,12.78,0.0,2.17,0.0,2019-11-20
3,289,1035.0,-17.0,-0.0162,1057.0,1022.0,1057.0,-64751645.0,1386.0,1015.0,1028.5,1022.5,1090.0,1139.5,1086.7,1099.96,1124.68,1161.56,1079.88,1101.02,1126.57,1167.44,DOWNTREND,SIDEWAYS,SIDEWAYS,34.7907,-10.334000000000001,0.0253,LOW,-219.5454,10.7503,-86.1702,104728.5,92644.33,88284.5,112754154.5,100298806.0,95948797.0,None,Bearish Engulfing,None,-0.08,-0.0372,-0.0162,-91121940.0,-272541885.0,-424117805.0,-902461575.0,-1132986105.0,86.08,1.4099,12.02,0.0,2.04,0.0,2019-12-09
4,284,1144.0,4.0,0.0035,1150.0,1140.0,1154.0,12405215.0,1448.0,1015.0,1133.0,1085.0,1174.0,1233.5,1143.2,1174.82,1209.9,1191.86,1145.6,1167.41,1187.86,1221.75,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.6456,-9.7879,0.0303,NEUTRAL,12.2216,51.2128,-42.5532,124909.0,135495.0,162039.25,141785965.5,153487920.67,184923692.0,None,None,None,0.0169,-0.0297,-0.0297,-124164100.0,-359423920.0,-852983325.0,-1138652520.0,-1660063725.0,89.47,1.2514,12.79,0.0,2.17,0.0,2019-09-06
5,284,1100.0,-20.0,-0.0179,1110.0,1090.0,1110.0,-74782450.0,1448.0,1015.0,1095.0,1027.5,1140.5,1204.5,1148.2,1144.28,1197.71,1187.21,1136.38,1154.22,1174.47,1208.81,DOWNTREND,SIDEWAYS,DOWNTREND,37.6862,-7.6635,0.0234,LOW,-124.8562,18.2684,-90.9091,95155.5,82497.33,80361.0,107325731.0,93969060.67,92213677.5,None,None,None,-0.0222,-0.0283,-0.024,-52610560.0,-236522050.0,-309078395.0,-1117792605.0,-1495832290.0,89.47,1.2514,12.29,0.0,2.09,0.0,2019-10-03
6,289,1064.0,-11.0,-0.0102,1100.0,1062.0,1100.0,-34884685.0,1386.0,1015.0,1063.0,1030.5,1108.0,1145.5,1101.4,1105.88,1132.26,1165.28,1096.15,1110.93,1133.92,1173.1,DOWNTREND,SIDEWAYS,SIDEWAYS,37.0335,-5.3696,0.02,LOW,-200.5623,0.0,-96.2963,95379.5,88654.67,90098.0,104520746.5,97313421.0,99404328.5,Black Long Day,None,None,-0.0542,-0.0102,-0.0102,-92909550.0,-248118755.0,-413697590.0,-618678830.0,-1208366420.0,86.08,1.4099,12.36,0.0,2.1,0.0,2019-12-02
7,287,1098.0,-2.0,-0.0018,1100.0,1085.0,1107.0,-28500355.0,1386.0,1015.0,1091.5,1022.5,1113.0,1168.0,1105.3,1117.94,1142.88,1172.97,1106.36,1118.37,1140.74,1179.21,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.4542,-3.7378,0.0166,LOW,-107.9838,26.5065,-78.6885,66122.0,77734.33,87743.5,72910290.0,86246812.67,97068038.5,None,None,None,-0.024,-0.0018,-0.0054,-83611260.0,-181343585.0,-344510980.0,-699079835.0,-1171335415.0,86.08,1.4099,12.76,0.0,2.16,0.0,2019-11-21
8,289,1020.0,20.0,0.02,1000.0,999.5,1020.0,8072950.0,1386.0,978.5,986.5,984.25,1026.5,1108.0,1035.28,1078.31,1109.03,1157.61,1030.35,1068.01,1103.76,1151.56,DOWNTREND,DOWNTREND,SIDEWAYS,42.1055,-25.2618,0.0213,LOW,-44.6596,23.0678,-64.3777,146584.0,126780.67,125656.25,146616784.75,128362831.5,129685469.63,White Long Day,None,None,-0.0933,-0.0512,0.02,-139642227.5,-609904760.0,-858023515.0,-1234559250.0,-1759399020.0,86.08,1.4099,11.85,0.0,2.01,0.0,2019-12-23
9,284,1108.0,-4.0,-0.0036,1105.0,1105.0,1120.0,-44520215.0,1448.0,1015.0,1106.5,1067.5,1173.0,1233.5,1156.55,1154.88,1205.71,1189.36,1153.43,1165.27,1182.63,1215.23,UPTREND,SIDEWAYS,DOWNTREND,38.4234,0.8671,0.0259,LOW,-158.5663,0.0,-97.0,89987.0,89831.33,97904.25,104212640.5,103932781.33,112683030.25,Inverted Hammer,None,None,-0.0151,-0.0602,-0.034,-201851295.0,-81963875.0,-320511190.0,-1025434785.0,-1470844775.0,89.47,1.2514,12.38,0.0,2.1,0.0,2019-09-24
