,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,288,220.0,2.6,0.012,217.0,216.2,220.0,0.0,289.6,216.2,216.8,216.2,224.2,231.5,223.33,235.48,250.48,260.78,224.34,234.03,245.18,255.72,DOWNTREND,DOWNTREND,DOWNTREND,43.0377,-4.5641,0.0254,LOW,-102.3652,0.0,-74.3243,824.0,1396.0,1835.5,182022.6,311335.73,409061.6,White Long Day,Bullish Engulfing,None,-0.1193,-0.0222,-0.0187,41482.0,1082796.0,-448742.0,-7771514.0,-28704138.0,26.96,0.0771,8.16,0.0,0.55,0.0,2019-10-22
1,291,219.0,0.0,0.0,213.2,212.4,219.0,-12780.0,289.6,205.0,214.5,209.1,220.0,227.0,221.32,222.95,238.5,255.84,220.24,225.55,235.62,248.04,DOWNTREND,SIDEWAYS,DOWNTREND,47.053999999999995,-1.8486,0.0249,LOW,-53.9088,64.6465,-33.3333,1229.0,1161.33,947.0,262177.8,250588.53,205119.2,White Long Day,None,Three White Soldiers,-0.1233,0.0,0.0,38506.0,-705000.0,-628830.0,-1225176.0,-27397268.0,27.97,0.1852,7.83,0.0,0.54,0.0,2019-12-03
2,289,215.0,-10.0,-0.0444,217.0,215.0,217.0,-262424.0,289.6,215.0,215.0,215.0,225.5,237.8,222.29,225.94,243.07,257.22,223.2,228.79,239.09,250.87,UPTREND,SIDEWAYS,DOWNTREND,40.5419,-1.2974,0.0218,LOW,-120.5222,43.8356,-100.0,838.0,27508.67,20954.5,184909.4,5999158.0,4570078.5,Black Marubozu,None,Three Black Crows,-0.1393,-0.0652,-0.0444,-150368.0,-406188.0,-936284.0,-7382264.0,-28784922.0,27.97,0.1852,7.69,0.0,0.53,0.0,2019-11-20
3,291,218.8,1.0,0.0046,212.6,212.6,218.8,-444164.0,289.6,205.0,209.6,208.5,219.0,227.0,219.1,221.73,236.51,255.13,218.68,224.04,234.05,246.76,DOWNTREND,SIDEWAYS,DOWNTREND,48.8185,-2.0662,0.0274,LOW,-26.1376,62.4898,-8.0,840.0,1188.67,1143.0,179990.4,254321.2,246467.0,White Marubozu,None,None,-0.1241,-0.0009,0.0046,-694230.0,-1153880.0,-1351762.0,-1842724.0,-28034762.0,27.97,0.1852,7.82,0.0,0.54,0.0,2019-12-09
4,286,236.0,-0.8,-0.0034,236.8,236.0,236.8,-7082.0,304.8,232.0,234.0,234.0,246.8,259.0,251.71,258.97,264.78,269.02,249.96,256.98,262.39,266.79,DOWNTREND,SIDEWAYS,SIDEWAYS,14.3001,-3.9104,0.021,LOW,-173.6434,15.5556,-100.0,28662.0,19504.0,14801.5,7155676.2,4871308.93,3698067.9,Black Marubozu,None,None,-0.0552,-0.0438,-0.0438,-99462.0,-6681648.0,-7794764.0,36966986.0,-25925186.0,26.96,0.0771,8.75,0.0,0.59,0.0,2019-09-06
5,286,223.0,-1.0,-0.0045,223.2,223.0,223.2,-6696.0,289.6,216.2,216.2,216.2,226.9,244.0,229.73,245.13,257.02,264.49,230.61,241.82,251.82,260.28,DOWNTREND,DOWNTREND,DOWNTREND,38.0598,-6.5098,0.0316,NEUTRAL,-110.6027,27.3381,-75.5396,33060.0,22440.67,17139.0,7556453.0,5129711.33,3919354.7,Black Marubozu,None,None,-0.1073,-0.0089,0.0315,1764322.0,323180.0,-6450108.0,-8567404.0,-28114812.0,26.96,0.0771,8.27,0.0,0.55,0.0,2019-10-03
6,291,219.0,0.0,0.0,219.0,219.0,219.0,0.0,289.6,205.0,211.6,209.1,225.3,236.5,221.87,223.45,238.98,255.99,220.37,225.82,235.95,248.34,DOWNTREND,SIDEWAYS,DOWNTREND,47.053999999999995,-1.8759,0.0245,LOW,-26.941999999999997,63.6364,-36.3636,1210.0,1142.0,1068.5,258441.4,246595.73,232189.8,White Marubozu,Bullish Harami,Three White Soldiers,-0.1233,0.0,0.0,51286.0,-698988.0,-616050.0,-1212396.0,-27384488.0,27.97,0.1852,7.83,0.0,0.54,0.0,2019-12-02
7,289,213.6,-1.4,-0.0065,215.0,213.6,215.0,0.0,289.6,213.6,213.6,213.6,225.5,237.8,222.07,225.48,242.56,257.04,222.28,228.2,238.58,250.5,SIDEWAYS,SIDEWAYS,DOWNTREND,39.3926,-1.4217,0.0209,LOW,-137.3202,0.0,-100.0,849.0,27495.33,20940.5,186988.6,5996174.0,4566948.7,Black Marubozu,None,Three Black Crows,-0.1449,-0.0713,-0.0507,-150368.0,-406188.0,-929588.0,-7379696.0,-28795322.0,27.97,0.1852,7.64,0.0,0.52,0.0,2019-11-21
8,291,211.6,-2.4,-0.0112,214.0,206.8,214.0,-226576.0,289.6,201.2,205.6,205.6,214.0,225.5,215.2,219.6,231.97,252.36,215.15,220.63,230.55,243.83,DOWNTREND,SIDEWAYS,DOWNTREND,43.9121,-2.3806,0.0358,NEUTRAL,-75.0419,67.4157,-41.573,5255.0,3720.67,3000.5,1122404.6,794272.27,640508.5,Hanging Man,Tweezer Tops,None,-0.1529,-0.0338,-0.0112,6878910.0,6157500.0,5469772.0,6342246.0,-17908236.0,27.97,0.1852,7.57,0.0,0.52,0.0,2019-12-23
9,286,231.2,1.0,0.0043,241.8,229.0,241.8,-108020.0,289.6,222.0,226.0,222.0,237.8,252.7,237.69,250.58,260.15,266.44,237.6,247.64,256.02,262.92,DOWNTREND,DOWNTREND,SIDEWAYS,39.6101,-6.2656,0.0363,NEUTRAL,-31.6951,38.6583,-60.0,31272.0,21360.67,29867.0,7162808.8,4896276.67,7131563.6,Black Long Day,None,None,-0.0745,-0.0632,-0.0034,-825714.0,-1891802.0,-8650456.0,11234990.0,-27725878.0,26.96,0.0771,8.58,0.0,0.58,0.0,2019-09-24
