,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,289,1.64,-0.01,-0.0061,1.65,1.6,1.65,16400.0,3.63,1.5,1.56,1.52,1.67,1.8,1.6,1.66,1.91,2.39,1.62,1.71,1.92,2.28,UPTREND,DOWNTREND,DOWNTREND,50.7195,-0.0319,0.0378,NEUTRAL,121.0692,85.0763,-22.2222,561200.0,533333.33,546250.0,907361.0,853940.67,872074.0,Hanging Man,None,None,-0.4441,0.0314,-0.012,81700.0,-27660.0,-671300.0,-1694940.0,5228550.0,-0.03,-1.3,-54.67,0.0,0.9,0.0,2019-10-22
1,292,1.13,-0.01,-0.0088,1.19,1.12,1.19,0.0,3.51,1.1,1.12,1.12,1.28,1.62,1.39,1.51,1.68,2.16,1.34,1.5,1.7,2.07,DOWNTREND,DOWNTREND,DOWNTREND,22.8658,-0.0942,0.0603,HIGH,-105.3078,5.3611,-94.0,1430100.0,1300066.67,1143250.0,1756592.0,1694697.33,1538373.5,Black Long Day,None,None,-0.6169,0.0,0.0,72560.0,-280390.0,-159790.0,-978360.0,5875130.0,-0.13,-2.1818,-8.69,0.0,0.64,0.0,2019-12-03
2,290,1.4,-0.05,-0.0345,1.45,1.36,1.45,-227800.0,3.6,1.36,1.38,1.38,1.56,1.64,1.56,1.6,1.77,2.23,1.54,1.62,1.8,2.15,DOWNTREND,SIDEWAYS,DOWNTREND,27.3921,-0.0266,0.0385,NEUTRAL,-237.2549,0.0,-85.7143,892400.0,790666.67,710400.0,1355010.0,1216371.33,1097952.0,None,None,None,-0.5254,-0.1358,-0.0476,-345600.0,-289400.0,-129560.0,-1858670.0,5288870.0,-0.13,-2.1818,-10.77,0.0,0.79,0.0,2019-11-20
3,292,1.24,0.02,0.0164,1.22,1.22,1.26,0.0,3.34,1.1,1.12,1.12,1.3,1.59,1.31,1.48,1.65,2.13,1.3,1.46,1.67,2.04,DOWNTREND,DOWNTREND,DOWNTREND,40.256,-0.0997,0.0584,HIGH,-40.4498,38.5897,-60.0,1684500.0,1491466.67,1391650.0,2033205.0,1837177.33,1792523.5,None,Bullish Harami,None,-0.5797,0.0973,0.0164,17420.0,-270370.0,-206770.0,-240590.0,5704910.0,-0.13,-2.1818,-9.54,0.0,0.7,0.0,2019-12-09
4,287,1.83,0.0,0.0,1.83,1.79,1.86,-80330.0,3.75,1.5,1.76,1.52,1.88,2.04,1.71,1.96,2.24,2.65,1.77,1.93,2.18,2.52,UPTREND,DOWNTREND,DOWNTREND,51.8816,-0.0842,0.0633,HIGH,68.0015,46.2687,-50.7463,8302400.0,5884933.33,5003000.0,15792046.0,11095624.0,9367112.0,Doji,None,None,-0.3797,0.0055,0.0055,-779110.0,-968860.0,-425250.0,486010.0,6884244.0,-0.03,-1.3,-61.0,0.0,1.01,0.0,2019-09-06
5,287,1.55,-0.01,-0.0064,1.58,1.5,1.58,-102300.0,3.63,1.5,1.52,1.52,1.62,1.84,1.68,1.76,2.02,2.49,1.65,1.78,2.02,2.37,DOWNTREND,DOWNTREND,DOWNTREND,31.4301,-0.0538,0.0457,NEUTRAL,-110.845,12.5192,-83.87100000000001,676600.0,863333.33,883600.0,1080309.0,1429950.67,1496205.0,Hanging Man,None,None,-0.4746,-0.0252,-0.0312,-102300.0,-156460.0,-1683960.0,-792970.0,6600299.0,-0.03,-1.3,-51.67,0.0,0.85,0.0,2019-10-03
6,292,1.14,0.01,0.0088,1.14,1.1,1.15,0.0,3.51,1.1,1.12,1.12,1.28,1.63,1.41,1.52,1.69,2.17,1.36,1.51,1.71,2.08,DOWNTREND,DOWNTREND,DOWNTREND,23.3276,-0.0875,0.0597,HIGH,-126.0474,0.0,-92.0,1410100.0,1304133.33,1146000.0,1739751.0,1712688.0,1551913.0,Doji,None,None,-0.6136,0.0088,0.0088,42310.0,-280390.0,-159790.0,-1060540.0,5746120.0,-0.13,-2.1818,-8.77,0.0,0.64,0.0,2019-12-02
7,290,1.33,-0.07,-0.05,1.4,1.33,1.4,8000.0,3.6,1.33,1.33,1.33,1.51,1.64,1.55,1.6,1.76,2.23,1.52,1.61,1.79,2.14,DOWNTREND,DOWNTREND,DOWNTREND,22.9114,-0.0323,0.0414,NEUTRAL,-225.5739,0.0,-100.0,858400.0,797466.67,728250.0,1285681.0,1217187.33,1118344.5,Black Marubozu,None,None,-0.5492,-0.179,-0.0952,-337600.0,-281400.0,-121560.0,-1850670.0,5300900.0,-0.13,-2.1818,-10.23,0.0,0.75,0.0,2019-11-21
8,292,1.03,0.0,0.0,1.02,1.0,1.04,0.0,3.34,1.0,1.02,1.02,1.14,1.3,1.16,1.39,1.54,2.04,1.18,1.34,1.57,1.95,DOWNTREND,DOWNTREND,DOWNTREND,29.8422,-0.0899,0.0672,HIGH,-186.6667,7.3939,-90.9091,1232800.0,1373266.67,1458650.0,1347335.0,1575566.67,1690270.0,None,Tweezer Bottoms,None,-0.6508,-0.0885,0.0,1261460.0,1840620.0,1560230.0,1636770.0,6206500.0,-0.13,-2.1818,-7.92,0.0,0.58,0.0,2019-12-23
9,287,1.62,0.0,0.0,1.62,1.59,1.64,-121500.0,3.63,1.5,1.6,1.52,1.72,2.02,1.73,1.84,2.1,2.55,1.72,1.85,2.08,2.43,DOWNTREND,DOWNTREND,DOWNTREND,36.6991,-0.0403,0.0528,HIGH,-110.7216,9.7443,-89.2857,1045800.0,1167866.67,4664300.0,1782757.0,2035864.67,8798885.0,Doji,None,None,-0.4508,-0.1099,-0.0061,-79660.0,-1384100.0,-2009470.0,-448290.0,7048451.0,-0.03,-1.3,-54.0,0.0,0.89,0.0,2019-09-24
