,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,290,59.15,-0.1,-0.0017,59.95,59.15,59.95,-32560.0,69.5,57.0,59.0,57.5,59.62,61.6,59.06,59.26,59.87,60.97,59.12,59.36,59.96,62.33,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.5977,-0.1026,0.0093,LOW,103.4898,0.0,-85.0,7488.0,26234.67,26755.0,442388.15,1548539.5,1579398.63,Black Marubozu,None,None,-0.0751,0.0008,0.0025,-791639.0,-13713491.5,-26305001.0,-47394264.0,-154024343.0,6.08,-0.2657,9.73,0.0,0.78,0.0,2019-10-22
1,293,59.0,0.0,0.0,59.15,59.0,59.15,-2277991.5,68.5,57.0,58.0,57.5,59.55,61.38,59.66,59.46,59.59,60.29,59.45,59.55,59.84,61.67,DOWNTREND,SIDEWAYS,SIDEWAYS,44.7915,-0.0829,0.0113,LOW,-92.8376,0.0,-100.0,9543.0,8543.33,8883.5,563246.15,505463.37,529383.9,Black Marubozu,Bearish Harami,None,-0.0774,-0.0092,-0.0092,-4176155.0,-4468252.5,-13904943.5,-40741073.0,-164579799.0,8.01,0.0854,7.37,0.0,0.74,0.0,2019-12-03
2,291,59.5,0.25,0.0042,60.2,59.5,60.2,-21480.5,69.5,57.0,59.0,57.5,60.15,62.2,59.99,59.49,59.81,60.52,59.8,59.7,59.96,61.9,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.004,0.1686,0.0119,LOW,-49.4459,0.0,-80.0,5381.0,14108.67,13516.5,321977.7,854272.2,815865.43,Black Marubozu,None,None,-0.0696,-0.0108,-0.0083,-189891.5,-7300454.0,-12199626.5,-40308940.5,-161237344.0,8.01,0.0854,7.43,0.0,0.75,0.0,2019-11-20
3,293,58.4,0.4,0.0069,58.4,57.2,58.4,-904192.0,67.5,57.0,57.6,57.5,59.3,61.25,59.22,59.4,59.51,60.19,59.06,59.36,59.72,61.54,DOWNTREND,SIDEWAYS,SIDEWAYS,41.7229,-0.2211,0.0123,LOW,-177.2295,17.6263,-60.0,30610.0,21036.0,17374.0,1786912.1,1228551.13,1016686.85,Dragonfly Doji,None,None,-0.0868,-0.0193,0.0069,-11490280.5,-13639668.5,-22047057.0,-48949359.5,-170316934.5,8.01,0.0854,7.29,0.0,0.74,0.0,2019-12-09
4,288,59.6,0.25,0.0042,60.0,59.55,60.0,-1080891.0,76.0,57.0,59.1,57.5,60.4,62.22,59.44,60.21,60.3,61.99,59.58,59.93,60.66,63.52,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.3723,-0.1955,0.0129,LOW,52.5973,32.4561,-68.4211,38903.0,40950.67,37456.0,2306832.1,2424497.93,2216875.43,Black Long Day,None,None,-0.068,-0.0075,-0.0075,-2634147.5,-5170717.0,-26390881.0,-23550025.5,-60808907.5,6.08,-0.2657,9.8,0.0,0.78,0.0,2019-09-06
5,288,59.0,0.0,0.0,59.0,59.0,59.95,-623211.0,69.5,57.0,58.0,57.5,59.52,61.42,59.3,59.52,60.01,61.33,59.23,59.56,60.22,62.78,DOWNTREND,SIDEWAYS,SIDEWAYS,43.4943,-0.1543,0.0114,LOW,-43.318000000000005,0.0,-100.0,57687.0,42943.33,35612.5,3407558.1,2538972.57,2107237.3,Gravestone Doji,Tweezer Bottoms,None,-0.0774,-0.0017,-0.0008,-11698033.0,-20987247.5,-25503816.5,-54918631.5,-135818426.0,6.08,-0.2657,9.7,0.0,0.77,0.0,2019-10-03
6,293,59.0,-0.55,-0.0092,59.55,59.0,59.55,-1044421.5,68.5,57.0,58.58,57.5,59.55,61.38,59.75,59.46,59.62,60.31,59.5,59.58,59.86,61.7,DOWNTREND,SIDEWAYS,SIDEWAYS,44.7915,-0.0624,0.012,LOW,-83.49700000000001,0.0,-100.0,5748.0,5961.33,8286.5,339434.3,353320.87,496597.03,Black Marubozu,Bearish Engulfing,None,-0.0774,-0.0092,-0.0092,-1898163.5,-2190261.0,-11898307.0,-38723966.5,-162332922.5,8.01,0.0854,7.37,0.0,0.74,0.0,2019-12-02
7,291,59.0,-0.5,-0.0084,59.25,59.0,60.0,5310.0,69.5,57.0,58.0,57.5,60.15,62.15,59.98,59.48,59.79,60.49,59.73,59.67,59.94,61.87,DOWNTREND,SIDEWAYS,SIDEWAYS,39.9682,0.1263,0.0124,LOW,-106.5007,10.0,-100.0,5525.0,13203.33,13702.0,330081.75,799705.17,826844.98,Shooting Star,None,None,-0.0774,-0.0191,-0.0167,-184581.5,-6467360.0,-12194316.5,-40828605.5,-161131464.0,8.01,0.0854,7.37,0.0,0.74,0.0,2019-11-21
8,293,58.0,-0.4,-0.0068,58.5,58.0,58.5,-299295.0,65.95,57.0,57.0,57.0,58.45,60.88,58.33,59.16,59.28,59.99,58.32,58.87,59.38,61.19,DOWNTREND,SIDEWAYS,SIDEWAYS,45.4707,-0.4281,0.0129,LOW,-20.3802,46.1538,-61.5385,15026.0,27221.33,22818.0,868710.4,1581401.87,1327811.25,Black Marubozu,None,None,-0.09300000000000001,-0.026000000000000002,-0.0068,-2765366.0,-16750230.5,-18940491.5,-43110212.5,-176475035.0,8.01,0.0854,7.24,0.0,0.73,0.0,2019-12-23
9,288,59.0,-0.05,-0.0008,59.05,59.0,59.25,-232685.0,69.5,57.0,58.0,57.5,60.05,62.2,59.5,59.67,60.1,61.6,59.42,59.73,60.4,63.05,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.2121,-0.1051,0.0111,LOW,-140.9348,0.0,-100.0,24414.0,23682.0,26168.5,1448213.85,1405464.43,1553951.68,Shooting Star,Bearish Engulfing,None,-0.0774,-0.0175,0.0,-8380604.5,-10827609.0,-16122615.5,-34382681.0,-115362596.0,6.08,-0.2657,9.7,0.0,0.77,0.0,2019-09-24
