,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,291,0.006,-0.0002,-0.0323,0.0061,0.006,0.0061,0.0,0.01,0.0055,0.0058,0.0055,0.0066,0.0071,0.0064,0.0064,0.0067,0.0068,0.0063,0.0065,0.0066,0.0068,DOWNTREND,SIDEWAYS,DOWNTREND,43.1056,-0.0001,0.0453,NEUTRAL,-131.6425,12.5,-100.0,8500000.0,7666666.6667,7150000.0,53190.0,48346.6667,45850.0,Black Marubozu,None,None,0.0909,-0.0625,-0.0323,0.0,6800.0,-29500.0,24800.0,1649599.9999,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,294,0.0054,-0.0004,-0.069,0.0056,0.0054,0.0056,0.0,0.01,0.0054,0.0054,0.0054,0.0061,0.0066,0.006,0.0063,0.0065,0.0067,0.006,0.0062,0.0064,0.0067,DOWNTREND,DOWNTREND,SIDEWAYS,37.9679,-0.0001,0.0477,NEUTRAL,-204.18200000000002,19.0476,-100.0,6300000.0,8133333.3333,8400000.0,37260.0,48753.3333,50695.0,Black Marubozu,None,None,-0.0182,-0.069,-0.069,0.0,12400.0,19200.0,-17100.0,1494399.9999,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,292,0.0061,0.0003,0.0517,0.006,0.006,0.0061,0.0,0.01,0.0055,0.0058,0.0055,0.0062,0.0066,0.0061,0.0063,0.0065,0.0067,0.0061,0.0063,0.0065,0.0067,DOWNTREND,DOWNTREND,SIDEWAYS,48.8705,-0.0001,0.0406,NEUTRAL,-11.3438,0.0,-40.0,3000000.0,8066666.6667,7450000.0,18000.0,49013.3333,45445.0,White Marubozu,None,Three White Soldiers,0.1091,-0.0161,0.0517,0.0,12400.0,19200.0,-17100.0,1629999.9999,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,294,0.0054,-0.0001,-0.0182,0.0055,0.0054,0.0055,-5400.0,0.01,0.0054,0.0054,0.0054,0.006,0.0063,0.0059,0.0062,0.0064,0.0067,0.0059,0.0062,0.0064,0.0067,DOWNTREND,DOWNTREND,SIDEWAYS,38.6849,-0.0002,0.0437,NEUTRAL,-158.0208,0.0,-100.0,6400000.0,5066666.6667,8350000.0,37580.0,29806.6667,50115.0,Black Marubozu,Bearish Engulfing,None,-0.0182,-0.069,-0.069,-5400.0,7000.0,13800.0,-22500.0,1488999.9999,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,289,0.006999999999999999,0.0002,0.0294,0.0072,0.006999999999999999,0.0072,0.0,0.01,0.0055,0.0064,0.0061,0.0071,0.0077,0.0064,0.0065,0.006999999999999999,0.0069,0.0065,0.0066,0.0067,0.0069,UPTREND,SIDEWAYS,DOWNTREND,61.5525,0.0,0.0487,NEUTRAL,157.047,34.7826,-60.8696,54700000.0,38066666.6667,29950000.0,391300.0,271220.0,212430.0,Black Marubozu,None,None,0.2727,0.0769,0.0769,0.0,-36300.0,-36300.0,18000.0,1608799.9999,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,289,0.0063,-0.0001,-0.0156,0.0063,0.0063,0.0063,0.0,0.01,0.0055,0.0061,0.0055,0.0067,0.0077,0.0065,0.0065,0.0068,0.0069,0.0065,0.0065,0.0067,0.0069,DOWNTREND,SIDEWAYS,DOWNTREND,46.3518,0.0,0.0452,NEUTRAL,-79.2651,14.8148,-100.0,6400000.0,6866666.6667,30600000.0,41530.0,45620.0,216790.0,White Marubozu,None,None,0.1455,-0.0156,-0.0455,6800.0,6800.0,-29500.0,24800.0,1649599.9999,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,294,0.0058,0.0,0.0,0.0058,0.0058,0.0058,0.0,0.01,0.0055,0.0057,0.0055,0.0061,0.0066,0.0061,0.0063,0.0065,0.0067,0.0061,0.0063,0.0065,0.0067,DOWNTREND,DOWNTREND,SIDEWAYS,43.9179,-0.0001,0.0425,NEUTRAL,-113.6364,39.0476,-71.4286,5700000.0,7800000.0,8450000.0,34080.0,47040.0,51235.0,White Marubozu,Bullish Harami,None,0.0545,-0.0645,0.0,0.0,12400.0,19200.0,-17100.0,1501999.9999,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,292,0.0058,-0.0003,-0.0492,0.0061,0.0056,0.0061,0.0,0.01,0.0055,0.0057,0.0055,0.0061,0.0066,0.0061,0.0063,0.0065,0.0067,0.0061,0.0063,0.0065,0.0067,DOWNTREND,DOWNTREND,SIDEWAYS,43.9179,-0.0001,0.0458,NEUTRAL,-116.8558,0.0,-71.4286,5800000.0,7866666.6667,8450000.0,34660.0,47480.0,51250.0,None,Bearish Engulfing,None,0.0545,-0.0645,0.0,0.0,12400.0,19200.0,-17100.0,1501999.9999,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,294,0.0053,0.0,0.0,0.0053,0.0053,0.0053,0.0,0.01,0.0052,0.0052,0.0052,0.0055,0.0062,0.0057,0.0061,0.0063,0.0067,0.0057,0.006,0.0063,0.0066,DOWNTREND,DOWNTREND,SIDEWAYS,40.8015,-0.0002,0.040999999999999995,NEUTRAL,-107.4561,0.0,-88.8889,3000000.0,5000000.0,4650000.0,16360.0,28533.3333,26810.0,White Marubozu,Bullish Harami,None,-0.0364,-0.0862,0.0,-5500.0,-10900.0,1500.0,-28000.0,1491799.9999,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,289,0.0066,0.0003,0.0476,0.0068,0.0065,0.0068,6800.0,0.01,0.0055,0.0063,0.0061,0.0067,0.0077,0.0065,0.0065,0.0069,0.0069,0.0065,0.0066,0.0067,0.0069,SIDEWAYS,SIDEWAYS,DOWNTREND,51.8145,0.0,0.0464,NEUTRAL,27.5689,0.0,-66.6667,5500000.0,7733333.3333,30100000.0,35900.0,51433.3333,213600.0,Black Long Day,None,None,0.2,0.0154,0.0312,6800.0,6800.0,-29500.0,24800.0,1649599.9999,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
