,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,292,159.0,-0.4,-0.0025,159.7,159.0,160.0,24749209.0,180.4,121.2,156.3,144.1,160.15,169.6,156.91,163.73,166.96,157.09,159.15,162.02,162.23,157.96,UPTREND,DOWNTREND,SIDEWAYS,48.1891,-1.9552,0.0223,LOW,67.0141,77.094,-18.9744,516378.0,922542.67,1180714.5,82088510.3,143762107.13,184547738.55,Black Long Day,None,None,0.252,0.0192,0.0173,15064246.0,-36478405.0,-994753314.0,-2055779393.0,-76910620.0,4.32,0.006999999999999999,36.81,0.0,4.23,0.0,2019-10-22
1,295,144.0,-5.5,-0.0368,151.9,144.0,151.9,-64818772.0,180.4,125.7,143.6,137.6,154.45,159.5,151.97,154.33,161.28,158.77,151.64,155.02,157.73,156.48,DOWNTREND,SIDEWAYS,DOWNTREND,32.9534,-1.3413,0.0289,LOW,-292.5679,5.8442,-100.0,915326.0,825823.33,811137.5,138028284.0,124785774.13,122762029.5,Black Marubozu,None,None,0.1339,-0.0406,-0.0406,-270164476.0,-569370371.0,-904525978.0,-1948076584.0,-614628287.0,4.26,-0.0093,33.8,0.0,3.67,0.0,2019-12-03
2,293,153.1,0.7,0.0046,152.0,150.1,154.0,-30684910.0,180.4,125.7,150.2,144.1,153.95,160.15,152.73,157.48,163.18,158.64,153.61,156.91,159.1,157.01,SIDEWAYS,DOWNTREND,SIDEWAYS,47.0094,-1.5964,0.027000000000000003,LOW,-17.7199,43.0626,-51.7647,730679.0,1013193.33,1228488.5,111038512.4,154092090.07,186843382.2,None,None,None,0.2055,0.0139,0.0132,-188606143.0,-358402308.0,-569843655.0,-1782616126.0,-440963067.0,4.26,-0.0093,35.94,0.0,3.9,0.0,2019-11-20
3,295,140.5,4.5,0.0331,137.0,137.0,142.0,-9340654.0,180.4,125.7,136.0,127.85,148.45,156.5,149.47,152.76,159.99,158.72,147.87,152.85,156.39,155.85,DOWNTREND,SIDEWAYS,DOWNTREND,35.6768,-2.4087,0.0352,NEUTRAL,-174.9501,0.0,-76.1905,1478603.0,1197076.0,1046714.5,213551665.6,174517207.8,153579686.3,White Long Day,None,None,0.1063,-0.064,0.0331,-368867985.0,-703312771.0,-1077471448.0,-2234099884.0,-841047194.0,4.26,-0.0093,32.98,0.0,3.58,0.0,2019-12-09
4,290,168.5,1.5,0.009000000000000001,167.0,167.0,170.4,-21940745.0,180.4,121.2,166.45,159.15,171.65,179.2,167.78,169.11,165.02,151.91,168.48,167.73,163.84,156.9,UPTREND,SIDEWAYS,SIDEWAYS,50.1417,0.32799999999999996,0.0293,LOW,32.643,52.038000000000004,-40.9091,1284339.0,1222000.67,1170365.5,218358310.8,206376909.2,196643316.55,None,None,None,0.3268,-0.026000000000000002,-0.026000000000000002,-248491941.0,-511788230.0,-1040318160.0,-1143276104.0,476903817.0,4.32,0.006999999999999999,39.0,0.0,4.48,0.0,2019-09-06
5,290,152.9,7.9,0.0545,144.0,143.2,152.9,12954053.0,180.4,121.2,144.1,139.1,159.15,170.5,163.23,165.82,166.66,155.12,160.66,164.41,163.34,157.88,DOWNTREND,SIDEWAYS,SIDEWAYS,37.5799,-2.6116,0.0311,NEUTRAL,-146.1982,14.7265,-63.2576,1604675.0,1233451.33,1054947.0,252055559.7,195545022.53,168551826.6,White Long Day,Bullish Engulfing,None,0.2039,-0.0199,-0.0292,-377731746.0,-1002050573.0,-1426194208.0,-2491250916.0,-219482975.0,4.32,0.006999999999999999,35.39,0.0,4.07,0.0,2019-10-03
6,295,149.5,-0.6,-0.004,152.9,149.0,152.9,-43546115.0,180.4,125.7,149.25,144.1,154.45,159.7,152.57,154.79,161.59,158.78,152.44,155.47,158.0,156.6,DOWNTREND,SIDEWAYS,DOWNTREND,41.4838,-1.2269,0.026000000000000002,LOW,-116.3626,13.2035,-92.8571,868462.0,777518.0,805974.0,131600558.5,117989412.93,122514306.75,Black Long Day,Bearish Engulfing,None,0.1772,-0.004,-0.004,-226681774.0,-499502005.0,-852395529.0,-1878149343.0,-709723340.0,4.26,-0.0093,35.09,0.0,3.81,0.0,2019-12-02
7,293,152.0,-1.1,-0.0072,151.8,150.0,152.5,-35069206.0,180.4,125.7,150.2,144.1,153.95,160.15,152.47,157.16,163.04,158.66,153.45,156.72,158.96,156.96,SIDEWAYS,DOWNTREND,SIDEWAYS,44.7204,-1.5444,0.0267,LOW,-51.1644,41.1765,-64.7059,616967.0,933236.0,1222139.5,93987691.4,142007505.07,185593112.9,None,None,None,0.1969,0.0066,0.006,-169170484.0,-373116150.0,-597667402.0,-1876577939.0,-481372561.0,4.26,-0.0093,35.68,0.0,3.87,0.0,2019-11-21
8,295,151.9,7.9,0.0549,144.0,140.3,151.9,20424362.0,180.4,125.7,141.5,136.0,154.45,159.7,145.14,150.53,157.42,158.7,145.82,150.02,154.18,154.73,DOWNTREND,DOWNTREND,DOWNTREND,57.9211,-2.5274,0.0305,NEUTRAL,52.1463,63.9115,0.0,1190112.0,1411509.33,1334357.5,171213320.4,200925715.73,192382493.0,White Long Day,None,None,0.1961,0.012,0.0549,-116235756.0,-533628430.0,-1033130435.0,-1683615269.0,-1432268706.0,4.26,-0.0093,35.66,0.0,3.87,0.0,2019-12-23
9,290,166.0,-0.9,-0.0054,167.0,165.7,167.0,-21145841.0,180.4,121.2,165.8,159.15,169.6,176.45,168.76,168.1,167.06,154.3,168.15,167.87,164.76,158.17,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.6104,0.0309,0.022000000000000002,LOW,-153.757,26.0585,-93.75,625175.0,614252.67,761227.0,105068258.4,103262073.13,128895046.6,Black Long Day,None,None,0.3071,-0.0405,-0.0178,-129674383.0,-246058147.0,-712518619.0,-1587879329.0,474651757.0,4.32,0.006999999999999999,38.43,0.0,4.42,0.0,2019-09-24
