,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,293,1.09,-0.02,-0.018000000000000002,1.09,1.09,1.09,0.0,1.3,1.09,1.09,1.09,1.15,1.19,1.12,1.12,1.13,1.16,1.12,1.12,1.14,1.16,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.8283,-0.0017,0.0248,LOW,-119.3595,38.0952,-100.0,53900.0,46066.67,110800.0,59237.0,50762.67,122123.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.0763,0.0,-0.0522,0.0,1140.0,-2200.0,-7750.0,-579320.0,0.19,2.9,5.74,0.0,0.46,0.0,2019-10-22
1,296,1.05,-0.01,-0.0094,1.06,1.05,1.06,0.0,1.3,1.05,1.05,1.05,1.07,1.14,1.09,1.11,1.12,1.15,1.08,1.1,1.12,1.15,DOWNTREND,SIDEWAYS,SIDEWAYS,36.4319,-0.0116,0.0127,LOW,-137.378,0.0,-100.0,476500.0,332000.0,255050.0,512185.0,357220.0,274510.5,Black Marubozu,Bearish Engulfing,None,-0.1102,-0.0094,-0.0094,0.0,0.0,1140.0,-970.0,-607840.0,0.17,4.6667,6.18,0.0,0.44,0.0,2019-12-03
2,294,1.07,-0.01,-0.0093,1.07,1.07,1.07,0.0,1.3,1.07,1.07,1.07,1.11,1.15,1.1,1.11,1.13,1.16,1.1,1.11,1.13,1.16,DOWNTREND,SIDEWAYS,SIDEWAYS,41.325,-0.0063,0.0175,LOW,-131.3131,0.0,-100.0,303300.0,209800.0,181600.0,328668.0,227405.33,197199.5,White Marubozu,None,None,-0.0932,-0.0614,-0.0183,0.0,0.0,1140.0,-970.0,-590920.0,0.17,4.6667,6.29,0.0,0.45,0.0,2019-11-20
3,296,1.05,0.0,0.0,1.05,1.05,1.05,0.0,1.3,1.05,1.05,1.05,1.06,1.14,1.08,1.11,1.12,1.15,1.08,1.1,1.12,1.15,DOWNTREND,SIDEWAYS,SIDEWAYS,36.4319,-0.0124,0.0117,LOW,-130.2235,0.0,-100.0,528300.0,369800.0,283100.0,566375.0,396904.0,303948.0,White Marubozu,Tweezer Bottoms,None,-0.1102,-0.0094,-0.0094,0.0,0.0,1140.0,-970.0,-607840.0,0.17,4.6667,6.18,0.0,0.44,0.0,2019-12-09
4,291,1.11,0.0,0.0,1.1,1.1,1.11,0.0,1.3,1.1,1.1,1.1,1.12,1.22,1.12,1.13,1.14,1.17,1.12,1.13,1.14,1.17,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.0664,-0.0023,0.022000000000000002,LOW,-77.5805,11.1111,-88.8889,226300.0,157733.33,163350.0,250483.0,174666.0,182638.0,White Marubozu,None,Three White Soldiers,-0.0593,0.0,0.0,0.0,-3340.0,-2110.0,-24710.0,-578120.0,0.19,2.9,5.84,0.0,0.47,0.0,2019-09-06
5,291,1.15,0.06,0.055,1.12,1.12,1.15,0.0,1.3,1.09,1.09,1.09,1.16,1.22,1.12,1.12,1.13,1.16,1.12,1.12,1.14,1.17,UPTREND,SIDEWAYS,SIDEWAYS,56.8313,-0.0024,0.0235,LOW,100.6289,0.0,-14.2857,54800.0,129133.33,138050.0,60281.0,142207.33,152434.5,White Marubozu,None,None,-0.0254,0.055,0.055,0.0,1140.0,1430.0,-7750.0,-579320.0,0.19,2.9,6.05,0.0,0.49,0.0,2019-10-03
6,296,1.05,-0.01,-0.0094,1.06,1.05,1.06,0.0,1.3,1.05,1.05,1.05,1.07,1.14,1.09,1.11,1.12,1.15,1.08,1.1,1.12,1.15,DOWNTREND,SIDEWAYS,SIDEWAYS,36.4319,-0.0116,0.0127,LOW,-137.378,0.0,-100.0,476500.0,332000.0,255050.0,512185.0,357220.0,274510.5,Black Marubozu,Bearish Engulfing,None,-0.1102,-0.0094,-0.0094,0.0,0.0,1140.0,-970.0,-607840.0,0.17,4.6667,6.18,0.0,0.44,0.0,2019-12-02
7,294,1.07,-0.01,-0.0093,1.07,1.07,1.07,0.0,1.3,1.07,1.07,1.07,1.11,1.15,1.1,1.11,1.13,1.16,1.1,1.11,1.13,1.16,DOWNTREND,SIDEWAYS,SIDEWAYS,41.325,-0.0063,0.0175,LOW,-131.3131,0.0,-100.0,303300.0,209800.0,181600.0,328668.0,227405.33,197199.5,White Marubozu,None,None,-0.0932,-0.0614,-0.0183,0.0,0.0,1140.0,-970.0,-590920.0,0.17,4.6667,6.29,0.0,0.45,0.0,2019-11-21
8,296,1.08,0.03,0.0286,1.08,1.08,1.08,0.0,1.3,1.04,1.05,1.04,1.09,1.14,1.07,1.1,1.11,1.15,1.07,1.09,1.11,1.15,DOWNTREND,SIDEWAYS,SIDEWAYS,50.4474,-0.0125,0.0145,LOW,28.3688,40.0,-20.0,287800.0,429600.0,340100.0,305342.0,460044.0,364644.0,White Marubozu,None,None,-0.0847,0.0189,-0.0092,-1050.0,-1050.0,-1050.0,380.0,-652690.0,0.17,4.6667,6.35,0.0,0.45,0.0,2019-12-23
9,291,1.1,-0.04,-0.0351,1.15,1.1,1.15,0.0,1.3,1.1,1.1,1.1,1.15,1.19,1.12,1.12,1.14,1.17,1.12,1.13,1.14,1.17,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.6172,-0.0014,0.0216,LOW,-24.642,0.0,-100.0,140400.0,143000.0,123700.0,154685.0,157942.0,136947.0,Black Marubozu,Bearish Engulfing,None,-0.0678,-0.009000000000000001,-0.0351,1140.0,1140.0,1430.0,-7750.0,-579320.0,0.19,2.9,5.79,0.0,0.47,0.0,2019-09-24
