,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,295,7.7,-0.01,-0.0013,7.71,7.66,7.73,-19925997.0,8.5,5.01,7.66,7.32,7.74,8.25,7.7,7.64,7.5,7.16,7.69,7.64,7.49,7.18,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.0732,0.0141,0.0126,LOW,37.3522,79.0123,-25.9259,4866380.0,4611866.67,4472465.0,37274365.4,35340621.4,34310885.0,Spinning Top,None,None,0.4233,-0.0026,-0.0039,-40598577.0,-120381241.0,-240189470.0,-656200674.0,-4822891930.0,0.85,0.1486,9.06,0.0,1.01,0.0,2019-10-22
1,298,7.6,0.0,0.0,7.6,7.55,7.6,-3829051.0,8.5,5.11,7.56,7.24,7.62,7.86,7.65,7.68,7.65,7.42,7.64,7.65,7.57,7.3,DOWNTREND,SIDEWAYS,SIDEWAYS,37.6804,-0.0182,0.0088,LOW,-83.3641,45.0,-55.0,2359810.0,2334846.67,2437940.0,17931936.0,17796635.27,18632546.05,Dragonfly Doji,None,None,0.4048,0.0,0.0,-31285429.0,-103958740.0,-256377980.0,-485676200.0,-4868383177.0,0.88,0.1579,8.64,0.0,0.99,0.0,2019-12-03
2,296,7.66,-0.01,-0.0013,7.67,7.61,7.67,-9433803.0,8.5,5.11,7.62,7.32,7.7,8.25,7.69,7.69,7.61,7.35,7.69,7.67,7.56,7.27,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.9295,0.0028,0.0089,LOW,-193.6275,52.0833,-56.25,2582500.0,2749640.0,2743945.0,19834126.1,21129640.13,21086016.95,Hanging Man,Tweezer Tops,None,0.4159,-0.0039,-0.0039,-41523331.0,-118376793.0,-266370524.0,-502020091.0,-4887426803.0,0.88,0.1579,8.7,0.0,1.0,0.0,2019-11-20
3,298,7.5,-0.08,-0.0106,7.55,7.48,7.58,-10871649.0,8.5,5.11,7.45,7.18,7.6,7.84,7.62,7.67,7.66,7.45,7.61,7.63,7.57,7.31,DOWNTREND,SIDEWAYS,SIDEWAYS,31.815,-0.0264,0.0114,LOW,-120.2652,46.1064,-62.963,4200620.0,3512113.33,3284350.0,31690168.5,26551569.8,24904071.0,None,Tweezer Tops,None,0.3863,-0.0132,-0.0106,-95823125.0,-166126907.0,-299183612.0,-534372095.0,-4934777093.0,0.88,0.1579,8.52,0.0,0.98,0.0,2019-12-09
4,293,7.7,-0.02,-0.0026,7.72,7.66,7.72,-8732051.0,8.5,5.01,7.56,7.24,7.72,8.25,7.56,7.51,7.35,6.76,7.59,7.5,7.32,6.99,SIDEWAYS,SIDEWAYS,SIDEWAYS,55.4815,0.0151,0.0207,LOW,88.4785,98.0261,-3.9216,6415720.0,6329113.33,6340810.0,48201260.0,47550805.67,47617071.65,Hanging Man,Tweezer Tops,None,0.4233,0.0,0.0,-72574584.0,-232820981.0,-404027520.0,-622916661.0,-4587077327.0,0.85,0.1486,9.06,0.0,1.01,0.0,2019-09-06
5,293,7.65,-0.05,-0.0065,7.69,7.61,7.69,-13730742.0,8.5,5.01,7.63,7.24,7.74,8.25,7.69,7.64,7.43,7.0,7.68,7.6,7.44,7.11,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.0721,0.031,0.0146,LOW,-51.9713,75.0,-37.5,4512440.0,3847826.67,3704890.0,34599048.9,29506131.6,28423895.55,None,None,None,0.414,-0.0091,-0.0103,-20633623.0,-119556004.0,-311793171.0,-520603717.0,-4755259441.0,0.85,0.1486,9.0,0.0,1.0,0.0,2019-10-03
6,298,7.6,0.0,0.0,7.59,7.55,7.6,-2395018.0,8.5,5.11,7.55,7.24,7.62,7.86,7.66,7.68,7.65,7.42,7.64,7.65,7.57,7.3,DOWNTREND,SIDEWAYS,SIDEWAYS,37.6804,-0.0167,0.0089,LOW,-94.1147,43.6364,-55.0,2247430.0,2365306.67,2426180.0,17086086.9,18044582.8,18552777.75,Hammer,None,None,0.4048,0.0,0.0,-38309487.0,-108432001.0,-255394092.0,-488574643.0,-4888811709.0,0.88,0.1579,8.64,0.0,0.99,0.0,2019-12-02
7,296,7.62,-0.04,-0.0052,7.61,7.59,7.65,-9201786.0,8.5,5.11,7.6,7.34,7.69,8.25,7.69,7.69,7.62,7.36,7.68,7.67,7.56,7.28,SIDEWAYS,SIDEWAYS,SIDEWAYS,37.3977,0.0008,0.009000000000000001,LOW,-242.8941,38.3929,-78.5714,2486280.0,2613826.67,2706810.0,19073507.2,20071588.73,20792722.2,Spinning Top,None,None,0.4085,-0.0091,-0.0091,-48891280.0,-115376300.0,-273930810.0,-501794596.0,-4893087134.0,0.88,0.1579,8.66,0.0,0.99,0.0,2019-11-21
8,298,7.35,0.05,0.0068,7.3,7.26,7.35,-5946071.0,8.5,5.13,7.22,6.98,7.38,7.62,7.47,7.6,7.62,7.44,7.44,7.54,7.53,7.32,DOWNTREND,SIDEWAYS,SIDEWAYS,42.2137,-0.0774,0.0161,LOW,-88.2587,46.6667,-50.0,3603310.0,4416033.33,3901965.0,26594476.6,32890496.27,29142322.55,None,None,None,0.3586,-0.0329,0.0068,-44324740.0,-194328368.0,-302760369.0,-548771569.0,-4903542119.0,0.88,0.1579,8.35,0.0,0.96,0.0,2019-12-23
9,293,7.57,-0.07,-0.0092,7.52,7.52,7.62,-13905268.0,8.5,5.01,7.54,7.32,7.69,8.25,7.65,7.63,7.39,6.91,7.64,7.57,7.39,7.07,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.7972,0.0312,0.0148,LOW,-57.5916,51.1905,-75.0,3337600.0,3302693.33,4354935.0,25541626.4,25313264.0,33144900.25,None,None,None,0.3993,-0.0169,-0.0105,-31330571.0,-128527439.0,-418627743.0,-512407585.0,-4601967208.0,0.85,0.1486,8.91,0.0,0.99,0.0,2019-09-24
