,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,296,2.41,-0.22,-0.0837,2.5,2.41,2.5,159720.0,4.0,2.31,2.34,2.32,2.63,2.83,2.47,2.48,2.52,2.51,2.49,2.49,2.51,2.59,UPTREND,SIDEWAYS,SIDEWAYS,41.7553,0.0079,0.0167,LOW,-32.4426,66.6667,-100.0,63200.0,48200.0,46000.0,161906.0,122625.33,115929.0,Black Marubozu,None,None,0.0343,-0.0041,-0.0766,159720.0,697060.0,1835310.0,3379820.0,52991160.0,0.3,0.4286,8.03,0.0,0.95,0.0,2019-10-22
1,299,2.43,-0.07,-0.027999999999999997,2.43,2.43,2.43,17010.0,4.0,2.31,2.42,2.32,2.52,2.63,2.5,2.47,2.52,2.51,2.48,2.49,2.51,2.58,DOWNTREND,SIDEWAYS,SIDEWAYS,45.1499,0.0047,0.0236,LOW,-88.6731,33.3333,-90.9091,20300.0,47733.33,40900.0,50228.0,122318.0,104121.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0429,-0.027999999999999997,-0.0122,409450.0,579150.0,1369080.0,3786750.0,53370830.0,0.3,0.4286,8.1,0.0,0.96,0.0,2019-12-03
2,297,2.52,0.0,0.0,2.52,2.52,2.52,0.0,4.0,2.31,2.42,2.34,2.58,2.83,2.49,2.47,2.52,2.51,2.49,2.49,2.51,2.58,DOWNTREND,SIDEWAYS,SIDEWAYS,53.2309,0.0057,0.0213,LOW,30.1925,40.9091,-50.0,10700.0,40400.0,36950.0,26403.0,104074.0,94154.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0815,0.008,0.0244,123000.0,292700.0,1233290.0,3500300.0,53099620.0,0.3,0.4286,8.4,0.0,1.0,0.0,2019-11-20
3,299,2.5,-0.1,-0.0385,2.5,2.5,2.5,0.0,4.0,2.31,2.43,2.35,2.6,2.73,2.5,2.47,2.52,2.52,2.49,2.49,2.51,2.58,DOWNTREND,SIDEWAYS,SIDEWAYS,50.8107,0.0042,0.0265,LOW,-6.5337,58.2137,-52.6316,20200.0,15533.33,36450.0,50024.0,38527.33,93365.5,White Marubozu,None,None,0.073,0.0288,-0.0385,29160.0,431580.0,1089920.0,3773400.0,53158830.0,0.3,0.4286,8.33,0.0,0.99,0.0,2019-12-09
4,294,2.45,0.0,0.0,2.45,2.45,2.45,0.0,4.0,2.31,2.43,2.32,2.47,2.55,2.46,2.54,2.53,2.52,2.47,2.5,2.53,2.61,SIDEWAYS,DOWNTREND,SIDEWAYS,46.1479,-0.0192,0.0134,LOW,-44.7154,0.0,-83.3333,34600.0,35733.33,42800.0,84962.0,87694.0,105026.5,White Marubozu,Bullish Harami,None,0.0515,0.0,0.0,221710.0,907530.0,2417670.0,14091860.0,52851470.0,0.3,0.4286,8.17,0.0,0.97,0.0,2019-09-06
5,294,2.42,0.0,0.0,2.42,2.42,2.42,208120.0,4.0,2.31,2.37,2.32,2.47,2.55,2.44,2.48,2.52,2.51,2.44,2.48,2.51,2.6,DOWNTREND,SIDEWAYS,SIDEWAYS,42.4504,-0.0199,0.0093,LOW,-75.0,0.0,-100.0,31700.0,33466.67,33150.0,76815.0,81406.0,80888.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0386,-0.0122,0.0,321960.0,987440.0,2283760.0,3195900.0,52917410.0,0.3,0.4286,8.07,0.0,0.96,0.0,2019-10-03
6,299,2.43,-0.07,-0.027999999999999997,2.43,2.43,2.43,17010.0,4.0,2.31,2.42,2.32,2.52,2.63,2.5,2.47,2.52,2.51,2.48,2.49,2.51,2.58,DOWNTREND,SIDEWAYS,SIDEWAYS,45.1499,0.0047,0.0236,LOW,-88.6731,33.3333,-90.9091,20300.0,47733.33,40900.0,50228.0,122318.0,104121.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0429,-0.027999999999999997,-0.0122,409450.0,579150.0,1369080.0,3786750.0,53370830.0,0.3,0.4286,8.1,0.0,0.96,0.0,2019-12-02
7,297,2.5,-0.02,-0.0079,2.43,2.43,2.5,269440.0,4.0,2.31,2.44,2.35,2.52,2.63,2.5,2.47,2.52,2.51,2.49,2.49,2.51,2.58,DOWNTREND,SIDEWAYS,SIDEWAYS,51.3055,0.0058,0.0225,LOW,-27.3504,46.9697,-59.0909,21400.0,47333.33,41850.0,53097.0,121358.0,106416.5,White Marubozu,None,Three White Soldiers,0.073,0.0,0.0163,392440.0,562140.0,1352070.0,3769740.0,53353820.0,0.3,0.4286,8.33,0.0,0.99,0.0,2019-11-21
8,299,2.57,0.0,0.0,2.57,2.57,2.57,0.0,4.0,2.31,2.5,2.42,2.58,2.73,2.51,2.48,2.52,2.52,2.52,2.5,2.51,2.58,UPTREND,SIDEWAYS,SIDEWAYS,55.9291,0.0134,0.0242,LOW,102.5843,81.8369,-17.6471,4200.0,15000.0,12800.0,10594.0,37282.67,31845.5,White Marubozu,Bullish Harami,None,0.10300000000000001,0.0576,0.0,-10140.0,411460.0,876400.0,3115460.0,53209800.0,0.16,-0.3043,16.06,0.0,0.98,0.0,2019-12-23
9,294,2.42,0.0,0.0,2.52,2.42,2.52,21880.0,4.0,2.31,2.34,2.32,2.47,2.55,2.45,2.5,2.52,2.51,2.44,2.48,2.51,2.6,DOWNTREND,SIDEWAYS,SIDEWAYS,42.4504,-0.0204,0.0116,LOW,12.1212,0.0,-100.0,28800.0,33733.33,34950.0,69952.0,82308.67,85483.0,Black Marubozu,Bearish Engulfing,None,0.0386,-0.0122,0.0,217900.0,978850.0,2296370.0,2875160.0,53202710.0,0.3,0.4286,8.07,0.0,0.96,0.0,2019-09-24
