,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,298,16.86,0.0,0.0,16.86,16.86,16.86,0.0,19.0,12.5,16.0,15.02,16.94,18.0,16.25,16.33,17.54,22.42,16.36,16.67,18.14,20.57,UPTREND,SIDEWAYS,DOWNTREND,55.8898,-0.0299,0.0215,LOW,170.5952,0.0,-8.5106,1310.0,1600.0,1465.0,21307.4,25905.6,23725.3,White Marubozu,Bullish Harami,Three White Soldiers,-0.0012,-0.0047,0.0,0.0,1610.0,-115690.0,-1338016.0,6918359.0,2.21,0.7967,7.63,0.0,1.34,0.0,2019-10-22
1,301,16.2,-0.8,-0.0471,15.72,15.56,16.2,0.0,19.0,12.5,15.32,13.51,17.0,18.0,16.23,16.29,17.42,22.09,16.26,16.57,17.98,20.39,SIDEWAYS,SIDEWAYS,DOWNTREND,49.3593,-0.0332,0.0354,NEUTRAL,-46.7236,0.0,-47.619,6860.0,5220.0,4440.0,115705.0,87626.67,74175.1,White Long Day,None,Three White Soldiers,-0.0403,-0.0391,0.0574,-882300.0,-880690.0,-945290.0,-2198216.0,6036059.0,2.3,0.4935,7.04,0.0,1.22,0.0,2019-12-03
2,299,15.52,-1.34,-0.0795,15.52,15.52,15.52,0.0,19.0,12.5,15.02,13.51,16.94,18.0,16.22,16.3,17.49,22.34,16.28,16.62,18.09,20.52,UPTREND,SIDEWAYS,DOWNTREND,42.3695,-0.0275,0.0279,LOW,-187.9433,60.9929,-100.0,1300.0,1346.67,1450.0,21140.6,21821.73,23480.9,White Marubozu,None,Three White Soldiers,-0.0806,-0.0795,-0.0795,0.0,1610.0,-110590.0,-1327816.0,6918359.0,2.3,0.4935,6.75,0.0,1.17,0.0,2019-11-20
3,301,16.2,-0.8,-0.0471,15.72,15.56,16.2,0.0,19.0,12.5,15.32,13.51,17.0,18.0,16.23,16.29,17.42,22.09,16.26,16.57,17.98,20.39,SIDEWAYS,SIDEWAYS,DOWNTREND,49.3593,-0.0332,0.0354,NEUTRAL,-46.7236,0.0,-47.619,6860.0,5220.0,4440.0,115705.0,87626.67,74175.1,White Long Day,None,Three White Soldiers,-0.0403,-0.0391,0.0574,-882300.0,-880690.0,-945290.0,-2198216.0,6036059.0,2.3,0.4935,7.04,0.0,1.22,0.0,2019-12-09
4,296,16.1,-0.04,-0.0025,16.12,16.1,16.12,0.0,20.45,12.5,16.09,13.51,16.84,18.0,16.16,16.34,17.88,23.02,16.23,16.71,18.36,20.83,SIDEWAYS,SIDEWAYS,DOWNTREND,47.0124,-0.1049,0.019,LOW,-30.788,31.3507,-100.0,2020.0,1660.0,2385.0,32645.2,26844.27,38865.6,Black Marubozu,None,None,-0.0462,0.0,0.0,0.0,0.0,-967300.0,-1380426.0,6916749.0,2.21,0.7967,7.29,0.0,1.28,0.0,2019-09-06
5,296,16.0,-0.94,-0.0555,16.0,16.0,16.0,0.0,20.45,12.5,15.9,15.02,16.94,18.0,16.17,16.32,17.64,22.63,16.25,16.65,18.2,20.65,UPTREND,SIDEWAYS,DOWNTREND,46.4301,-0.0692,0.0222,LOW,-83.8514,0.0,-100.0,1570.0,1680.0,1590.0,25425.0,27150.8,25693.1,White Marubozu,None,Three White Soldiers,-0.0521,-0.0555,-0.0555,1610.0,1610.0,-965690.0,-1346516.0,6918359.0,2.21,0.7967,7.24,0.0,1.27,0.0,2019-10-03
6,301,16.2,-0.8,-0.0471,15.72,15.56,16.2,0.0,19.0,12.5,15.32,13.51,17.0,18.0,16.23,16.29,17.42,22.09,16.26,16.57,17.98,20.39,SIDEWAYS,SIDEWAYS,DOWNTREND,49.3593,-0.0332,0.0354,NEUTRAL,-46.7236,0.0,-47.619,6860.0,5220.0,4440.0,115705.0,87626.67,74175.1,White Long Day,None,Three White Soldiers,-0.0403,-0.0391,0.0574,-882300.0,-880690.0,-945290.0,-2198216.0,6036059.0,2.3,0.4935,7.04,0.0,1.22,0.0,2019-12-02
7,299,15.52,-1.34,-0.0795,15.52,15.52,15.52,0.0,19.0,12.5,15.02,13.51,16.94,18.0,16.22,16.3,17.49,22.34,16.28,16.62,18.09,20.52,UPTREND,SIDEWAYS,DOWNTREND,42.3695,-0.0275,0.0279,LOW,-187.9433,60.9929,-100.0,1300.0,1346.67,1450.0,21140.6,21821.73,23480.9,White Marubozu,None,Three White Soldiers,-0.0806,-0.0795,-0.0795,0.0,1610.0,-110590.0,-1327816.0,6918359.0,2.3,0.4935,6.75,0.0,1.17,0.0,2019-11-21
8,301,15.14,-0.16,-0.0105,15.14,15.14,15.14,0.0,19.0,12.5,15.02,13.51,15.8,17.0,16.11,16.2,17.08,21.56,15.95,16.36,17.69,20.08,DOWNTREND,SIDEWAYS,DOWNTREND,41.1206,-0.107,0.0296,LOW,-132.2512,0.0,-100.0,8690.0,5960.0,4995.0,144069.2,98792.53,82604.9,White Marubozu,None,Three White Soldiers,-0.1031,-0.0654,-0.0418,-331602.0,-1213902.0,-1212292.0,-2332414.0,5704457.0,2.3,0.4935,6.58,0.0,1.14,0.0,2019-12-23
9,296,16.1,0.0,0.0,16.1,16.1,16.1,1610.0,20.45,12.5,15.9,15.02,16.84,18.0,16.12,16.33,17.81,22.93,16.22,16.69,18.31,20.78,SIDEWAYS,SIDEWAYS,DOWNTREND,47.0124,-0.0987,0.0176,LOW,-24.8714,0.0,-100.0,2110.0,1760.0,2310.0,34091.0,28455.47,37478.1,White Marubozu,Tweezer Bottoms,None,-0.0462,0.0,0.0,1610.0,1610.0,-965690.0,-1377116.0,6918359.0,2.21,0.7967,7.29,0.0,1.28,0.0,2019-09-24
