,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,301,16.4,0.0,0.0,16.44,16.0,16.44,-12334484.0,17.5,11.0,16.18,15.54,16.84,17.46,16.56,16.49,16.53,15.79,16.53,16.49,16.31,15.51,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.8854,0.0256,0.0194,LOW,-95.4421,30.0,-60.0,1377000.0,1735933.33,1527525.0,22650185.2,28731929.47,25260775.7,Hanging Man,None,None,0.3016,-0.0061,0.0,9945628.0,59322608.0,108079030.0,596614536.0,1742883966.0,0.47,0.2703,34.89,0.0,4.94,0.0,2019-10-22
1,304,19.0,0.5,0.027000000000000003,18.7,18.52,19.0,39985860.0,19.0,11.82,18.03,16.97,19.0,19.0,17.98,17.14,16.7,16.37,17.99,17.39,16.91,16.04,UPTREND,UPTREND,SIDEWAYS,72.7,0.38799999999999996,0.0192,LOW,146.1409,91.40100000000001,0.0,1899010.0,2216280.0,2254075.0,34911879.6,40496460.8,40565269.5,None,None,None,0.5079,0.027000000000000003,0.027000000000000003,97530696.0,303623018.0,420225508.0,539381054.0,1877340414.0,0.49,0.225,38.78,0.0,5.49,0.0,2019-12-03
2,302,18.04,-0.16,-0.0088,18.2,17.8,18.2,5783472.0,18.4,11.74,17.92,16.36,18.35,18.35,17.26,16.83,16.58,16.18,17.46,16.99,16.64,15.83,UPTREND,SIDEWAYS,SIDEWAYS,67.4633,0.3144,0.0182,LOW,93.0975,88.4211,-18.9474,2417670.0,2141286.67,1769375.0,43045553.6,37665139.87,30975267.6,None,None,None,0.4317,0.0933,-0.0142,104972882.0,282808340.0,291954528.0,460969100.0,1954295172.0,0.49,0.225,36.82,0.0,5.21,0.0,2019-11-20
3,304,18.1,-0.32,-0.0174,18.42,17.94,18.44,-15757802.0,19.0,11.82,18.02,17.3,19.0,19.0,18.27,17.33,16.77,16.45,18.19,17.57,17.05,16.14,UPTREND,UPTREND,SIDEWAYS,51.7227,0.4125,0.0203,LOW,-20.9834,62.1212,-68.1818,2560110.0,2023386.67,2409450.0,47599784.2,37435254.27,44090640.3,None,None,None,0.4365,-0.0216,-0.0174,52710612.0,174169044.0,444301218.0,524587474.0,1900784224.0,0.49,0.225,36.94,0.0,5.23,0.0,2019-12-09
4,299,16.7,-0.1,-0.006,16.78,16.6,16.8,10069686.0,17.5,9.94,16.36,15.53,16.93,17.46,16.34,16.36,16.49,15.08,16.48,16.37,16.09,15.12,UPTREND,SIDEWAYS,SIDEWAYS,57.6446,0.1344,0.0183,LOW,60.3109,74.1971,-28.5714,1419230.0,1431633.33,1842485.0,23769438.2,23776671.87,29906385.9,None,Tweezer Tops,None,0.3254,-0.0118,-0.0118,22345098.0,132184826.0,562181402.0,519968192.0,1785312110.0,0.47,0.2703,35.53,0.0,5.03,0.0,2019-09-06
5,299,16.72,0.12,0.0072,16.6,16.5,16.72,7937618.0,17.5,10.5,16.38,15.54,16.76,17.46,16.49,16.28,16.51,15.49,16.47,16.42,16.21,15.35,DOWNTREND,SIDEWAYS,SIDEWAYS,56.7512,0.0085,0.0151,LOW,76.4045,81.0606,0.0,2274760.0,2624486.67,2269585.0,37378028.2,43196030.27,37429180.3,None,None,None,0.327,0.0133,0.0084,19486636.0,32632512.0,170855632.0,509029702.0,1734495758.0,0.47,0.2703,35.57,0.0,5.04,0.0,2019-10-03
6,304,18.5,0.0,0.0,18.6,18.46,18.74,7763730.0,18.74,11.82,18.03,16.92,18.62,18.62,17.88,17.09,16.68,16.35,17.89,17.33,16.87,16.01,UPTREND,UPTREND,SIDEWAYS,66.8741,0.376,0.0191,LOW,110.7532,84.2581,-20.0,1533490.0,2211540.0,2199695.0,28022723.2,40034081.6,39257344.4,None,None,None,0.4683,0.0,0.0,72518222.0,315921432.0,396531610.0,500325842.0,1838343196.0,0.49,0.225,37.76,0.0,5.35,0.0,2019-12-02
7,302,17.68,-0.36,-0.02,18.04,17.68,18.18,4348067.9994,18.4,11.74,17.03,16.41,18.35,18.35,17.32,16.84,16.59,16.21,17.48,17.02,16.66,15.85,UPTREND,SIDEWAYS,SIDEWAYS,57.7512,0.3293,0.0193,LOW,64.3227,77.5439,-37.8947,2475700.0,2178993.33,1764830.0,44104612.8,38363666.53,30966312.6,Black Long Day,None,None,0.4032,0.0715,-0.0339,61323932.0,286056452.0,290577704.0,443420066.0,1942992076.0,0.49,0.225,36.08,0.0,5.11,0.0,2019-11-21
8,304,17.7,-0.14,-0.0078,17.84,17.2,17.84,28137160.0004,19.0,12.02,17.45,16.92,18.51,19.0,18.33,17.61,17.0,16.64,18.15,17.76,17.25,16.33,DOWNTREND,UPTREND,SIDEWAYS,42.1255,0.1951,0.0216,LOW,-178.7018,26.6031,-72.2222,2375960.0,2585033.33,2468035.0,42943775.6,47382622.53,45271779.9,Hanging Man,None,None,0.4048,-0.0432,-0.0078,1642448.0,37379880.0,353301312.0,490147094.0,1998256832.0,0.49,0.225,36.12,0.0,5.12,0.0,2019-12-23
9,299,16.26,0.1,0.0062,16.04,16.0,16.3,2467894.0,17.5,9.98,16.08,15.54,16.62,17.23,16.62,16.25,16.52,15.35,16.46,16.41,16.18,15.27,DOWNTREND,SIDEWAYS,SIDEWAYS,44.731,0.062,0.0157,LOW,-173.7252,14.7657,-67.5,2805880.0,2216480.0,2040215.0,46114193.6,36506893.73,33746979.8,White Long Day,None,None,0.2905,-0.0379,-0.0012,-920654.0,48414232.0,290023696.0,488328406.0,1719217830.0,0.47,0.2703,34.6,0.0,4.9,0.0,2019-09-24
10,304,18.5,0.4,0.0221,18.1,18.02,18.58,29621816.0,18.58,11.82,17.89,16.66,18.54,18.54,17.79,17.04,16.66,16.33,17.82,17.28,16.84,15.99,UPTREND,UPTREND,SIDEWAYS,66.8741,0.371,0.0194,LOW,86.385,89.6261,-5.7971,1339810.0,2156193.33,2060315.0,24391392.8,38752159.87,36596646.0,White Long Day,Bullish Engulfing,None,0.4683,0.1212,0.0289,94071198.0,317405574.0,398354404.0,502631798.0,1836794180.0,0.49,0.225,37.76,0.0,5.35,0.0,2019-11-29
11,299,16.44,-0.28,-0.0167,16.62,16.42,16.7,21414272.0,17.5,9.94,16.43,15.77,16.8,17.34,16.61,16.31,16.54,15.22,16.55,16.43,16.16,15.21,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.3193,0.1411,0.0165,LOW,-18.2169,52.4823,-70.2128,1480000.0,1600466.67,1569770.0,24605529.8,26712457.87,26126565.3,None,None,None,0.3048,-0.0272,-0.0167,48932604.0,129671732.0,351416492.0,556144728.0,1737512226.0,0.47,0.2703,34.98,0.0,4.95,0.0,2019-09-16
12,301,16.82,0.42,0.0256,16.4,16.4,16.84,2654992.0003,17.5,10.78,16.21,15.54,16.85,17.46,16.55,16.44,16.53,15.71,16.6,16.51,16.3,15.47,UPTREND,SIDEWAYS,SIDEWAYS,55.3663,0.0623,0.0183,LOW,51.486000000000004,48.4259,-22.5,920270.0,1400160.0,1719280.0,15368461.2,23272199.6,28372297.6,White Long Day,None,None,0.3349,0.0194,0.0024,-3624826.0,62245822.0,112147804.0,701664476.0,1723367232.0,0.47,0.2703,35.79,0.0,5.07,0.0,2019-10-16
13,299,16.8,0.22,0.0133,16.62,16.58,16.8,21897102.0003,17.5,9.94,16.22,15.44,16.87,17.46,15.98,16.4,16.4,14.89,16.19,16.24,15.99,15.0,UPTREND,SIDEWAYS,SIDEWAYS,65.505,-0.051,0.0161,LOW,165.7254,95.0249,0.0,1573530.0,2114493.33,2249450.0,25632807.4,33828022.8,35768106.2,White Long Day,None,None,0.3333,0.0701,0.0084,77267680.0,226701782.0,415454836.0,508531240.0,1788612754.0,0.47,0.2703,35.74,0.0,5.06,0.0,2019-08-28
14,299,16.5,-0.08,-0.0048,16.58,16.4,16.58,-7836718.0,17.5,10.3,15.92,15.44,16.62,17.34,16.51,16.22,16.51,15.43,16.42,16.4,16.19,15.31,DOWNTREND,SIDEWAYS,SIDEWAYS,51.8667,0.0056,0.0165,LOW,0.9822,60.6061,-34.0909,2226310.0,2104666.67,1853155.0,36441827.0,34591677.33,30523678.4,None,Bearish Harami,None,0.3095,-0.0237,-0.0048,5163718.0,38791262.0,168010406.0,481396646.0,1708080398.0,0.47,0.2703,35.11,0.0,4.97,0.0,2019-09-30
15,304,17.98,-0.12,-0.0066,18.1,17.96,18.1,-14061892.0,19.0,11.82,17.96,16.97,19.0,19.0,18.3,17.36,16.79,16.47,18.17,17.59,17.06,16.16,UPTREND,UPTREND,SIDEWAYS,49.5666,0.3929,0.0195,LOW,-67.7189,36.8687,-77.2727,2504810.0,2068253.33,2263895.0,46575846.0,38233027.33,41591176.3,Black Long Day,None,None,0.42700000000000005,-0.0281,-0.0239,-1337140.0,154442498.0,430289584.0,489111310.0,1889653736.0,0.49,0.225,36.69,0.0,5.2,0.0,2019-12-10
16,299,16.88,0.08,0.0048,16.76,16.74,16.9,13030464.0003,17.5,9.94,16.49,15.44,16.89,17.46,16.03,16.4,16.41,14.92,16.25,16.26,16.01,15.01,UPTREND,SIDEWAYS,SIDEWAYS,66.8455,-0.0128,0.0155,LOW,150.4058,96.0788,-1.3158,1438510.0,2031173.33,2285220.0,23635002.4,32585158.4,36384851.2,White Long Day,None,None,0.3397,0.0752,0.0132,75191330.0,231213238.0,433558712.0,520105934.0,1801690354.0,0.47,0.2703,35.91,0.0,5.08,0.0,2019-08-29
