,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,302,0.68,-0.01,-0.0145,0.67,0.66,0.69,0.0,0.89,0.45,0.66,0.64,0.69,0.72,0.68,0.69,0.73,0.72,0.68,0.7,0.71,0.72,SIDEWAYS,SIDEWAYS,DOWNTREND,46.5241,-0.0041,0.0349,NEUTRAL,-30.303,66.6667,-50.0,641100.0,714533.33,808550.0,434825.0,484058.0,545166.0,None,Bullish Harami,None,-0.0286,0.0149,-0.0145,0.0,9380.0,-1318290.0,8550.0,-21515940.0,-0.05,-2.0,-13.6,0.0,0.31,0.0,2019-10-22
1,305,0.6,0.0,0.0,0.6,0.6,0.6,0.0,0.89,0.59,0.5,0.47,0.63,0.68,0.64,0.66,0.7,0.7,0.63,0.66,0.68,0.7,DOWNTREND,DOWNTREND,DOWNTREND,31.4061,-0.0152,0.0274,LOW,-110.6106,16.6667,-87.5,718000.0,1031066.67,835750.0,438846.0,645776.0,526036.0,White Marubozu,Tweezer Bottoms,None,-0.1429,-0.0164,-0.0164,0.0,270400.0,267720.0,-1117210.0,-16508030.0,-0.08,-3.0,-7.5,0.0,0.29,0.0,2019-12-03
2,303,0.62,0.0,0.0,0.62,0.62,0.62,0.0,0.89,0.46,0.54,0.47,0.66,0.68,0.66,0.68,0.71,0.71,0.66,0.68,0.69,0.71,DOWNTREND,SIDEWAYS,DOWNTREND,27.1501,-0.0084,0.0283,LOW,-220.7207,19.0476,-85.7143,926800.0,704266.67,689300.0,594140.0,453989.33,448303.5,White Marubozu,Tweezer Bottoms,None,-0.1143,-0.0746,-0.0312,270400.0,267720.0,267720.0,-1081210.0,-16380530.0,-0.08,-3.0,-7.75,0.0,0.3,0.0,2019-11-20
3,305,0.6,0.0,0.0,0.61,0.6,0.61,0.0,0.89,0.57,0.58,0.48,0.63,0.67,0.62,0.65,0.69,0.7,0.62,0.65,0.67,0.69,DOWNTREND,DOWNTREND,DOWNTREND,34.8091,-0.017,0.0265,LOW,-78.8243,47.619,-50.0,570000.0,566400.0,822550.0,345004.0,345821.33,514222.5,Black Marubozu,Bearish Engulfing,None,-0.1429,-0.0164,0.0,0.0,-49600.0,267720.0,445760.0,-16507870.0,-0.08,-3.0,-7.5,0.0,0.29,0.0,2019-12-09
4,300,0.7,-0.01,-0.0141,0.72,0.69,0.72,0.0,0.89,0.45,0.68,0.66,0.72,0.78,0.7,0.75,0.73,0.7,0.7,0.73,0.73,0.73,DOWNTREND,DOWNTREND,SIDEWAYS,46.4378,-0.0202,0.0462,NEUTRAL,27.927,51.8519,-44.4444,1983000.0,2281800.0,2213800.0,1381615.0,1571974.0,1535785.5,Black Long Day,Tweezer Tops,None,0.0,0.0145,0.0145,0.0,214860.0,1486700.0,1260270.0,-20041030.0,-0.05,-2.0,-14.0,0.0,0.32,0.0,2019-09-06
5,300,0.67,0.01,0.0152,0.66,0.66,0.67,0.0,0.89,0.45,0.66,0.64,0.7,0.73,0.69,0.71,0.73,0.72,0.69,0.7,0.71,0.72,SIDEWAYS,DOWNTREND,SIDEWAYS,40.5332,-0.008,0.036000000000000004,NEUTRAL,-151.3446,0.0,-80.0,881400.0,979266.67,1057100.0,591219.0,664474.67,718801.5,White Marubozu,None,None,-0.0429,0.0,-0.028999999999999998,-35340.0,-1114490.0,-1153610.0,260700.0,-21571610.0,-0.05,-2.0,-13.4,0.0,0.31,0.0,2019-10-03
6,305,0.6,-0.01,-0.0164,0.62,0.6,0.63,0.0,0.89,0.59,0.58,0.48,0.63,0.68,0.64,0.66,0.7,0.7,0.63,0.66,0.68,0.7,DOWNTREND,DOWNTREND,DOWNTREND,31.4061,-0.0146,0.0295,LOW,-90.4123,23.6111,-87.5,682100.0,985066.67,801600.0,418476.0,618792.67,506094.5,Black Long Day,None,None,-0.1429,-0.0164,-0.0164,0.0,270400.0,267720.0,-1117210.0,-16508030.0,-0.08,-3.0,-7.5,0.0,0.29,0.0,2019-12-02
7,303,0.62,0.0,0.0,0.62,0.62,0.62,0.0,0.89,0.475,0.56,0.47,0.66,0.68,0.66,0.67,0.71,0.71,0.65,0.67,0.69,0.71,DOWNTREND,SIDEWAYS,DOWNTREND,27.1501,-0.0097,0.0263,LOW,-168.8889,14.2857,-85.7143,1029100.0,780800.0,729050.0,656224.0,501008.67,471673.5,White Marubozu,Bullish Harami,None,-0.1143,-0.0746,-0.0312,270400.0,270400.0,267720.0,-1081210.0,-16380530.0,-0.08,-3.0,-7.75,0.0,0.3,0.0,2019-11-21
8,305,0.61,0.01,0.0167,0.6,0.57,0.61,4200.0,0.89,0.57,0.57,0.48,0.62,0.67,0.6,0.64,0.67,0.7,0.61,0.63,0.66,0.69,DOWNTREND,DOWNTREND,DOWNTREND,48.7748,-0.0135,0.0294,LOW,-49.3827,0.0,-33.3333,1064200.0,821133.33,817100.0,627776.0,485354.67,486390.0,Hammer,None,None,-0.1286,0.0,0.0167,4200.0,3590.0,273990.0,279350.0,-16519780.0,-0.08,-3.0,-7.63,0.0,0.3,0.0,2019-12-23
9,300,0.7,0.0,0.0,0.7,0.68,0.7,0.0,0.89,0.45,0.69,0.66,0.71,0.74,0.69,0.73,0.73,0.72,0.7,0.71,0.72,0.72,SIDEWAYS,DOWNTREND,SIDEWAYS,49.1265,-0.0091,0.0338,NEUTRAL,2.6667,66.6667,-40.0,932200.0,1174400.0,1497750.0,641020.0,806842.0,1041510.0,Dragonfly Doji,None,None,0.0,0.0145,-0.0141,0.0,-1562970.0,-1015610.0,11040.0,-21427620.0,-0.05,-2.0,-14.0,0.0,0.32,0.0,2019-09-24
10,305,0.61,-0.02,-0.0317,0.62,0.59,0.62,0.0,0.89,0.57,0.6,0.56,0.63,0.68,0.64,0.67,0.7,0.71,0.64,0.66,0.68,0.7,DOWNTREND,DOWNTREND,DOWNTREND,34.2448,-0.0141,0.0274,LOW,-109.4527,25.0,-75.0,987300.0,985533.33,808300.0,610102.0,620125.33,511438.5,Hanging Man,None,None,-0.1286,-0.0896,-0.0317,0.0,270400.0,267720.0,-1117210.0,-16478980.0,-0.08,-3.0,-7.63,0.0,0.3,0.0,2019-11-29
