,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,304,0.23600000000000002,0.011000000000000001,0.0489,0.22399999999999998,0.22399999999999998,0.23800000000000002,0.0,0.485,0.192,0.2245,0.2175,0.2375,0.26,0.233,0.2435,0.2732,0.2964,0.23399999999999999,0.2472,0.2649,0.2724,DOWNTREND,DOWNTREND,DOWNTREND,49.3883,-0.0061,0.0319,NEUTRAL,-7.6608,54.7368,-15.7895,646000.0,518000.0,599500.0,145958.0,117414.0,139823.0,White Long Day,None,Three White Soldiers,0.0583,0.0043,0.0216,0.0,-2300.0,-71860.0,941150.0002,2191920.0003,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,307,0.207,-0.004,-0.019,0.207,0.207,0.207,0.0,0.485,0.195,0.2065,0.195,0.2165,0.2525,0.2249,0.2307,0.2513,0.2963,0.2214,0.2318,0.2484,0.2615,DOWNTREND,SIDEWAYS,DOWNTREND,37.9814,-0.0041,0.0406,NEUTRAL,-138.0835,0.0,-98.3051,389000.0,2943333.3333,2281500.0,85171.0,718430.6667,555814.0,White Marubozu,Bullish Harami,None,-0.0717,-0.019,-0.019,0.0,-512660.0,-591360.0,-663220.0,1565620.0003,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,305,0.23399999999999999,0.006,0.0263,0.226,0.226,0.23399999999999999,0.0,0.485,0.192,0.22699999999999998,0.22,0.2525,0.265,0.2302,0.2361,0.2611,0.2972,0.2316,0.239,0.2549,0.2658,UPTREND,SIDEWAYS,DOWNTREND,50.8415,-0.0018,0.0478,NEUTRAL,18.2716,27.4074,-68.8889,4081000.0,2940666.6667,2312000.0,1004991.0,719527.3333,563844.5,White Marubozu,None,None,0.0493,0.0636,0.0174,-512660.0,-591360.0,-593660.0,-1359860.0,1565620.0003,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,307,0.21600000000000003,0.013999999999999999,0.0693,0.218,0.21600000000000003,0.218,0.0,0.485,0.195,0.20199999999999999,0.195,0.217,0.2525,0.2219,0.2281,0.2479,0.2935,0.2181,0.2292,0.2461,0.2599,DOWNTREND,SIDEWAYS,DOWNTREND,46.702,-0.0053,0.0379,NEUTRAL,-36.9413,0.0,-56.25,460000.0,478666.6667,2360500.0,95592.0,102258.0,570291.0,Black Marubozu,None,None,-0.0314,0.0237,0.0237,205000.0,205000.0,-386360.0,-458220.0,1770620.0003,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,302,0.247,-0.003,-0.012,0.247,0.247,0.247,0.0,0.485,0.15,0.2225,0.212,0.2625,0.285,0.2531,0.2836,0.3011,0.292,0.256,0.2749,0.2886,0.2849,DOWNTREND,DOWNTREND,DOWNTREND,42.8207,-0.0114,0.0533,HIGH,-29.9867,56.1111,-46.6667,3643000.0,3611333.3333,3517500.0,917718.0,894303.3333,892482.5,White Marubozu,None,None,0.1076,-0.012,-0.012,0.0,-697740.0,1013010.0002,-2091239.9998,2647620.0003,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,302,0.231,-0.009000000000000001,-0.0375,0.231,0.231,0.23199999999999998,0.0,0.485,0.15,0.2175,0.195,0.2475,0.265,0.2457,0.2586,0.2832,0.295,0.2457,0.2595,0.2755,0.2784,SIDEWAYS,DOWNTREND,DOWNTREND,40.6127,-0.0048,0.0493,NEUTRAL,-174.7573,14.5833,-100.0,2196000.0,2057333.3333,1767500.0,562567.0,521810.0,446325.0,Gravestone Doji,None,None,0.0359,-0.017,-0.0375,-20000.0,-69560.0,-766200.0,742800.0002,2194220.0003,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,307,0.21100000000000002,0.0,0.0,0.20600000000000002,0.20600000000000002,0.21100000000000002,0.0,0.485,0.195,0.2085,0.195,0.2175,0.2525,0.2255,0.2316,0.2526,0.2969,0.223,0.2328,0.2493,0.262,DOWNTREND,SIDEWAYS,DOWNTREND,40.097,-0.0036,0.0414,NEUTRAL,-143.1414,0.0,-91.5254,402000.0,2948666.6667,2301500.0,88174.0,719712.6667,560253.5,White Marubozu,None,None,-0.0538,0.0,0.0,0.0,-512660.0,-591360.0,-663220.0,1565620.0003,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,305,0.226,-0.008,-0.0342,0.226,0.226,0.226,0.0,0.485,0.192,0.22,0.212,0.2425,0.2525,0.23,0.2356,0.2603,0.2972,0.2311,0.2385,0.2543,0.2654,UPTREND,SIDEWAYS,DOWNTREND,46.5373,-0.0016,0.0485,NEUTRAL,-56.57,20.7407,-86.6667,4082000.0,2891333.3333,2304500.0,1005177.0,708451.3333,562122.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0135,0.0273,-0.0174,4740.0,-591360.0,-593660.0,-1338620.0,1565620.0003,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,307,0.19,-0.019,-0.0909,0.192,0.19,0.192,13300.0,0.485,0.19,0.17,0.17,0.21,0.23,0.21,0.22,0.24,0.29,0.21,0.22,0.24,0.25,DOWNTREND,DOWNTREND,DOWNTREND,41.2223,-0.0073,0.0565,HIGH,-140.9319,0.0,-100.0,337000.0,455333.33,491000.0,67024.0,92064.67,101883.5,Black Marubozu,None,Evening Star,-0.14800000000000002,-0.0995,-0.0909,95000.0,318010.0,-183650.0,-180250.0,1877830.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,302,0.265,0.015,0.06,0.26,0.25,0.265,96200.0,0.485,0.15,0.2425,0.223,0.27,0.285,0.2497,0.2671,0.2897,0.2941,0.2524,0.2658,0.2808,0.2812,DOWNTREND,DOWNTREND,DOWNTREND,54.8004,-0.0061,0.0479,NEUTRAL,132.1285,81.1111,0.0,2861000.0,2306000.0,3174500.0,726860.0,583659.3333,805660.5,Hammer,None,None,0.1883,0.06,0.0192,-38760.0,-68760.0,-477750.0,-1331799.9998,2292420.0003,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
